Orthogroup	Prbi	Other
OG0000076	Prbi.g_01994	Syao.g_01251
OG0000099	Prbi.g_01462	Syai.g_00151
OG0000117	Prbi.g_01330	Pral.g_01881
OG0001399	Prbi.g_01884	Syak.g_01977
OG0001399	Prbi.g_01884	Syal.g_00434
OG0001399	Prbi.g_01884	Syas.g_02459
OG0001399	Prbi.g_01884	Syad.g_02336
OG0001399	Prbi.g_01884	Syaf.g_00697
OG0001399	Prbi.g_01884	Prbc.g_00264, Prbc.g_01136, Prbc.g_01235
OG0001399	Prbi.g_01884	Prar.g_01071
OG0001399	Prbi.g_01884	Prar.g_01071
OG0001399	Prbi.g_00155, Prbi.g_00722	Syan.g_02175
OG0001399	Prbi.g_00155, Prbi.g_00722	Syao.g_01861
OG0001399	Prbi.g_00155, Prbi.g_00722	Prbj.g_00377, Prbj.g_00390
OG0001399	Prbi.g_00155, Prbi.g_00722	Prbk.g_00834, Prbk.g_00821
OG0001399	Prbi.g_00155, Prbi.g_00722	Prbl.g_01164, Prbl.g_01151
OG0001399	Prbi.g_00155, Prbi.g_00722	Praf.g_02089, Praf.g_02090, Praf.g_02643, Praf.g_01869
OG0001399	Prbi.g_00155, Prbi.g_00722	Prah.g_01971, Prah.g_00340
OG0001399	Prbi.g_00155, Prbi.g_00722	Syak.g_01103
OG0001505	Prbi.g_01509	Prav.g_01548
OG0002033	Prbi.g_01885, Prbi.g_01410, Prbi.g_00152	Prar.g_01072
OG0002445	Prbi.g_01879	Pral.g_01242
OG0002445	Prbi.g_01879	Prat.g_01279
OG0002445	Prbi.g_01879	Syaq.g_00021
OG0002445	Prbi.g_01879	Syar.g_01281
