Orthogroup	Syaa	Other
OG0000013	Syaa.g_02217	Syar.g_03167
OG0000033	Syaa.g_02478	Praf.g_02707, Praf.g_00098, Praf.g_00117
OG0000033	Syaa.g_00485	Prak.g_01357
OG0000033	Syaa.g_00485	Prap.g_00087
OG0000033	Syaa.g_00485	Prbe.g_00345
OG0000033	Syaa.g_00485	Prbf.g_00123
OG0000033	Syaa.g_00485	Prbg.g_00557
OG0000033	Syaa.g_00485	Prbn.g_00178
OG0000033	Syaa.g_00485	Praa.g_01437
OG0000033	Syaa.g_00485	Prab.g_01400
OG0000033	Syaa.g_00485	Pran.g_00800
OG0000033	Syaa.g_00485	Syad.g_00289
OG0000033	Syaa.g_00485	Syad.g_00289
OG0000033	Syaa.g_00485	Prat.g_01265
OG0000033	Syaa.g_00485	Prau.g_01465
OG0000033	Syaa.g_00485	Praf.g_02707, Praf.g_00098, Praf.g_00117
OG0000033	Syaa.g_00485	Syah.g_00211
OG0000033	Syaa.g_00485	Syag.g_02481
OG0000033	Syaa.g_00485	Praf.g_02707, Praf.g_00098, Praf.g_00117
OG0000033	Syaa.g_00485	Syah.g_00211
OG0000033	Syaa.g_00485	Syag.g_02481
OG0000033	Syaa.g_00485	Prae.g_01396
OG0000070	Syaa.g_00718	Syar.g_03150
OG0000087	Syaa.g_02433	Syar.g_03192
OG0000090	Syaa.g_01980	Syar.g_03271
OG0000099	Syaa.g_00202	Prau.g_01491
OG0000112	Syaa.g_01366	Syar.g_03195
OG0000139	Syaa.g_01974	Syar.g_03245
OG0000140	Syaa.g_01971	Syar.g_03246
OG0000145	Syaa.g_02029	Syar.g_03205
OG0000153	Syaa.g_01324	Syar.g_03283
OG0000194	Syaa.g_02452	Syar.g_03236
OG0000203	Syaa.g_02523	Syar.g_00020
OG0000229	Syaa.g_00703	Syar.g_03273
OG0000233	Syaa.g_01853	Syar.g_03183
OG0000236	Syaa.g_02037	Syar.g_03311
OG0000239	Syaa.g_01996	Syar.g_03277
OG0000251	Syaa.g_01897	Syar.g_03207
OG0000253	Syaa.g_01893	Syar.g_03229
OG0000258	Syaa.g_01624	Syar.g_00010
OG0000264	Syaa.g_00910	Syar.g_03267
OG0000274	Syaa.g_00843	Syar.g_00009
OG0000278	Syaa.g_00830	Syar.g_03174
OG0000282	Syaa.g_01096	Syar.g_03255
OG0000289	Syaa.g_01285	Syar.g_03305
OG0000325	Syaa.g_02350	Syar.g_03291
OG0000367	Syaa.g_00029	Syar.g_03262
OG0000388	Syaa.g_02375	Syar.g_03148
OG0000486	Syaa.g_00249	Syar.g_00024
OG0000559	Syaa.g_01949	Syal.g_02305
OG0000823	Syaa.g_01803	Syar.g_00017
OG0001008	Syaa.g_00704	Syar.g_03274
OG0001135	Syaa.g_01030	Prac.g_01959
OG0001269	Syaa.g_01499	Syal.g_02116
OG0001376	Syaa.g_02614	Syar.g_03203
OG0001377	Syaa.g_02613	Syar.g_03202
OG0001412	Syaa.g_01020	Syat.g_00584
OG0001412	Syaa.g_01020	Praf.g_00131
OG0001412	Syaa.g_01020	Syao.g_02122
OG0001412	Syaa.g_01020	Syaf.g_02482
OG0001412	Syaa.g_01020	Prbm.g_02117
OG0001412	Syaa.g_01020	Praj.g_02038
OG0001412	Syaa.g_01020	Prbb.g_02086
OG0001412	Syaa.g_01020	Syat.g_00584
OG0001412	Syaa.g_01020	Syac.g_00122
OG0001412	Syaa.g_01020	Syad.g_00307
OG0001412	Syaa.g_01020	Syak.g_01621
OG0001412	Syaa.g_01020	Prav.g_00298
OG0001470	Syaa.g_00693	Syat.g_02257
OG0001488	Syaa.g_00791	Syar.g_03222
OG0001515	Syaa.g_00909	Syar.g_03266
OG0001592	Syaa.g_02581	Syar.g_03309
OG0001623	Syaa.g_02194	Syao.g_01889
OG0001635	Syaa.g_00094	Syao.g_02182
OG0001635	Syaa.g_00094	Prah.g_01421
OG0001671	Syaa.g_02552	Syan.g_03115
OG0001671	Syaa.g_02552	Syar.g_03173
OG0001672	Syaa.g_00339	Prah.g_01852
OG0001790	Syaa.g_00760	Syar.g_03295
OG0001880	Syaa.g_01352	Syar.g_03302
OG0001882	Syaa.g_01379	Syar.g_03147
OG0001892	Syaa.g_00809	Syar.g_03139
OG0002024	Syaa.g_02692	Syar.g_00004
OG0002192	Syaa.g_00795	Syar.g_03209
OG0002213	Syaa.g_02583	Syar.g_03307
OG0002400	Syaa.g_00370, Syaa.g_00417	Syam.g_01527
OG0002407	Syaa.g_01567	Syag.g_01590
