Orthogroup	Syad	Other
OG0000013	Syad.g_00724	Syar.g_03167
OG0000033	Syad.g_02903	Praf.g_02707, Praf.g_00098, Praf.g_00117
OG0000033	Syad.g_00289	Syaa.g_00485
OG0000033	Syad.g_00289	Praf.g_02707, Praf.g_00098, Praf.g_00117
OG0000033	Syad.g_00289	Syah.g_00211
OG0000033	Syad.g_00289	Syag.g_02481
OG0000033	Syad.g_00289	Prae.g_01396
OG0000033	Syad.g_00289	Prat.g_01265
OG0000033	Syad.g_00289	Prau.g_01465
OG0000033	Syad.g_00289	Syaa.g_00485
OG0000033	Syad.g_00289	Praf.g_02707, Praf.g_00098, Praf.g_00117
OG0000033	Syad.g_00289	Syah.g_00211
OG0000033	Syad.g_00289	Syag.g_02481
OG0000033	Syad.g_00289	Prak.g_01357
OG0000033	Syad.g_00289	Prap.g_00087
OG0000033	Syad.g_00289	Prbe.g_00345
OG0000033	Syad.g_00289	Prbf.g_00123
OG0000033	Syad.g_00289	Prbg.g_00557
OG0000033	Syad.g_00289	Prbn.g_00178
OG0000033	Syad.g_00289	Praa.g_01437
OG0000033	Syad.g_00289	Prab.g_01400
OG0000033	Syad.g_00289	Pran.g_00800
OG0000039	Syad.g_01111	Syan.g_02771
OG0000070	Syad.g_02424	Syar.g_03150
OG0000087	Syad.g_02860	Syar.g_03192
OG0000092	Syad.g_01190	Prbc.g_01110, Prbc.g_00263
OG0000099	Syad.g_00460	Prau.g_01491
OG0000112	Syad.g_01766	Syar.g_03195
OG0000139	Syad.g_00983	Syar.g_03245
OG0000194	Syad.g_02880	Syar.g_03236
OG0000210	Syad.g_02982	Syar.g_03260
OG0000230	Syad.g_02448	Syar.g_03275
OG0000233	Syad.g_02382	Syar.g_03183
OG0000236	Syad.g_00918	Syar.g_03311
OG0000239	Syad.g_00957	Syar.g_03277
OG0000251	Syad.g_01071	Syar.g_03207
OG0000253	Syad.g_01081	Syar.g_03229
OG0000264	Syad.g_01360	Syar.g_03267
OG0000274	Syad.g_01246	Syar.g_00009
OG0000278	Syad.g_01225	Syar.g_03174
OG0000314	Syad.g_02231	Syaq.g_00408
OG0000314	Syad.g_02231	Syan.g_02823
OG0000314	Syad.g_02231	Syao.g_00078
OG0000314	Syad.g_02231	Syas.g_01296
OG0000314	Syad.g_02231	Syap.g_00007
OG0000325	Syad.g_00591	Syar.g_03291
OG0000367	Syad.g_00189	Syar.g_03262
OG0000486	Syad.g_00510	Syar.g_00024
OG0000559	Syad.g_01016	Syal.g_02305
OG0001135	Syad.g_01529	Prac.g_01959
OG0001376	Syad.g_00015	Syar.g_03203
OG0001377	Syad.g_00014	Syar.g_03202
OG0001399	Syad.g_02336	Prar.g_01071
OG0001399	Syad.g_02336	Prbi.g_01884
OG0001412	Syad.g_00307	Syat.g_00584
OG0001412	Syad.g_00307	Syaa.g_01020
OG0001470	Syad.g_02462	Syat.g_02257
OG0001478	Syad.g_02371	Syas.g_01345
OG0001505	Syad.g_00259	Prav.g_01548
OG0001515	Syad.g_01343	Syar.g_03266
OG0001592	Syad.g_03021	Syar.g_03309
OG0001671	Syad.g_02974	Syan.g_03115
OG0001671	Syad.g_02974	Syar.g_03173
OG0001672	Syad.g_02743	Prah.g_01854, Prah.g_01852
OG0001728	Syad.g_02990	Praf.g_00095
OG0001728	Syad.g_02990	Prbj.g_01256
OG0001728	Syad.g_02990	Prbk.g_01565
OG0001728	Syad.g_02990	Prbl.g_02029
OG0001728	Syad.g_02990	Syac.g_00061
OG0001728	Syad.g_02990	Syan.g_01799
OG0001728	Syad.g_02990	Syae.g_01619
OG0001728	Syad.g_02990	Prah.g_00093
OG0001787	Syad.g_00976	Syar.g_03272
OG0001812	Syad.g_03022	Syar.g_03308
OG0002024	Syad.g_00108	Syar.g_00004
OG0002192	Syad.g_01180	Syar.g_03209
OG0002213	Syad.g_03025	Syar.g_03307
OG0002407	Syad.g_00082	Syag.g_01590
