Orthogroup	Prbc	Other
OG0000011	Prbc.g_00616	Syae.g_00871
OG0000092	Prbc.g_01110, Prbc.g_00263	Syao.g_00656
OG0000092	Prbc.g_01110, Prbc.g_00263	Syat.g_00825
OG0000092	Prbc.g_01110, Prbc.g_00263	Syas.g_00900, Syas.g_00877
OG0000092	Prbc.g_01110, Prbc.g_00263	Syan.g_02502
OG0000092	Prbc.g_01110, Prbc.g_00263	Syar.g_01960
OG0000092	Prbc.g_01110, Prbc.g_00263	Syad.g_01190
OG0000092	Prbc.g_01110, Prbc.g_00263	Syae.g_00884
OG0000092	Prbc.g_01110, Prbc.g_00263	Syaj.g_00339
OG0000092	Prbc.g_01110, Prbc.g_00263	Syab.g_01242, Syab.g_00690
OG0000092	Prbc.g_01110, Prbc.g_00263	Syak.g_01126
OG0000092	Prbc.g_01110, Prbc.g_00263	Syal.g_00470
OG0000092	Prbc.g_01110, Prbc.g_00263	Syag.g_00242
OG0000092	Prbc.g_01110, Prbc.g_00263	Prbd.g_01193
OG0000092	Prbc.g_01110, Prbc.g_00263	Prau.g_00052
OG0000092	Prbc.g_01110, Prbc.g_00263	Prav.g_01735
OG0000092	Prbc.g_01110, Prbc.g_00263	Pray.g_01325
OG0000092	Prbc.g_01110, Prbc.g_00263	Praz.g_00244
OG0000092	Prbc.g_01110, Prbc.g_00263	Prba.g_01057
OG0000092	Prbc.g_01110, Prbc.g_00263	Prac.g_00003
OG0000092	Prbc.g_01110, Prbc.g_00263	Praq.g_00725
OG0000092	Prbc.g_01110, Prbc.g_00263	Prar.g_00615
OG0000092	Prbc.g_01110, Prbc.g_00263	Pral.g_01244
OG0000092	Prbc.g_01110, Prbc.g_00263	Prat.g_01275
OG0000099	Prbc.g_01229	Syai.g_00151
OG0000117	Prbc.g_00102	Pral.g_01881
OG0000148	Prbc.g_01876	Syab.g_01683
OG0000148	Prbc.g_01876	Syaj.g_01002
OG0001399	Prbc.g_00264, Prbc.g_01136, Prbc.g_01235	Prar.g_01071
OG0001399	Prbc.g_00264, Prbc.g_01136, Prbc.g_01235	Prbi.g_01884
