Orthogroup	Syab	Other
OG0000011	Syab.g_01083	Syae.g_00871
OG0000013	Syab.g_00482	Syar.g_03167
OG0000033	Syab.g_02590	Praf.g_02707, Praf.g_00098, Praf.g_00117
OG0000039	Syab.g_02791	Syan.g_02771
OG0000070	Syab.g_00614	Syar.g_03150
OG0000092	Syab.g_01242, Syab.g_00690	Prbc.g_01110, Prbc.g_00263
OG0000099	Syab.g_00230	Prau.g_01491
OG0000148	Syab.g_01683	Pram.g_00826
OG0000148	Syab.g_01683	Prbh.g_00970
OG0000148	Syab.g_01683	Prak.g_00862
OG0000148	Syab.g_01683	Prap.g_00766
OG0000148	Syab.g_01683	Prbe.g_01239
OG0000148	Syab.g_01683	Prbf.g_01228
OG0000148	Syab.g_01683	Prbg.g_01176
OG0000148	Syab.g_01683	Prbn.g_01529
OG0000148	Syab.g_01683	Prbm.g_00832
OG0000148	Syab.g_01683	Prbc.g_01876
OG0000148	Syab.g_01683	Praj.g_00787
OG0000148	Syab.g_01683	Prbb.g_00801
OG0000148	Syab.g_01683	Syaj.g_01002
OG0000148	Syab.g_01683	Syaj.g_01002
OG0000194	Syab.g_02568	Syar.g_03236
OG0000233	Syab.g_00645	Syar.g_03183
OG0000251	Syab.g_01961	Syar.g_03207
OG0000264	Syab.g_01173	Syar.g_03267
OG0000289	Syab.g_01303	Syar.g_03305
OG0001135	Syab.g_01747	Prac.g_01959
OG0001349	Syab.g_00150	Syae.g_01228
OG0001413	Syab.g_01904	Syaf.g_02344
OG0001478	Syab.g_00661	Syas.g_01345
OG0001544	Syab.g_02795	Syar.g_00001
OG0001623	Syab.g_00506	Syao.g_01889
OG0001635	Syab.g_00090	Prah.g_01421
OG0001672	Syab.g_02448	Prah.g_01854, Prah.g_01852
OG0001998	Syab.g_00888	Syak.g_02034
OG0002139	Syab.g_01142	Syaj.g_00408
OG0002407	Syab.g_00996	Syag.g_01590
