Orthogroup	Syaj	Other
OG0000013	Syaj.g_02769	Syar.g_03167
OG0000033	Syaj.g_01990	Praf.g_02707, Praf.g_00098, Praf.g_00117
OG0000039	Syaj.g_00275	Syan.g_02771
OG0000070	Syaj.g_01529	Syar.g_03150
OG0000087	Syaj.g_01945	Syar.g_03192
OG0000092	Syaj.g_00339	Prbc.g_01110, Prbc.g_00263
OG0000099	Syaj.g_02503	Prau.g_01491
OG0000112	Syaj.g_00907	Syar.g_03195
OG0000138	Syaj.g_02631	Pral.g_00595
OG0000138	Syaj.g_02631	Prak.g_00456
OG0000138	Syaj.g_02631	Prap.g_01272
OG0000138	Syaj.g_02631	Prbe.g_00638
OG0000138	Syaj.g_02631	Prbf.g_01778
OG0000138	Syaj.g_02631	Prbg.g_00214
OG0000138	Syaj.g_02631	Prbn.g_00619
OG0000138	Syaj.g_02631	Pram.g_00431
OG0000138	Syaj.g_02631	Prbh.g_00336
OG0000138	Syaj.g_02631	Prat.g_00456
OG0000139	Syaj.g_00150	Syar.g_03245
OG0000148	Syaj.g_01002	Pram.g_00826
OG0000148	Syaj.g_01002	Prbh.g_00970
OG0000148	Syaj.g_01002	Prak.g_00862
OG0000148	Syaj.g_01002	Prap.g_00766
OG0000148	Syaj.g_01002	Prbe.g_01239
OG0000148	Syaj.g_01002	Prbf.g_01228
OG0000148	Syaj.g_01002	Prbg.g_01176
OG0000148	Syaj.g_01002	Prbn.g_01529
OG0000148	Syaj.g_01002	Prbm.g_00832
OG0000148	Syaj.g_01002	Prbc.g_01876
OG0000148	Syaj.g_01002	Praj.g_00787
OG0000148	Syaj.g_01002	Prbb.g_00801
OG0000148	Syaj.g_01002	Syab.g_01683
OG0000148	Syaj.g_01002	Syab.g_01683
OG0000194	Syaj.g_01968	Syar.g_03236
OG0000210	Syaj.g_02071	Syar.g_03260
OG0000230	Syaj.g_01553	Syar.g_03275
OG0000233	Syaj.g_01481	Syar.g_03183
OG0000236	Syaj.g_00086	Syar.g_03311
OG0000239	Syaj.g_00125	Syar.g_03277
OG0000251	Syaj.g_00237	Syar.g_03207
OG0000253	Syaj.g_00245	Syar.g_03229
OG0000264	Syaj.g_00485	Syar.g_03267
OG0000274	Syaj.g_00388	Syar.g_00009
OG0000278	Syaj.g_00373	Syar.g_03174
OG0000325	Syaj.g_02638	Syar.g_03291
OG0000367	Syaj.g_02289	Syar.g_03262
OG0000486	Syaj.g_02552	Syar.g_00024
OG0000559	Syaj.g_00185	Syal.g_02305
OG0001135	Syaj.g_00647	Prac.g_01959
OG0001376	Syaj.g_02140	Syar.g_03203
OG0001377	Syaj.g_02139	Syar.g_03202
OG0001470	Syaj.g_01567	Syat.g_02257
OG0001470	Syaj.g_02342	Syar.g_02358, Syar.g_02369
OG0001470	Syaj.g_02342	Prai.g_01433
OG0001470	Syaj.g_02342	Prbm.g_02128
OG0001470	Syaj.g_02342	Praa.g_01404
OG0001470	Syaj.g_02342	Syap.g_00709
OG0001470	Syaj.g_02342	Syas.g_02627
OG0001470	Syaj.g_02342	Syat.g_02252
OG0001478	Syaj.g_01470	Syas.g_01345
OG0001505	Syaj.g_02359	Prav.g_01548
OG0001515	Syaj.g_00483	Syar.g_03266
OG0001592	Syaj.g_02101	Syar.g_03309
OG0001671	Syaj.g_02062	Syan.g_03115
OG0001671	Syaj.g_02062	Syar.g_03173
OG0001672	Syaj.g_01833	Prah.g_01854, Prah.g_01852
OG0001787	Syaj.g_00143	Syar.g_03272
OG0001812	Syaj.g_02102	Syar.g_03308
OG0001998	Syaj.g_00798	Syak.g_02034
OG0002024	Syaj.g_02211	Syar.g_00004
OG0002139	Syaj.g_00408	Syak.g_00681
OG0002139	Syaj.g_00408	Syab.g_01142
OG0002139	Syaj.g_00408	Syal.g_01755
OG0002139	Syaj.g_00408	Syag.g_01040
OG0002139	Syaj.g_00408	Syaq.g_00145
OG0002192	Syaj.g_00329	Syar.g_03209
OG0002213	Syaj.g_02103	Syar.g_03307
OG0002407	Syaj.g_02186	Syag.g_01590
