Orthogroup	Prat	Other
OG0000033	Prat.g_01265	Syad.g_00289
OG0000033	Prat.g_01265	Syaa.g_00485
OG0000033	Prat.g_01265	Syah.g_00211
OG0000033	Prat.g_01265	Syag.g_02481
OG0000033	Prat.g_01265	Praf.g_00117
OG0000092	Prat.g_01275	Prbc.g_01110, Prbc.g_00263
OG0000099	Prat.g_01312	Syai.g_00151
OG0000138	Prat.g_00456	Syaj.g_02631
OG0000183	Prat.g_01314	Syaq.g_01122
OG0000183	Prat.g_01314	Syao.g_02243
OG0000183	Prat.g_01314	Syan.g_01752
OG0000183	Prat.g_01314	Syap.g_00084
OG0000183	Prat.g_01314	Syas.g_02061
OG0000183	Prat.g_01314	Syar.g_00496
OG0000183	Prat.g_01314	Syat.g_02315
OG0000217	Prat.g_00305	Prar.g_01154
OG0000323	Prat.g_01618	Syas.g_00159
OG0002097	Prat.g_01321	Praf.g_00092
OG0002445	Prat.g_01279	Prbi.g_01879
OG0002486	Prat.g_01497	Prau.g_01824
