Orthogroup	Syak	Other
OG0000013	Syak.g_01275	Syar.g_03167
OG0000039	Syak.g_01918	Syan.g_02771
OG0000070	Syak.g_01174	Syar.g_03150
OG0000092	Syak.g_01126	Prbc.g_01110, Prbc.g_00263
OG0000099	Syak.g_01527	Prau.g_01491
OG0000112	Syak.g_00512	Syar.g_03195
OG0000194	Syak.g_02124	Syar.g_03236
OG0000233	Syak.g_01145	Syar.g_03183
OG0000251	Syak.g_02722	Syar.g_03207
OG0000253	Syak.g_02727	Syar.g_03229
OG0000264	Syak.g_00698	Syar.g_03267
OG0000274	Syak.g_00615	Syar.g_00009
OG0000291	Syak.g_00734	Syan.g_00291
OG0000291	Syak.g_00734	Syao.g_00333
OG0000291	Syak.g_00734	Syat.g_00807
OG0000291	Syak.g_00734	Syas.g_01018
OG0000291	Syak.g_00734	Syap.g_01554
OG0001135	Syak.g_00274	Prac.g_01959
OG0001269	Syak.g_02323	Syal.g_02116
OG0001376	Syak.g_01916	Syar.g_03203
OG0001377	Syak.g_01917	Syar.g_03202
OG0001399	Syak.g_01977	Prar.g_01071
OG0001399	Syak.g_01977	Prbi.g_01884
OG0001399	Syak.g_01103	Prbi.g_00155, Prbi.g_00722
OG0001412	Syak.g_01621	Syat.g_00584
OG0001412	Syak.g_01621	Syaa.g_01020
OG0001470	Syak.g_01592	Syat.g_02257
OG0001478	Syak.g_01139	Syas.g_01345
OG0001544	Syak.g_01908	Syar.g_00001
OG0001623	Syak.g_01257	Syao.g_01889
OG0001635	Syak.g_01690	Prah.g_01421
OG0001671	Syak.g_02002	Syar.g_03173
OG0001671	Syak.g_02002	Syan.g_03115
OG0001672	Syak.g_02241	Prah.g_01854, Prah.g_01852
OG0001998	Syak.g_02034	Syap.g_00748
OG0001998	Syak.g_02034	Syaj.g_00798
OG0001998	Syak.g_02034	Syab.g_00888
OG0001998	Syak.g_02034	Syah.g_00502
OG0001998	Syak.g_02034	Syar.g_03218
OG0002139	Syak.g_00681	Syaj.g_00408
OG0002407	Syak.g_00165	Syag.g_01590
