Orthogroup	Prbf	Other
OG0000033	Prbf.g_00123	Syaa.g_00485
OG0000033	Prbf.g_00123	Praf.g_02707, Praf.g_00098, Praf.g_00117
OG0000033	Prbf.g_00123	Syah.g_00211
OG0000033	Prbf.g_00123	Syag.g_02481
OG0000033	Prbf.g_00123	Syad.g_00289
OG0000099	Prbf.g_00118	Syai.g_00151
OG0000120	Prbf.g_00115	Pras.g_00330
OG0000138	Prbf.g_01778	Syaj.g_02631
OG0000148	Prbf.g_01228	Syab.g_01683
OG0000148	Prbf.g_01228	Syaj.g_01002
OG0000217	Prbf.g_01638	Prar.g_01154
OG0000323	Prbf.g_00666	Syas.g_00159
OG0000390	Prbf.g_01443	Prad.g_00011
OG0000771	Prbf.g_00253	Prau.g_01496
