Orthogroup	Prah	Other
OG0000039	Prah.g_02382	Syan.g_02771
OG0000099	Prah.g_02191	Prau.g_01491
OG0000112	Prah.g_00788	Syar.g_03195
OG0000274	Prah.g_00608	Syar.g_00009
OG0001135	Prah.g_02526	Prac.g_01959
OG0001399	Prah.g_01971, Prah.g_00340	Prbi.g_00155, Prbi.g_00722
OG0001505	Prah.g_00100	Prav.g_01548
OG0001635	Prah.g_01421	Syag.g_02369
OG0001635	Prah.g_01421	Syab.g_00090
OG0001635	Prah.g_01421	Syal.g_01517
OG0001635	Prah.g_01421	Syas.g_02140
OG0001635	Prah.g_01421	Syap.g_01127
OG0001635	Prah.g_01421	Syan.g_01876
OG0001635	Prah.g_01421	Syao.g_02183
OG0001635	Prah.g_01421	Syat.g_02229, Syat.g_01993
OG0001635	Prah.g_01421	Syak.g_01690
OG0001635	Prah.g_01421	Syao.g_02182
OG0001635	Prah.g_01421	Syac.g_00137
OG0001635	Prah.g_01421	Syah.g_00270
OG0001635	Prah.g_01421	Syao.g_02182
OG0001635	Prah.g_01421	Syae.g_01811
OG0001635	Prah.g_01421	Syaa.g_00094
OG0001635	Prah.g_01421	Syaf.g_00412
OG0001635	Prah.g_01421	Syai.g_00091
OG0001672	Prah.g_01854, Prah.g_01852	Syak.g_02241
OG0001672	Prah.g_01854, Prah.g_01852	Syab.g_02448
OG0001672	Prah.g_01854, Prah.g_01852	Syal.g_00765
OG0001672	Prah.g_01854, Prah.g_01852	Syas.g_02508
OG0001672	Prah.g_01854, Prah.g_01852	Syat.g_01483
OG0001672	Prah.g_01854, Prah.g_01852	Syap.g_02553, Syap.g_02554
OG0001672	Prah.g_01854, Prah.g_01852	Syar.g_03053
OG0001672	Prah.g_01854, Prah.g_01852	Syan.g_02921
OG0001672	Prah.g_01854, Prah.g_01852	Syao.g_02631
OG0001672	Prah.g_01854, Prah.g_01852	Syam.g_02076
OG0001672	Prah.g_01854, Prah.g_01852	Syai.g_02488, Syai.g_02489
OG0001672	Prah.g_01854, Prah.g_01852	Syaf.g_00949
OG0001672	Prah.g_01854, Prah.g_01852	Syac.g_00437
OG0001672	Prah.g_01854, Prah.g_01852	Syah.g_02497, Syah.g_02496
OG0001672	Prah.g_01854, Prah.g_01852	Syad.g_02743
OG0001672	Prah.g_01854, Prah.g_01852	Syaj.g_01833
OG0001672	Prah.g_01852	Syae.g_01318
OG0001672	Prah.g_01852	Syaa.g_00339
OG0001728	Prah.g_00093	Syad.g_02990
