Orthogroup	Prav	Other
OG0000076	Prav.g_00689	Syao.g_01251
OG0000092	Prav.g_01735	Prbc.g_01110, Prbc.g_00263
OG0000099	Prav.g_01514	Syai.g_00151
OG0001412	Prav.g_00298	Syat.g_00584
OG0001412	Prav.g_00298	Syaa.g_01020
OG0001505	Prav.g_01548	Prao.g_01205
OG0001505	Prav.g_01548	Pras.g_00307
OG0001505	Prav.g_01548	Praj.g_02050
OG0001505	Prav.g_01548	Pral.g_00638
OG0001505	Prav.g_01548	Prah.g_00100
OG0001505	Prav.g_01548	Syad.g_00259
OG0001505	Prav.g_01548	Syaq.g_00934
OG0001505	Prav.g_01548	Prbi.g_01509
OG0001505	Prav.g_01548	Syac.g_00105
OG0001505	Prav.g_01548	Syaj.g_02359
OG0002033	Prav.g_00942	Prar.g_01072
