Orthogroup	Syab	Prbl
OG0000000	Syab.g_01226	Prbl.g_00116, Prbl.g_00118, Prbl.g_00117
OG0000001	Syab.g_01549	Prbl.g_00725, Prbl.g_00121, Prbl.g_02599
OG0000001	Syab.g_02553, Syab.g_02555	Prbl.g_00808, Prbl.g_02598
OG0000001	Syab.g_00673	Prbl.g_02578
OG0000002	Syab.g_02285	Prbl.g_01582, Prbl.g_01092
OG0000003	Syab.g_01580	Prbl.g_02278, Prbl.g_00920
OG0000004	Syab.g_00549, Syab.g_01193	Prbl.g_00021
OG0000004	Syab.g_01911, Syab.g_02377	Prbl.g_01771
OG0000005	Syab.g_02806, Syab.g_02232	Prbl.g_00419
OG0000006	Syab.g_00365, Syab.g_01847, Syab.g_02361	Prbl.g_02601
OG0000007	Syab.g_02117	Prbl.g_00531
OG0000007	Syab.g_02256	Prbl.g_00394
OG0000008	Syab.g_01755	Prbl.g_01855
OG0000008	Syab.g_01168	Prbl.g_01854
OG0000009	Syab.g_02498	Prbl.g_00155, Prbl.g_00554
OG0000010	Syab.g_00696	Prbl.g_01341
OG0000013	Syab.g_00497, Syab.g_00482, Syab.g_00487	Prbl.g_01183
OG0000014	Syab.g_00249	Prbl.g_01416
OG0000017	Syab.g_01945	Prbl.g_01755
OG0000017	Syab.g_01953	Prbl.g_01763
OG0000018	Syab.g_00742	Prbl.g_00694
OG0000019	Syab.g_00344	Prbl.g_01097
OG0000020	Syab.g_02230	Prbl.g_01076, Prbl.g_01026, Prbl.g_01386
OG0000022	Syab.g_01825	Prbl.g_01310, Prbl.g_01072
OG0000023	Syab.g_00708, Syab.g_02058, Syab.g_01294	Prbl.g_02355
OG0000024	Syab.g_01834	Prbl.g_00040
OG0000025	Syab.g_01705	Prbl.g_01539
OG0000026	Syab.g_00036	Prbl.g_01977
OG0000028	Syab.g_00234	Prbl.g_00900
OG0000030	Syab.g_00096	Prbl.g_02061
OG0000030	Syab.g_00095	Prbl.g_02060
OG0000032	Syab.g_00724	Prbl.g_00712
OG0000032	Syab.g_00149	Prbl.g_00889
OG0000033	Syab.g_02590	Prbl.g_00278
OG0000034	Syab.g_00900, Syab.g_02560	Prbl.g_01734
OG0000035	Syab.g_00778, Syab.g_00776	Prbl.g_00242
OG0000036	Syab.g_01108, Syab.g_01109, Syab.g_02412, Syab.g_01247	Prbl.g_01476, Prbl.g_00741, Prbl.g_00807, Prbl.g_01129, Prbl.g_02649, Prbl.g_00264, Prbl.g_02665, Prbl.g_00734, Prbl.g_00065, Prbl.g_00465, Prbl.g_00735
OG0000037	Syab.g_02504	Prbl.g_00548
OG0000038	Syab.g_02759	Prbl.g_02235
OG0000038	Syab.g_02761	Prbl.g_02233
OG0000039	Syab.g_02791	Prbl.g_01272
OG0000041	Syab.g_02333	Prbl.g_00339
OG0000042	Syab.g_01019, Syab.g_00099	Prbl.g_01236, Prbl.g_01121
OG0000045	Syab.g_00871, Syab.g_01787	Prbl.g_00609
OG0000046	Syab.g_00481, Syab.g_00488, Syab.g_00496	Prbl.g_01184
OG0000047	Syab.g_00876	Prbl.g_01574, Prbl.g_00719
OG0000048	Syab.g_00308	Prbl.g_01465
OG0000051	Syab.g_01073	Prbl.g_01677
OG0000052	Syab.g_00214	Prbl.g_00870
OG0000053	Syab.g_00746	Prbl.g_00691
OG0000054	Syab.g_01932	Prbl.g_01752
OG0000056	Syab.g_01452	Prbl.g_01599, Prbl.g_01171
OG0000057	Syab.g_01200	Prbl.g_00025
OG0000059	Syab.g_00397	Prbl.g_00836
OG0000060	Syab.g_02094	Prbl.g_00508
OG0000060	Syab.g_00707	Prbl.g_00063
OG0000061	Syab.g_00969	Prbl.g_02084
OG0000062	Syab.g_02234	Prbl.g_00417
OG0000063	Syab.g_00040	Prbl.g_01981
OG0000065	Syab.g_02500, Syab.g_01768	Prbl.g_00552
OG0000066	Syab.g_01516, Syab.g_02031	Prbl.g_00752
OG0000067	Syab.g_01659	Prbl.g_02335
OG0000068	Syab.g_02087	Prbl.g_00502
OG0000070	Syab.g_00614	Prbl.g_00634
OG0000071	Syab.g_00915	Prbl.g_01722
OG0000072	Syab.g_02593	Prbl.g_00276
OG0000073	Syab.g_02119	Prbl.g_00533
OG0000075	Syab.g_00202	Prbl.g_00855
OG0000076	Syab.g_00113	Prbl.g_01285
OG0000077	Syab.g_02446	Prbl.g_00596
OG0000078	Syab.g_02366	Prbl.g_00193
OG0000079	Syab.g_00340	Prbl.g_01505
OG0000081	Syab.g_01793	Prbl.g_01036, Prbl.g_00032
OG0000082	Syab.g_01971	Prbl.g_01783
OG0000084	Syab.g_00781	Prbl.g_00246
OG0000085	Syab.g_02243	Prbl.g_00405
OG0000086	Syab.g_02468	Prbl.g_00583
OG0000087	Syab.g_02551	Prbl.g_00810
OG0000088	Syab.g_02586	Prbl.g_01838, Prbl.g_00281
OG0000089	Syab.g_00551	Prbl.g_02674
OG0000090	Syab.g_02041	Prbl.g_00766
OG0000091	Syab.g_01866	Prbl.g_01647
OG0000093	Syab.g_01582, Syab.g_01090	Prbl.g_02359
OG0000095	Syab.g_01210	Prbl.g_00927
OG0000097	Syab.g_01051	Prbl.g_02579
OG0000098	Syab.g_01553	Prbl.g_00722
OG0000099	Syab.g_00230	Prbl.g_00893
OG0000100	Syab.g_01694	Prbl.g_01914, Prbl.g_02305
OG0000101	Syab.g_00446	Prbl.g_01000
