Orthogroup	Syab	Syag
OG0000001	Syab.g_01549	Syag.g_00575
OG0000001	Syab.g_02553, Syab.g_02555	Syag.g_01943
OG0000001	Syab.g_01509, Syab.g_01510	Syag.g_00520
OG0000003	Syab.g_01580	Syag.g_02658
OG0000004	Syab.g_01193	Syag.g_00988
OG0000004	Syab.g_01911	Syag.g_00370
OG0000004	Syab.g_02377	Syag.g_01790
OG0000005	Syab.g_02289	Syag.g_01708
OG0000005	Syab.g_02232	Syag.g_01667
OG0000006	Syab.g_00365, Syab.g_01847, Syab.g_02361	Syag.g_01772, Syag.g_02678, Syag.g_02687
OG0000006	Syab.g_01849	Syag.g_00435
OG0000007	Syab.g_02117	Syag.g_01507
OG0000007	Syab.g_02256	Syag.g_01687
OG0000008	Syab.g_01755	Syag.g_00496
OG0000008	Syab.g_01168	Syag.g_01017
OG0000009	Syab.g_00995	Syag.g_00220, Syag.g_00231
OG0000009	Syab.g_02498	Syag.g_01883
OG0000010	Syab.g_00696	Syag.g_01355
OG0000011	Syab.g_01491, Syab.g_01083	Syag.g_01299
OG0000012	Syab.g_01774	Syag.g_00995, Syag.g_00686, Syag.g_01105
OG0000013	Syab.g_00497	Syag.g_02820
OG0000013	Syab.g_00482	Syag.g_02806
OG0000013	Syab.g_00487	Syag.g_02811
OG0000014	Syab.g_00249	Syag.g_02559
OG0000014	Syab.g_00178	Syag.g_02487
OG0000015	Syab.g_02889	Syag.g_02252
OG0000016	Syab.g_00014	Syag.g_02286
OG0000016	Syab.g_01049	Syag.g_01066
OG0000017	Syab.g_01945	Syag.g_00344
OG0000017	Syab.g_01953	Syag.g_00336
OG0000018	Syab.g_00742	Syag.g_01387
OG0000019	Syab.g_00344	Syag.g_02663
OG0000020	Syab.g_02230	Syag.g_00085
OG0000022	Syab.g_01825	Syag.g_00458
OG0000023	Syab.g_02058	Syag.g_00261
OG0000023	Syab.g_01294	Syag.g_00234
OG0000024	Syab.g_01834	Syag.g_00455
OG0000025	Syab.g_01705	Syag.g_00718
OG0000026	Syab.g_00036	Syag.g_02309
OG0000027	Syab.g_01782	Syag.g_00165
OG0000028	Syab.g_00234	Syag.g_02540
OG0000030	Syab.g_00096	Syag.g_02375
OG0000030	Syab.g_00095	Syag.g_02374
OG0000031	Syab.g_00160	Syag.g_02510
OG0000032	Syab.g_00724	Syag.g_01366
OG0000032	Syab.g_00149	Syag.g_02480
OG0000033	Syab.g_02590	Syag.g_01978
OG0000034	Syab.g_00900, Syab.g_02560	Syag.g_01225, Syag.g_01947
OG0000035	Syab.g_00778, Syab.g_00776	Syag.g_01420
OG0000036	Syab.g_00846	Syag.g_00928
OG0000036	Syab.g_00839	Syag.g_01031, Syag.g_00063
OG0000036	Syab.g_01108, Syab.g_01109, Syab.g_02412, Syab.g_01247	Syag.g_01274
OG0000037	Syab.g_02504	Syag.g_00173
OG0000038	Syab.g_02759	Syag.g_02130
OG0000038	Syab.g_02761	Syag.g_02132
OG0000039	Syab.g_02791	Syag.g_02155
OG0000040	Syab.g_02853	Syag.g_02215
OG0000041	Syab.g_02333	Syag.g_01750
OG0000042	Syab.g_01019, Syab.g_00099	Syag.g_01094, Syag.g_02378
OG0000043	Syab.g_01539	Syag.g_00564
OG0000044	Syab.g_01256	Syag.g_00945
OG0000045	Syab.g_00871	Syag.g_00225
OG0000045	Syab.g_01787	Syag.g_00223
OG0000046	Syab.g_00481	Syag.g_02805
OG0000046	Syab.g_00488	Syag.g_02812
OG0000046	Syab.g_00496	Syag.g_02819
OG0000047	Syab.g_00876	Syag.g_00768
OG0000048	Syab.g_00308	Syag.g_02611
OG0000051	Syab.g_01073	Syag.g_01026
OG0000052	Syab.g_00214	Syag.g_02451
OG0000053	Syab.g_00746	Syag.g_01391
OG0000054	Syab.g_01932	Syag.g_00350
OG0000055	Syab.g_01255	Syag.g_00946
OG0000057	Syab.g_01200	Syag.g_00985
OG0000058	Syab.g_00227	Syag.g_02477
OG0000059	Syab.g_00397	Syag.g_02721
OG0000060	Syab.g_00662	Syag.g_01338
OG0000060	Syab.g_02094	Syag.g_01530
OG0000060	Syab.g_00707	Syag.g_02045
OG0000061	Syab.g_00171, Syab.g_00969	Syag.g_01141
OG0000062	Syab.g_02234	Syag.g_01669
OG0000063	Syab.g_00040	Syag.g_02313
OG0000064	Syab.g_01783	Syag.g_00487
OG0000064	Syab.g_00997	Syag.g_01589
OG0000064	Syab.g_00824	Syag.g_00076
OG0000065	Syab.g_01768	Syag.g_00182
OG0000066	Syab.g_02031	Syag.g_01443
OG0000067	Syab.g_01659	Syag.g_00667
OG0000068	Syab.g_02087	Syag.g_01537
OG0000070	Syab.g_00614	Syag.g_00049
OG0000071	Syab.g_00915	Syag.g_01192
OG0000072	Syab.g_02593	Syag.g_01980
OG0000073	Syab.g_02119	Syag.g_01505
OG0000075	Syab.g_00202	Syag.g_02434
OG0000076	Syab.g_00113	Syag.g_02393
OG0000077	Syab.g_02446	Syag.g_01831
OG0000078	Syab.g_02366	Syag.g_01778
OG0000079	Syab.g_00340	Syag.g_02659, Syag.g_02652
OG0000081	Syab.g_01793	Syag.g_00167
OG0000082	Syab.g_01971	Syag.g_00318
OG0000084	Syab.g_00781	Syag.g_01425
OG0000085	Syab.g_02243	Syag.g_01676
OG0000086	Syab.g_02468	Syag.g_01853
OG0000087	Syab.g_02551	Syag.g_01939
OG0000088	Syab.g_02586	Syag.g_01974
OG0000089	Syab.g_00551	Syag.g_00005
OG0000090	Syab.g_02041	Syag.g_01454
OG0000091	Syab.g_01866	Syag.g_00418
OG0000092	Syab.g_01242	Syag.g_00242
OG0000093	Syab.g_01582	Syag.g_00649
OG0000094	Syab.g_01306	Syag.g_00881
OG0000095	Syab.g_01210	Syag.g_00974
OG0000097	Syab.g_01051	Syag.g_01065
OG0000098	Syab.g_01553	Syag.g_00578
OG0000099	Syab.g_00230	Syag.g_02536
OG0000100	Syab.g_01694	Syag.g_00704
OG0000101	Syab.g_00446	Syag.g_02773
OG0000102	Syab.g_00104	Syag.g_02387
OG0000103	Syab.g_01296, Syab.g_02895	Syag.g_02253
OG0000104	Syab.g_02910	Syag.g_02268
OG0000105	Syab.g_00303	Syag.g_02606
OG0000106	Syab.g_01817	Syag.g_00462
OG0000107	Syab.g_00367	Syag.g_02689
OG0000108	Syab.g_02096	Syag.g_01528
OG0000109	Syab.g_02112	Syag.g_01512
OG0000110	Syab.g_01984	Syag.g_00303
OG0000111	Syab.g_01201	Syag.g_00984
OG0000112	Syab.g_01392	Syag.g_00801
OG0000113	Syab.g_01689	Syag.g_00699
OG0000114	Syab.g_01633	Syag.g_00609
OG0000115	Syab.g_00748	Syag.g_01397
OG0000116	Syab.g_00945	Syag.g_01156
OG0000117	Syab.g_01018	Syag.g_01097
OG0000118	Syab.g_00897	Syag.g_01232
OG0000120	Syab.g_00229	Syag.g_02535
OG0000121	Syab.g_00772	Syag.g_01414
OG0000122	Syab.g_01839	Syag.g_00446
OG0000123	Syab.g_00454	Syag.g_02781
OG0000124	Syab.g_00088	Syag.g_02367
OG0000125	Syab.g_02763	Syag.g_02136, Syag.g_02134
OG0000126	Syab.g_02908	Syag.g_02266
