Orthogroup	Syab	Syaa
OG0000001	Syab.g_01509, Syab.g_01510	Syaa.g_02329
OG0000004	Syab.g_00549, Syab.g_01193	Syaa.g_00892
OG0000004	Syab.g_01911	Syaa.g_01667
OG0000004	Syab.g_02377	Syaa.g_02116
OG0000005	Syab.g_02289	Syaa.g_00534
OG0000005	Syab.g_02232	Syaa.g_00573
OG0000005	Syab.g_00981	Syaa.g_01449
OG0000006	Syab.g_00365, Syab.g_01847, Syab.g_02361	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099
OG0000006	Syab.g_01849	Syaa.g_01611
OG0000007	Syab.g_02117	Syaa.g_02032
OG0000007	Syab.g_02256	Syaa.g_00551
OG0000008	Syab.g_01755	Syaa.g_00918
OG0000008	Syab.g_01168	Syaa.g_00919
OG0000009	Syab.g_02498	Syaa.g_02378
OG0000010	Syab.g_00696	Syaa.g_01843
OG0000012	Syab.g_00953	Syaa.g_02304
OG0000013	Syab.g_00497	Syaa.g_02204
OG0000013	Syab.g_00482	Syaa.g_02217
OG0000013	Syab.g_00487	Syaa.g_02212
OG0000014	Syab.g_00249	Syaa.g_00222
OG0000014	Syab.g_00178	Syaa.g_00481
OG0000015	Syab.g_02889	Syaa.g_02739
OG0000016	Syab.g_00014	Syaa.g_00014
OG0000016	Syab.g_01049	Syaa.g_00981
OG0000017	Syab.g_01945	Syaa.g_01883
OG0000017	Syab.g_01953	Syaa.g_01890
OG0000018	Syab.g_00742	Syaa.g_01801
OG0000019	Syab.g_00344	Syaa.g_00307
OG0000022	Syab.g_01825	Syaa.g_01571
OG0000023	Syab.g_00708	Syaa.g_01216
OG0000024	Syab.g_01834	Syaa.g_00922
OG0000025	Syab.g_01705	Syaa.g_00839
OG0000026	Syab.g_00036	Syaa.g_00038
OG0000027	Syab.g_01782	Syaa.g_00854
OG0000028	Syab.g_00234	Syaa.g_00205
OG0000030	Syab.g_00096	Syaa.g_00099
OG0000030	Syab.g_00095	Syaa.g_00098
OG0000031	Syab.g_00160	Syaa.g_00200
OG0000032	Syab.g_00724	Syaa.g_01818
OG0000033	Syab.g_02590	Syaa.g_02478
OG0000034	Syab.g_00900, Syab.g_02560	Syaa.g_00722, Syaa.g_02444
OG0000035	Syab.g_00776	Syaa.g_01773
OG0000037	Syab.g_02060, Syab.g_01241, Syab.g_02280, Syab.g_02205, Syab.g_02504	Syaa.g_02384
OG0000038	Syab.g_02759	Syaa.g_02596
OG0000040	Syab.g_02853	Syaa.g_02690
OG0000041	Syab.g_02333	Syaa.g_00660
OG0000042	Syab.g_01019, Syab.g_00099	Syaa.g_00103
OG0000043	Syab.g_01785	Syaa.g_01437
OG0000044	Syab.g_01256	Syaa.g_00851
OG0000045	Syab.g_00871	Syaa.g_01518
OG0000045	Syab.g_01787	Syaa.g_01560
OG0000046	Syab.g_00481	Syaa.g_02218
OG0000046	Syab.g_00488	Syaa.g_02211
OG0000046	Syab.g_00496	Syaa.g_02205
OG0000047	Syab.g_00876	Syaa.g_02189
OG0000048	Syab.g_00308	Syaa.g_02719, Syaa.g_00275
OG0000051	Syab.g_01073	Syaa.g_01531
OG0000052	Syab.g_00214	Syaa.g_00174
OG0000053	Syab.g_00746	Syaa.g_01797
OG0000054	Syab.g_01932	Syaa.g_01691
OG0000055	Syab.g_01255	Syaa.g_00852
OG0000057	Syab.g_01200	Syaa.g_00889
OG0000058	Syab.g_00227	Syaa.g_00193
OG0000059	Syab.g_00397	Syaa.g_02315
OG0000060	Syab.g_02094	Syaa.g_02053
OG0000061	Syab.g_00171, Syab.g_00969	Syaa.g_00770
OG0000062	Syab.g_02234	Syaa.g_00571
OG0000063	Syab.g_00040	Syaa.g_00042
OG0000064	Syab.g_01783	Syaa.g_01284, Syaa.g_02666
OG0000064	Syab.g_00997	Syaa.g_01568
OG0000064	Syab.g_00824	Syaa.g_00579
OG0000066	Syab.g_02031	Syaa.g_01968
OG0000067	Syab.g_01659	Syaa.g_01154
OG0000068	Syab.g_02087	Syaa.g_02059
OG0000070	Syab.g_00614	Syaa.g_00718
OG0000071	Syab.g_00915	Syaa.g_00735
OG0000072	Syab.g_02593	Syaa.g_02480
OG0000073	Syab.g_02119	Syaa.g_02030
OG0000075	Syab.g_00202	Syaa.g_00157
OG0000076	Syab.g_00113	Syaa.g_00123
OG0000077	Syab.g_02446	Syaa.g_00341
OG0000078	Syab.g_02366	Syaa.g_02103
OG0000079	Syab.g_00340	Syaa.g_00303
OG0000081	Syab.g_01793	Syaa.g_01694, Syaa.g_02089
OG0000082	Syab.g_01971	Syaa.g_01905
OG0000084	Syab.g_00781	Syaa.g_01770
OG0000085	Syab.g_02243	Syaa.g_00564
OG0000086	Syab.g_02468	Syaa.g_00324
OG0000087	Syab.g_02551	Syaa.g_02433
OG0000088	Syab.g_02586	Syaa.g_02474
OG0000089	Syab.g_00551	Syaa.g_02149
OG0000090	Syab.g_02041	Syaa.g_01980
OG0000091	Syab.g_01866	Syaa.g_01625
OG0000093	Syab.g_01582	Syaa.g_01139
OG0000094	Syab.g_01306	Syaa.g_01288
OG0000095	Syab.g_01210	Syaa.g_00879
OG0000097	Syab.g_01051	Syaa.g_00979
OG0000099	Syab.g_00230	Syaa.g_00202
OG0000100	Syab.g_01694	Syaa.g_01201
OG0000101	Syab.g_00446	Syaa.g_02249
OG0000102	Syab.g_00104	Syaa.g_00118
OG0000103	Syab.g_02895	Syaa.g_02740
OG0000104	Syab.g_02910	Syaa.g_02754
OG0000105	Syab.g_00303	Syaa.g_00270
OG0000106	Syab.g_01817	Syaa.g_01439
OG0000107	Syab.g_00367	Syaa.g_02351
OG0000108	Syab.g_02096	Syaa.g_02051
OG0000109	Syab.g_02112	Syaa.g_02036
OG0000110	Syab.g_01984	Syaa.g_01918
OG0000111	Syab.g_01201	Syaa.g_00888
OG0000112	Syab.g_01392	Syaa.g_01366
OG0000113	Syab.g_01689	Syaa.g_01196
OG0000114	Syab.g_01633, Syab.g_02656	Syaa.g_01094
OG0000115	Syab.g_00748	Syaa.g_01795
OG0000116	Syab.g_00945	Syaa.g_00757
OG0000117	Syab.g_01018	Syaa.g_01009
OG0000118	Syab.g_00897	Syaa.g_01874
OG0000120	Syab.g_00229	Syaa.g_00201
OG0000121	Syab.g_00772	Syaa.g_01777
OG0000122	Syab.g_01839	Syaa.g_01598
OG0000123	Syab.g_00454	Syaa.g_02242
OG0000124	Syab.g_00088	Syaa.g_00092
OG0000125	Syab.g_02763	Syaa.g_02598
OG0000126	Syab.g_02908	Syaa.g_02752
OG0000128	Syab.g_00012	Syaa.g_00012
OG0000129	Syab.g_02749	Syaa.g_02586
OG0000130	Syab.g_02434	Syaa.g_00354
OG0000131	Syab.g_02564	Syaa.g_02448
OG0000132	Syab.g_02584	Syaa.g_02472
OG0000133	Syab.g_01387	Syaa.g_01361
OG0000134	Syab.g_00554	Syaa.g_02146
OG0000135	Syab.g_02815	Syaa.g_02649
OG0000136	Syab.g_00588	Syaa.g_00708
OG0000137	Syab.g_00697	Syaa.g_01842
OG0000138	Syab.g_02113	Syaa.g_02035
OG0000139	Syab.g_02035	Syaa.g_01974
OG0000140	Syab.g_02033	Syaa.g_01971
OG0000141	Syab.g_01931	Syaa.g_01689
OG0000142	Syab.g_01873	Syaa.g_01633
OG0000143	Syab.g_01870	Syaa.g_01629
OG0000144	Syab.g_01757	Syaa.g_01446
