Orthogroup	Syab	Praf
OG0000000	Syab.g_01226	Praf.g_00813, Praf.g_01039, Praf.g_01042, Praf.g_00815, Praf.g_00814
OG0000001	Syab.g_01549	Praf.g_01895, Praf.g_00818, Praf.g_01896
OG0000001	Syab.g_02553, Syab.g_02555	Praf.g_02422
OG0000001	Syab.g_00673	Praf.g_01293
OG0000002	Syab.g_02285	Praf.g_01631, Praf.g_00948
OG0000003	Syab.g_01580	Praf.g_01103
OG0000004	Syab.g_00549, Syab.g_01193	Praf.g_01121
OG0000004	Syab.g_01911, Syab.g_02377	Praf.g_00743
OG0000005	Syab.g_02806, Syab.g_02232	Praf.g_00503
OG0000006	Syab.g_00365, Syab.g_01847, Syab.g_02361	Praf.g_00396, Praf.g_01719
OG0000007	Syab.g_02117	Praf.g_00614
OG0000007	Syab.g_02256	Praf.g_00480
OG0000008	Syab.g_01755	Praf.g_01223
OG0000008	Syab.g_01168	Praf.g_01224
OG0000009	Syab.g_02498	Praf.g_01768, Praf.g_00246
OG0000010	Syab.g_00696	Praf.g_01908
OG0000013	Syab.g_00497, Syab.g_00482, Syab.g_00487	Praf.g_02073
OG0000014	Syab.g_00249	Praf.g_02319
OG0000014	Syab.g_00178	Praf.g_00112
OG0000016	Syab.g_00014	Praf.g_00014
OG0000016	Syab.g_01049	Praf.g_00906
OG0000017	Syab.g_01945	Praf.g_00760
OG0000017	Syab.g_01953	Praf.g_00752
OG0000018	Syab.g_00742	Praf.g_01832
OG0000019	Syab.g_00344	Praf.g_00943
OG0000020	Syab.g_02230	Praf.g_01095
OG0000022	Syab.g_01825	Praf.g_00201, Praf.g_00965
OG0000024	Syab.g_01834	Praf.g_01139
OG0000025	Syab.g_01705	Praf.g_01591
OG0000026	Syab.g_00036	Praf.g_00037
OG0000028	Syab.g_00234	Praf.g_02333
OG0000030	Syab.g_00096	Praf.g_00160
OG0000030	Syab.g_00095	Praf.g_00159
OG0000032	Syab.g_00724	Praf.g_01851
OG0000032	Syab.g_00149	Praf.g_02346
OG0000033	Syab.g_02590	Praf.g_02457
OG0000034	Syab.g_00900, Syab.g_02560	Praf.g_00783
OG0000035	Syab.g_00778, Syab.g_00776	Praf.g_01794
OG0000036	Syab.g_01108, Syab.g_01109, Syab.g_02412, Syab.g_01247	Praf.g_02488, Praf.g_02527, Praf.g_02460, Praf.g_02459, Praf.g_02116, Praf.g_02481, Praf.g_02529
OG0000037	Syab.g_02504	Praf.g_00240
OG0000038	Syab.g_02759	Praf.g_02660
OG0000038	Syab.g_02761	Praf.g_02662
OG0000039	Syab.g_02791	Praf.g_02541
OG0000041	Syab.g_02333	Praf.g_00426
OG0000042	Syab.g_01019, Syab.g_00099	Praf.g_00164, Praf.g_00920
OG0000045	Syab.g_00871, Syab.g_01787	Praf.g_00322
OG0000046	Syab.g_00481, Syab.g_00488, Syab.g_00496	Praf.g_02072
OG0000047	Syab.g_00876	Praf.g_01898, Praf.g_01864
OG0000048	Syab.g_00308	Praf.g_02267
OG0000051	Syab.g_01073	Praf.g_01022
OG0000052	Syab.g_00214	Praf.g_02366
OG0000053	Syab.g_00746	Praf.g_01828
OG0000054	Syab.g_01932	Praf.g_00763
OG0000055	Syab.g_01255	Praf.g_01257
OG0000056	Syab.g_01452	Praf.g_01648, Praf.g_01880, Praf.g_02641, Praf.g_01879, Praf.g_01191, Praf.g_02639, Praf.g_02620, Praf.g_02084, Praf.g_01964, Praf.g_01881
OG0000057	Syab.g_01200	Praf.g_01125
OG0000060	Syab.g_02094	Praf.g_00592
OG0000061	Syab.g_00969	Praf.g_00854, Praf.g_01859
OG0000063	Syab.g_00040	Praf.g_00041
OG0000065	Syab.g_02500, Syab.g_01768	Praf.g_00244
OG0000066	Syab.g_01516, Syab.g_02031	Praf.g_00672
OG0000067	Syab.g_01659	Praf.g_01530
OG0000068	Syab.g_02087	Praf.g_00585, Praf.g_00583
OG0000070	Syab.g_00614	Praf.g_01962
OG0000071	Syab.g_00915	Praf.g_00796
OG0000073	Syab.g_02119	Praf.g_00616
OG0000075	Syab.g_00202	Praf.g_02384
OG0000076	Syab.g_00113	Praf.g_00178
OG0000077	Syab.g_02446	Praf.g_00309
OG0000078	Syab.g_02366	Praf.g_00391
OG0000079	Syab.g_00340	Praf.g_02234, Praf.g_02218, Praf.g_02225
OG0000081	Syab.g_01793	Praf.g_01131
OG0000082	Syab.g_01971	Praf.g_00731
OG0000084	Syab.g_00781	Praf.g_01790
OG0000085	Syab.g_02243	Praf.g_00491
OG0000086	Syab.g_02468	Praf.g_00297
OG0000087	Syab.g_02551	Praf.g_02420
OG0000088	Syab.g_02586	Praf.g_01239, Praf.g_02454
OG0000089	Syab.g_00551	Praf.g_02015
OG0000090	Syab.g_02041	Praf.g_00660
OG0000091	Syab.g_01866	Praf.g_01700
OG0000093	Syab.g_01582, Syab.g_01090	Praf.g_01503
OG0000095	Syab.g_01210	Praf.g_01274
OG0000097	Syab.g_01051	Praf.g_00905
OG0000098	Syab.g_01553	Praf.g_01886
OG0000099	Syab.g_00230	Praf.g_02342
OG0000100	Syab.g_01694	Praf.g_00370, Praf.g_01561
OG0000101	Syab.g_00446	Praf.g_02119
OG0000102	Syab.g_00104	Praf.g_00173
OG0000103	Syab.g_01296, Syab.g_02895	Praf.g_02765
OG0000104	Syab.g_02910	Praf.g_02779
OG0000105	Syab.g_00303	Praf.g_02271
OG0000106	Syab.g_01817	Praf.g_00496
OG0000107	Syab.g_00367	Praf.g_02201
OG0000108	Syab.g_02096	Praf.g_00595
OG0000109	Syab.g_02112	Praf.g_00611
OG0000110	Syab.g_01984	Praf.g_00718
OG0000111	Syab.g_01201	Praf.g_01126
OG0000112	Syab.g_01392	Praf.g_01400
OG0000113	Syab.g_01689	Praf.g_01556
OG0000114	Syab.g_01633	Praf.g_01461
OG0000115	Syab.g_00748	Praf.g_01825
OG0000116	Syab.g_00945	Praf.g_00825
OG0000117	Syab.g_01018	Praf.g_00919
OG0000118	Syab.g_00897	Praf.g_00779
OG0000120	Syab.g_00229	Praf.g_02343
OG0000121	Syab.g_00772	Praf.g_01796
OG0000122	Syab.g_01839	Praf.g_00976
OG0000123	Syab.g_00454	Praf.g_02108
OG0000124	Syab.g_00088	Praf.g_00153
OG0000125	Syab.g_02763	Praf.g_02664
OG0000126	Syab.g_02908	Praf.g_02777
OG0000128	Syab.g_00012	Praf.g_00012
OG0000129	Syab.g_02749	Praf.g_02652
OG0000130	Syab.g_02434	Praf.g_00321
OG0000131	Syab.g_02564	Praf.g_02432
OG0000132	Syab.g_02584	Praf.g_02452
OG0000133	Syab.g_01387	Praf.g_02336
OG0000134	Syab.g_00554	Praf.g_02012
OG0000135	Syab.g_02815	Praf.g_02705
OG0000136	Syab.g_00588	Praf.g_01984
OG0000137	Syab.g_00697	Praf.g_01907
OG0000138	Syab.g_02113	Praf.g_00612
OG0000139	Syab.g_02035	Praf.g_00666
OG0000140	Syab.g_02033	Praf.g_00670
OG0000141	Syab.g_01931	Praf.g_00764
OG0000142	Syab.g_01873	Praf.g_01692
OG0000143	Syab.g_01870	Praf.g_01696
OG0000144	Syab.g_01757	Praf.g_01721
OG0000145	Syab.g_02120	Praf.g_00617
OG0000146	Syab.g_01393	Praf.g_01401
OG0000147	Syab.g_01394	Praf.g_01402
OG0000148	Syab.g_01682	Praf.g_01548
OG0000149	Syab.g_01720	Praf.g_01604
OG0000150	Syab.g_01930	Praf.g_01625
OG0000151	Syab.g_01612	Praf.g_01478
OG0000152	Syab.g_01383	Praf.g_01392
OG0000153	Syab.g_01343	Praf.g_01362
OG0000154	Syab.g_01317	Praf.g_01337
OG0000155	Syab.g_01009	Praf.g_00886
OG0000156	Syab.g_00933	Praf.g_00810
OG0000157	Syab.g_00932	Praf.g_00809
OG0000158	Syab.g_00161	Praf.g_02394
OG0000160	Syab.g_00774	Praf.g_01795
OG0000161	Syab.g_00766	Praf.g_01805
OG0000162	Syab.g_00755	Praf.g_01817
OG0000163	Syab.g_02173	Praf.g_00538
OG0000164	Syab.g_02307	Praf.g_00453
OG0000165	Syab.g_02316	Praf.g_00444
OG0000166	Syab.g_00407	Praf.g_02157
OG0000167	Syab.g_00205	Praf.g_02382, Praf.g_02378, Praf.g_02380
OG0000168	Syab.g_00136	Praf.g_02395
OG0000169	Syab.g_00125	Praf.g_00191
OG0000170	Syab.g_00118	Praf.g_00183
OG0000171	Syab.g_00089	Praf.g_00154
OG0000172	Syab.g_00080	Praf.g_00087
OG0000173	Syab.g_00061	Praf.g_00062
OG0000174	Syab.g_02819	Praf.g_02717
OG0000175	Syab.g_02876	Praf.g_02754
OG0000176	Syab.g_00004	Praf.g_00004
OG0000177	Syab.g_00005	Praf.g_00005
OG0000178	Syab.g_00006	Praf.g_00006
OG0000179	Syab.g_00022	Praf.g_00021
OG0000180	Syab.g_00023	Praf.g_00022
OG0000181	Syab.g_00024	Praf.g_00023
OG0000182	Syab.g_00025	Praf.g_00024
OG0000183	Syab.g_00029	Praf.g_00028
OG0000184	Syab.g_02738	Praf.g_02611
OG0000185	Syab.g_02715	Praf.g_02602
OG0000186	Syab.g_02430	Praf.g_00328
OG0000187	Syab.g_02431	Praf.g_00326
OG0000188	Syab.g_02454	Praf.g_00303
OG0000189	Syab.g_02487	Praf.g_00257
OG0000190	Syab.g_00190, Syab.g_00139	Praf.g_00255
OG0000191	Syab.g_02522	Praf.g_00218
OG0000192	Syab.g_02528	Praf.g_00212
OG0000193	Syab.g_02565	Praf.g_02433
OG0000194	Syab.g_02568	Praf.g_02436
OG0000195	Syab.g_02570	Praf.g_02438
OG0000196	Syab.g_02581	Praf.g_02449
OG0000197	Syab.g_02582	Praf.g_02450
OG0000198	Syab.g_02583	Praf.g_02451
OG0000199	Syab.g_02591	Praf.g_02468
OG0000200	Syab.g_02611	Praf.g_02711, Praf.g_02492
OG0000201	Syab.g_02628	Praf.g_02511
OG0000202	Syab.g_02629	Praf.g_02512
OG0000203	Syab.g_02630	Praf.g_02513
OG0000204	Syab.g_02631	Praf.g_02514
OG0000205	Syab.g_02638	Praf.g_02708, Praf.g_02521
OG0000206	Syab.g_02674	Praf.g_02532
OG0000207	Syab.g_02677	Praf.g_02582
OG0000208	Syab.g_02678	Praf.g_02581
OG0000209	Syab.g_02698	Praf.g_02557
OG0000210	Syab.g_02699	Praf.g_02556
OG0000211	Syab.g_02374	Praf.g_00378
OG0000212	Syab.g_02365	Praf.g_00392
OG0000213	Syab.g_00332	Praf.g_02245
OG0000214	Syab.g_00312	Praf.g_02263
OG0000215	Syab.g_00281	Praf.g_02293
OG0000216	Syab.g_00277	Praf.g_02296
OG0000217	Syab.g_00273	Praf.g_02300
OG0000218	Syab.g_00271	Praf.g_02302
OG0000219	Syab.g_00270	Praf.g_02303
OG0000220	Syab.g_00269	Praf.g_02304
OG0000221	Syab.g_00257	Praf.g_02314
OG0000222	Syab.g_00244	Praf.g_02323
OG0000223	Syab.g_00226	Praf.g_02347
OG0000224	Syab.g_00223	Praf.g_02358
OG0000225	Syab.g_00538	Praf.g_02030
OG0000226	Syab.g_00542	Praf.g_02026
OG0000227	Syab.g_00544	Praf.g_02024
OG0000228	Syab.g_00550	Praf.g_02016
OG0000229	Syab.g_00583	Praf.g_01989
OG0000230	Syab.g_00585	Praf.g_01987
OG0000231	Syab.g_00613	Praf.g_01963
OG0000232	Syab.g_00631	Praf.g_01952
OG0000233	Syab.g_00645	Praf.g_01938
OG0000234	Syab.g_00699	Praf.g_01905
OG0000235	Syab.g_02095	Praf.g_00594
OG0000236	Syab.g_02111	Praf.g_00610
OG0000237	Syab.g_02129	Praf.g_00627
OG0000238	Syab.g_02134	Praf.g_00631
OG0000239	Syab.g_02151	Praf.g_00647
OG0000240	Syab.g_02152	Praf.g_00648
OG0000241	Syab.g_01884	Praf.g_01177
OG0000242	Syab.g_02043	Praf.g_00658
OG0000243	Syab.g_02025	Praf.g_00681
OG0000244	Syab.g_02017	Praf.g_00685
OG0000245	Syab.g_02015	Praf.g_00688
OG0000246	Syab.g_02011	Praf.g_00692
OG0000247	Syab.g_01999	Praf.g_00703
OG0000248	Syab.g_01996	Praf.g_00706
OG0000249	Syab.g_01994	Praf.g_00708
OG0000250	Syab.g_01988	Praf.g_00714
OG0000251	Syab.g_01961	Praf.g_00739
OG0000252	Syab.g_01958	Praf.g_00742
OG0000253	Syab.g_01956	Praf.g_00749
OG0000254	Syab.g_01925	Praf.g_00768
OG0000255	Syab.g_01912	Praf.g_01662
OG0000256	Syab.g_01890	Praf.g_01676
OG0000257	Syab.g_01885	Praf.g_01685
OG0000258	Syab.g_01861	Praf.g_01708
OG0000259	Syab.g_01538	Praf.g_01736
OG0000260	Syab.g_01544	Praf.g_01739
OG0000261	Syab.g_01556	Praf.g_01742
OG0000262	Syab.g_01561	Praf.g_01748
OG0000263	Syab.g_01035	Praf.g_02570
OG0000264	Syab.g_01173	Praf.g_01218, Praf.g_01219
OG0000265	Syab.g_01773	Praf.g_01302, Praf.g_01238
OG0000266	Syab.g_01667	Praf.g_01313
