Orthogroup	Syab	Pram
OG0000000	Syab.g_01226	Pram.g_01561, Pram.g_01513, Pram.g_01176, Pram.g_01511, Pram.g_01512, Pram.g_01556
OG0000001	Syab.g_01549	Pram.g_01954, Pram.g_01953, Pram.g_00719
OG0000002	Syab.g_02285	Pram.g_00873, Pram.g_00879, Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174, Pram.g_01278, Pram.g_00768
OG0000004	Syab.g_00549, Syab.g_01193	Pram.g_00789
OG0000004	Syab.g_01911, Syab.g_02377	Pram.g_00219
OG0000005	Syab.g_02806, Syab.g_02232	Pram.g_01295
OG0000006	Syab.g_00365, Syab.g_01847, Syab.g_02361	Pram.g_00229
OG0000007	Syab.g_02117	Pram.g_00433
OG0000007	Syab.g_02256	Pram.g_01632
OG0000008	Syab.g_01755	Pram.g_01263
OG0000008	Syab.g_01168	Pram.g_01262
OG0000009	Syab.g_00995	Pram.g_00390, Pram.g_01284, Pram.g_01573
OG0000010	Syab.g_00696	Pram.g_00704, Pram.g_01000, Pram.g_00410
OG0000011	Syab.g_01491	Pram.g_01579
OG0000013	Syab.g_00497, Syab.g_00482, Syab.g_00487	Pram.g_00315
OG0000014	Syab.g_00249	Pram.g_00295
OG0000016	Syab.g_01049	Pram.g_01193
OG0000017	Syab.g_01945	Pram.g_00542
OG0000017	Syab.g_01953	Pram.g_00535
OG0000018	Syab.g_00742	Pram.g_01162, Pram.g_00837
OG0000019	Syab.g_00344	Pram.g_00237, Pram.g_01164
OG0000020	Syab.g_02230	Pram.g_01275, Pram.g_01595, Pram.g_01516
OG0000022	Syab.g_01825	Pram.g_01287
OG0000023	Syab.g_00708, Syab.g_02058, Syab.g_01294	Pram.g_00689
OG0000024	Syab.g_01834	Pram.g_01004, Pram.g_00765
OG0000025	Syab.g_01705	Pram.g_00844
OG0000026	Syab.g_00036	Pram.g_00018
OG0000028	Syab.g_00234	Pram.g_00308, Pram.g_00363
OG0000030	Syab.g_00096, Syab.g_00095	Pram.g_01844
OG0000031	Syab.g_00160	Pram.g_01413
OG0000032	Syab.g_00724	Pram.g_01339
OG0000033	Syab.g_02590	Pram.g_00154
OG0000034	Syab.g_00900, Syab.g_02560	Pram.g_01240
OG0000035	Syab.g_00776	Pram.g_01378, Pram.g_01381
OG0000037	Syab.g_02504	Pram.g_00093
OG0000038	Syab.g_02759, Syab.g_02761	Pram.g_01884
OG0000039	Syab.g_02791	Pram.g_00777
OG0000041	Syab.g_02333	Pram.g_01680
OG0000042	Syab.g_01019, Syab.g_00099	Pram.g_01841
OG0000043	Syab.g_01539	Pram.g_01161
OG0000044	Syab.g_01262	Pram.g_01620
OG0000045	Syab.g_01787	Pram.g_01184
OG0000046	Syab.g_00481, Syab.g_00488, Syab.g_00496	Pram.g_00316
OG0000047	Syab.g_00876	Pram.g_00359
OG0000048	Syab.g_00308	Pram.g_00259
OG0000052	Syab.g_00214	Pram.g_01436
OG0000053	Syab.g_00746	Pram.g_01580, Pram.g_01357
OG0000054	Syab.g_01932	Pram.g_00544
OG0000055	Syab.g_01255	Pram.g_01189
OG0000056	Syab.g_01452	Pram.g_01611, Pram.g_00603
OG0000057	Syab.g_01200	Pram.g_00792
OG0000058	Syab.g_00227	Pram.g_01447
OG0000059	Syab.g_00397	Pram.g_01719
OG0000061	Syab.g_00969	Pram.g_01140
OG0000062	Syab.g_02234	Pram.g_01293
OG0000063	Syab.g_00040	Pram.g_01258
OG0000064	Syab.g_02808, Syab.g_01783, Syab.g_00997, Syab.g_00824	Pram.g_00052
OG0000065	Syab.g_02500, Syab.g_01768	Pram.g_00091
OG0000066	Syab.g_02031	Pram.g_01558
OG0000067	Syab.g_01659	Pram.g_00809
OG0000068	Syab.g_02087	Pram.g_01468
OG0000070	Syab.g_00614	Pram.g_00385
OG0000071	Syab.g_00915	Pram.g_01230
OG0000072	Syab.g_02593	Pram.g_00156
OG0000073	Syab.g_02119	Pram.g_00437
OG0000075	Syab.g_00202	Pram.g_01807
OG0000076	Syab.g_00113	Pram.g_01833
OG0000077	Syab.g_02446	Pram.g_00063
OG0000078	Syab.g_02366	Pram.g_00227
OG0000079	Syab.g_00340	Pram.g_00240
OG0000081	Syab.g_01793	Pram.g_00469
OG0000082	Syab.g_01971	Pram.g_01559
OG0000084	Syab.g_00781	Pram.g_01384
OG0000085	Syab.g_02243	Pram.g_01265
OG0000086	Syab.g_02468	Pram.g_00072
OG0000087	Syab.g_02551	Pram.g_00125
OG0000088	Syab.g_02586	Pram.g_00151
OG0000089	Syab.g_00551	Pram.g_00352
OG0000090	Syab.g_02041	Pram.g_00471
OG0000091	Syab.g_01866	Pram.g_01068
OG0000092	Syab.g_01242, Syab.g_00690	Pram.g_00739
OG0000093	Syab.g_01090	Pram.g_01038
OG0000097	Syab.g_01051	Pram.g_01093
OG0000098	Syab.g_01553	Pram.g_01478
OG0000099	Syab.g_00230	Pram.g_01445
OG0000100	Syab.g_01694	Pram.g_01298
OG0000101	Syab.g_00446	Pram.g_01770
OG0000102	Syab.g_00104	Pram.g_01838
OG0000103	Syab.g_01296, Syab.g_02895	Pram.g_01925
OG0000104	Syab.g_02910	Pram.g_01934
OG0000105	Syab.g_00303	Pram.g_00262
OG0000106	Syab.g_01817	Pram.g_00677
OG0000108	Syab.g_02096	Pram.g_00416
OG0000109	Syab.g_02112	Pram.g_00430
OG0000110	Syab.g_01984	Pram.g_00513
OG0000111	Syab.g_01201	Pram.g_00793
OG0000112	Syab.g_01392	Pram.g_00935
OG0000113	Syab.g_01689	Pram.g_00832
OG0000114	Syab.g_01633	Pram.g_00734
OG0000115	Syab.g_00748	Pram.g_01201
OG0000116	Syab.g_00945	Pram.g_01151
OG0000117	Syab.g_01018	Pram.g_01112
OG0000118	Syab.g_00897	Pram.g_01242
OG0000120	Syab.g_00229	Pram.g_01446
OG0000121	Syab.g_00772	Pram.g_01376
OG0000122	Syab.g_01839	Pram.g_01204, Pram.g_01334
OG0000123	Syab.g_00454	Pram.g_01777
OG0000124	Syab.g_00088	Pram.g_01850
OG0000125	Syab.g_02763	Pram.g_01886
OG0000126	Syab.g_02908	Pram.g_01933
OG0000128	Syab.g_00012	Pram.g_01949
OG0000129	Syab.g_02749	Pram.g_00029
OG0000130	Syab.g_02434	Pram.g_00054
OG0000131	Syab.g_02564	Pram.g_00130
OG0000132	Syab.g_02584	Pram.g_00149
OG0000133	Syab.g_01387	Pram.g_00310
