Orthogroup	Syab	Prbc
OG0000000	Syab.g_01226	Prbc.g_02163, Prbc.g_00103, Prbc.g_00609, Prbc.g_00812, Prbc.g_00104, Prbc.g_02164, Prbc.g_00806, Prbc.g_02165, Prbc.g_00106, Prbc.g_00618, Prbc.g_02167, Prbc.g_00608, Prbc.g_00808, Prbc.g_00525
OG0000001	Syab.g_01549	Prbc.g_00588, Prbc.g_00892, Prbc.g_01530, Prbc.g_00925
OG0000002	Syab.g_02285	Prbc.g_01920, Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473, Prbc.g_01478, Prbc.g_01759
OG0000004	Syab.g_00549, Syab.g_01193	Prbc.g_01381
OG0000004	Syab.g_01911, Syab.g_02377	Prbc.g_00339
OG0000005	Syab.g_02289	Prbc.g_00098
OG0000005	Syab.g_02232	Prbc.g_00788
OG0000006	Syab.g_00365, Syab.g_01847, Syab.g_02361	Prbc.g_02202
OG0000007	Syab.g_02117	Prbc.g_01556
OG0000007	Syab.g_02256	Prbc.g_00832
OG0000008	Syab.g_01755	Prbc.g_00893
OG0000008	Syab.g_01168	Prbc.g_00894
OG0000009	Syab.g_00995	Prbc.g_01344
OG0000010	Syab.g_00696	Prbc.g_02115, Prbc.g_01533
OG0000011	Syab.g_01491	Prbc.g_00136
OG0000011	Syab.g_01083	Prbc.g_00616
OG0000013	Syab.g_00497, Syab.g_00482, Syab.g_00487	Prbc.g_01219
OG0000014	Syab.g_00249	Prbc.g_01198
OG0000014	Syab.g_00178	Prbc.g_00680
OG0000016	Syab.g_00014	Prbc.g_01083
OG0000016	Syab.g_01049	Prbc.g_00929
OG0000017	Syab.g_01953	Prbc.g_01681
OG0000018	Syab.g_00742	Prbc.g_01468, Prbc.g_01887
OG0000019	Syab.g_00344	Prbc.g_01836
OG0000020	Syab.g_02230	Prbc.g_02114, Prbc.g_00054, Prbc.g_00116
OG0000022	Syab.g_01825	Prbc.g_00166, Prbc.g_01288
OG0000023	Syab.g_00708, Syab.g_02058, Syab.g_01294	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071
OG0000024	Syab.g_01834	Prbc.g_00598, Prbc.g_01755
OG0000025	Syab.g_01705	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894
OG0000026	Syab.g_00036	Prbc.g_01101
OG0000027	Syab.g_01782	Prbc.g_00072
OG0000028	Syab.g_00234	Prbc.g_00653
OG0000030	Syab.g_00096, Syab.g_00095	Prbc.g_00199
OG0000032	Syab.g_00724	Prbc.g_00746
OG0000033	Syab.g_02590	Prbc.g_00402
OG0000034	Syab.g_00900, Syab.g_02560	Prbc.g_00575
OG0000035	Syab.g_00776	Prbc.g_00709
OG0000037	Syab.g_02504	Prbc.g_00464
OG0000038	Syab.g_02759, Syab.g_02761	Prbc.g_00995
OG0000039	Syab.g_02791	Prbc.g_01768
OG0000041	Syab.g_02333	Prbc.g_00877
OG0000042	Syab.g_01019, Syab.g_00099	Prbc.g_00203
OG0000043	Syab.g_01539	Prbc.g_01953
OG0000043	Syab.g_01785	Prbc.g_00135
OG0000044	Syab.g_01262	Prbc.g_00533
OG0000045	Syab.g_01787	Prbc.g_02137
OG0000046	Syab.g_00481, Syab.g_00488, Syab.g_00496	Prbc.g_01220
OG0000047	Syab.g_00876	Prbc.g_01273, Prbc.g_01227
OG0000048	Syab.g_00308	Prbc.g_01165
OG0000051	Syab.g_01073	Prbc.g_00088, Prbc.g_00095
OG0000053	Syab.g_00746	Prbc.g_00728
OG0000054	Syab.g_01932	Prbc.g_01683
OG0000055	Syab.g_01255	Prbc.g_01822
OG0000056	Syab.g_01452	Prbc.g_01108, Prbc.g_00011, Prbc.g_00532
OG0000057	Syab.g_01200	Prbc.g_01780, Prbc.g_00055
OG0000058	Syab.g_00227	Prbc.g_01928
OG0000059	Syab.g_00397	Prbc.g_00958
OG0000061	Syab.g_00969	Prbc.g_01446
OG0000063	Syab.g_00040	Prbc.g_00932
OG0000065	Syab.g_02500, Syab.g_01768	Prbc.g_00466
OG0000066	Syab.g_02031	Prbc.g_01618
OG0000067	Syab.g_01659	Prbc.g_01858
OG0000068	Syab.g_02087	Prbc.g_00657
OG0000070	Syab.g_00614	Prbc.g_01511
OG0000071	Syab.g_00915	Prbc.g_00566
OG0000072	Syab.g_02593	Prbc.g_00400
OG0000073	Syab.g_02119	Prbc.g_01579
OG0000075	Syab.g_00202	Prbc.g_00236
OG0000076	Syab.g_00113	Prbc.g_00211
OG0000077	Syab.g_02446	Prbc.g_00495
OG0000078	Syab.g_02366	Prbc.g_00330
OG0000079	Syab.g_00340	Prbc.g_01148
OG0000081	Syab.g_01793	Prbc.g_01610
OG0000082	Syab.g_01971	Prbc.g_00891
OG0000084	Syab.g_00781	Prbc.g_00705
OG0000085	Syab.g_02243	Prbc.g_00826
OG0000086	Syab.g_02468	Prbc.g_00485
OG0000087	Syab.g_02551	Prbc.g_00432
OG0000088	Syab.g_02586	Prbc.g_00405
OG0000089	Syab.g_00551	Prbc.g_01268
OG0000090	Syab.g_02041	Prbc.g_01612
OG0000091	Syab.g_01866	Prbc.g_01719
OG0000092	Syab.g_01242, Syab.g_00690	Prbc.g_01982, Prbc.g_01110, Prbc.g_00263
OG0000093	Syab.g_01090	Prbc.g_01843
OG0000097	Syab.g_01051	Prbc.g_01400
OG0000098	Syab.g_01553	Prbc.g_00585
OG0000099	Syab.g_00230	Prbc.g_01229
OG0000100	Syab.g_01694	Prbc.g_00785
OG0000101	Syab.g_00446	Prbc.g_00284
OG0000102	Syab.g_00104	Prbc.g_00206
OG0000103	Syab.g_01296, Syab.g_02895	Prbc.g_01053
OG0000104	Syab.g_02910	Prbc.g_01065
OG0000105	Syab.g_00303	Prbc.g_01167
OG0000106	Syab.g_01817	Prbc.g_00134, Prbc.g_00641
