Orthogroup	Syab	Syah
OG0000001	Syab.g_01549	Syah.g_00726
OG0000001	Syab.g_02553, Syab.g_02555	Syah.g_00040, Syah.g_00041
OG0000001	Syab.g_01509, Syab.g_01510	Syah.g_00710
OG0000002	Syab.g_02285	Syah.g_01829
OG0000004	Syab.g_00549, Syab.g_01193	Syah.g_02017
OG0000004	Syab.g_01911	Syah.g_01967
OG0000004	Syab.g_02377	Syah.g_00901
OG0000005	Syab.g_02289	Syah.g_02403
OG0000005	Syab.g_02232	Syah.g_02363
OG0000005	Syab.g_00981	Syah.g_01827
OG0000006	Syab.g_00365, Syab.g_01847, Syab.g_02361	Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918
OG0000006	Syab.g_01849	Syah.g_01912
OG0000007	Syab.g_02117	Syah.g_01016
OG0000007	Syab.g_02256	Syah.g_02384
OG0000008	Syab.g_01755	Syah.g_01994
OG0000008	Syab.g_01168	Syah.g_01993
OG0000009	Syab.g_00995	Syah.g_02457
OG0000009	Syab.g_02498	Syah.g_01910, Syah.g_02535
OG0000010	Syab.g_00696	Syah.g_01220
OG0000012	Syab.g_01774, Syab.g_00953	Syah.g_01340
OG0000013	Syab.g_00497	Syah.g_00831
OG0000013	Syab.g_00482	Syah.g_00817
OG0000013	Syab.g_00487	Syah.g_00822
OG0000014	Syab.g_00249	Syah.g_00127
OG0000014	Syab.g_00178	Syah.g_00323
OG0000016	Syab.g_00014	Syah.g_00359
OG0000016	Syab.g_01049	Syah.g_01402
OG0000017	Syab.g_01945	Syah.g_01159
OG0000017	Syab.g_01953	Syah.g_01152
OG0000018	Syab.g_00742	Syah.g_01264
OG0000019	Syab.g_00344	Syah.g_00669
OG0000022	Syab.g_01825	Syah.g_01881
OG0000023	Syab.g_00708	Syah.g_01330, Syah.g_02167
OG0000023	Syab.g_02058, Syab.g_01294	Syah.g_00930
OG0000024	Syab.g_01834	Syah.g_01990
OG0000025	Syab.g_01705	Syah.g_02082
OG0000026	Syab.g_00036	Syah.g_00340
OG0000027	Syab.g_01782	Syah.g_01541
OG0000028	Syab.g_00234	Syah.g_00141
OG0000030	Syab.g_00096	Syah.g_00264
OG0000030	Syab.g_00095	Syah.g_00265
OG0000031	Syab.g_00160	Syah.g_00146
OG0000032	Syab.g_00724	Syah.g_01246
OG0000033	Syab.g_02590	Syah.g_00078
OG0000034	Syab.g_00900, Syab.g_02560	Syah.g_00048, Syah.g_02213
OG0000035	Syab.g_00776	Syah.g_01293
OG0000036	Syab.g_00846	Syah.g_00949
OG0000036	Syab.g_01108, Syab.g_01109, Syab.g_02412, Syab.g_01247	Syah.g_00964, Syah.g_00963
OG0000037	Syab.g_02504	Syah.g_02541, Syah.g_00956, Syah.g_01365
OG0000038	Syab.g_02759	Syah.g_00508
OG0000038	Syab.g_02761	Syah.g_00506
OG0000040	Syab.g_02853	Syah.g_00431
OG0000041	Syab.g_02333	Syah.g_02271
OG0000042	Syab.g_01019, Syab.g_00099	Syah.g_00261
OG0000043	Syab.g_02802	Syah.g_02119
OG0000043	Syab.g_01785	Syah.g_01546
OG0000044	Syab.g_01262	Syah.g_01194
OG0000044	Syab.g_01256	Syah.g_02072
OG0000045	Syab.g_00871	Syah.g_02356
OG0000045	Syab.g_01787	Syah.g_01872
OG0000046	Syab.g_00481	Syah.g_00816
OG0000046	Syab.g_00488	Syah.g_00823
OG0000046	Syab.g_00496	Syah.g_00830
OG0000047	Syab.g_00876	Syah.g_00847
OG0000048	Syab.g_00308	Syah.g_00637
OG0000051	Syab.g_01073	Syah.g_02473
OG0000052	Syab.g_00214	Syah.g_00171
OG0000053	Syab.g_00746	Syah.g_01267
OG0000054	Syab.g_01932	Syah.g_01982
OG0000055	Syab.g_01255	Syah.g_02071
OG0000057	Syab.g_01200	Syah.g_02020
OG0000058	Syab.g_00227	Syah.g_00152
OG0000059	Syab.g_00397	Syah.g_00737
OG0000061	Syab.g_00171, Syab.g_00969	Syah.g_02158
OG0000062	Syab.g_02234	Syah.g_02365
OG0000063	Syab.g_00040	Syah.g_00337
OG0000064	Syab.g_00997	Syah.g_01353
OG0000064	Syab.g_00824	Syah.g_02357
OG0000065	Syab.g_01768	Syah.g_02443
OG0000066	Syab.g_02031	Syah.g_01073
OG0000067	Syab.g_01659	Syah.g_01779
OG0000068	Syab.g_02087	Syah.g_00986
OG0000070	Syab.g_00614	Syah.g_02217
OG0000071	Syab.g_00915	Syah.g_02199
OG0000072	Syab.g_02593	Syah.g_00080
OG0000073	Syab.g_02119	Syah.g_01018
OG0000075	Syab.g_00202	Syah.g_00186
OG0000076	Syab.g_00113	Syah.g_00250
OG0000077	Syab.g_02446	Syah.g_02494
OG0000078	Syab.g_02366	Syah.g_00912
OG0000079	Syab.g_00340	Syah.g_00665
OG0000081	Syab.g_01793	Syah.g_02471, Syah.g_00922
OG0000082	Syab.g_01971	Syah.g_01136
OG0000084	Syab.g_00781	Syah.g_01296
OG0000085	Syab.g_02243	Syah.g_02372
OG0000086	Syab.g_02468	Syah.g_02511
