Orthogroup	Syab	Prbi
OG0000000	Syab.g_01226	Prbi.g_01373, Prbi.g_01709, Prbi.g_01268, Prbi.g_01708, Prbi.g_01370, Prbi.g_01371, Prbi.g_01710
OG0000001	Syab.g_01549	Prbi.g_01424, Prbi.g_01542, Prbi.g_01763, Prbi.g_01270
OG0000002	Syab.g_02285	Prbi.g_01432, Prbi.g_00681
OG0000004	Syab.g_00549, Syab.g_01193	Prbi.g_00698
OG0000004	Syab.g_01911, Syab.g_02377	Prbi.g_00256
OG0000005	Syab.g_02289	Prbi.g_01800
OG0000005	Syab.g_02806, Syab.g_02232	Prbi.g_01666
OG0000006	Syab.g_00365, Syab.g_01847, Syab.g_02361	Prbi.g_00265
OG0000007	Syab.g_02117	Prbi.g_00500
OG0000007	Syab.g_02256	Prbi.g_01787
OG0000008	Syab.g_01755	Prbi.g_01764
OG0000008	Syab.g_01168	Prbi.g_01540, Prbi.g_01765, Prbi.g_01539
OG0000009	Syab.g_00995	Prbi.g_01338, Prbi.g_01701
OG0000009	Syab.g_02498	Prbi.g_00112
OG0000010	Syab.g_00696	Prbi.g_01094, Prbi.g_00477
OG0000012	Syab.g_01774, Syab.g_00953	Prbi.g_00625
OG0000013	Syab.g_00497, Syab.g_00482, Syab.g_00487	Prbi.g_00351
OG0000014	Syab.g_00249	Prbi.g_00330
OG0000014	Syab.g_00178	Prbi.g_01475
OG0000016	Syab.g_00014	Prbi.g_00013
OG0000017	Syab.g_01953	Prbi.g_00600
OG0000018	Syab.g_00742	Prbi.g_01188, Prbi.g_00874
OG0000019	Syab.g_00344	Prbi.g_00273, Prbi.g_00827
OG0000020	Syab.g_02230	Prbi.g_01153
OG0000022	Syab.g_01825	Prbi.g_00805, Prbi.g_01170
OG0000023	Syab.g_00708, Syab.g_02058, Syab.g_01294	Prbi.g_00384
OG0000024	Syab.g_01834	Prbi.g_00788, Prbi.g_00678
OG0000025	Syab.g_01705	Prbi.g_00882, Prbi.g_00355
OG0000026	Syab.g_00036	Prbi.g_00031, Prbi.g_01101
OG0000027	Syab.g_01782	Prbi.g_00472, Prbi.g_01374
OG0000028	Syab.g_00234	Prbi.g_00344, Prbi.g_01319, Prbi.g_01768
OG0000030	Syab.g_00096, Syab.g_00095	Prbi.g_02004
OG0000032	Syab.g_00149	Prbi.g_01497
OG0000033	Syab.g_02590	Prbi.g_00193
OG0000034	Syab.g_00900, Syab.g_02560	Prbi.g_01401
OG0000035	Syab.g_00776	Prbi.g_01589, Prbi.g_01591
