Orthogroup	Syab	Syap
OG0000001	Syab.g_02553, Syab.g_02555	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615
OG0000001	Syab.g_00673	Syap.g_00399
OG0000004	Syab.g_02377	Syap.g_01987
OG0000005	Syab.g_02289	Syap.g_01773
OG0000005	Syab.g_02806, Syab.g_02232	Syap.g_01218
OG0000006	Syab.g_01849	Syap.g_02770
OG0000007	Syab.g_02117	Syap.g_00275
OG0000007	Syab.g_02256	Syap.g_00621
OG0000009	Syab.g_02498	Syap.g_02081
OG0000010	Syab.g_00696	Syap.g_02757
OG0000013	Syab.g_00482	Syap.g_00972
OG0000014	Syab.g_00249	Syap.g_01675
OG0000014	Syab.g_00178	Syap.g_00813
OG0000015	Syab.g_02889	Syap.g_02606
OG0000016	Syab.g_00014	Syap.g_00071
OG0000017	Syab.g_01953	Syap.g_00449
OG0000018	Syab.g_00742	Syap.g_02708, Syap.g_02010
OG0000019	Syab.g_00344	Syap.g_01586
OG0000025	Syab.g_01705	Syap.g_01846
OG0000028	Syab.g_00234	Syap.g_01658
OG0000030	Syab.g_00096	Syap.g_00787
OG0000030	Syab.g_00095	Syap.g_00788
OG0000031	Syab.g_00160	Syap.g_02479, Syap.g_01083, Syap.g_02076
OG0000032	Syab.g_00149	Syap.g_02461, Syap.g_01133, Syap.g_01134
OG0000033	Syab.g_02590	Syap.g_01198
OG0000034	Syab.g_00900, Syab.g_02560	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Syab.g_00778, Syab.g_00776	Syap.g_02465
OG0000037	Syab.g_02504	Syap.g_02492
OG0000038	Syab.g_02761	Syap.g_00139
OG0000040	Syab.g_02853	Syap.g_01819
OG0000042	Syab.g_01019, Syab.g_00099	Syap.g_01891, Syap.g_01120
OG0000043	Syab.g_02802, Syab.g_01539, Syab.g_01785	Syap.g_01998
OG0000044	Syab.g_01097, Syab.g_01262, Syab.g_01256	Syap.g_00378
OG0000045	Syab.g_00871, Syab.g_01787	Syap.g_02525
