Orthogroup	Syab	Pray
OG0000000	Syab.g_01226	Pray.g_01888, Pray.g_01576, Pray.g_01603, Pray.g_00003, Pray.g_01604, Pray.g_01890, Pray.g_01602
OG0000001	Syab.g_01549	Pray.g_01844, Pray.g_00247, Pray.g_00246
OG0000002	Syab.g_02285	Pray.g_01836, Pray.g_01085
OG0000004	Syab.g_00549, Syab.g_01193	Pray.g_01068
OG0000004	Syab.g_01911, Syab.g_02377	Pray.g_00713
OG0000005	Syab.g_02289	Pray.g_01546
OG0000005	Syab.g_02806, Syab.g_02232	Pray.g_01646
OG0000006	Syab.g_00365, Syab.g_01847, Syab.g_02361	Pray.g_00722
OG0000007	Syab.g_02117	Pray.g_00988, Pray.g_00987
OG0000007	Syab.g_02256	Pray.g_01559
OG0000008	Syab.g_01755	Pray.g_01931
OG0000009	Syab.g_00995	Pray.g_01920, Pray.g_01610
OG0000009	Syab.g_02498	Pray.g_00184
OG0000010	Syab.g_00696	Pray.g_00592, Pray.g_00964
OG0000011	Syab.g_01491	Pray.g_01930
OG0000012	Syab.g_01774, Syab.g_00953	Pray.g_01140
OG0000013	Syab.g_00497, Syab.g_00482, Syab.g_00487	Pray.g_00805
OG0000014	Syab.g_00249	Pray.g_00784
OG0000014	Syab.g_00178	Pray.g_01792
OG0000016	Syab.g_00014	Pray.g_01475
OG0000017	Syab.g_01953	Pray.g_01165
OG0000018	Syab.g_00742	Pray.g_00083, Pray.g_00375
OG0000019	Syab.g_00344	Pray.g_00730, Pray.g_00328
OG0000020	Syab.g_02230	Pray.g_00120
OG0000022	Syab.g_01825	Pray.g_00304, Pray.g_00101
OG0000023	Syab.g_00708, Syab.g_02058, Syab.g_01294	Pray.g_00838
OG0000024	Syab.g_01834	Pray.g_00289, Pray.g_01088
OG0000025	Syab.g_01705	Pray.g_00383, Pray.g_00809
OG0000026	Syab.g_00036	Pray.g_01493, Pray.g_00599
OG0000027	Syab.g_01782	Pray.g_00960, Pray.g_01887
OG0000028	Syab.g_00234	Pray.g_00798, Pray.g_01935
OG0000030	Syab.g_00096, Syab.g_00095	Pray.g_01374
OG0000032	Syab.g_00182	Pray.g_01782
OG0000033	Syab.g_02590	Pray.g_00650
