Orthogroup	Syab	Syaq
OG0000001	Syab.g_02553, Syab.g_02555	Syaq.g_01434
OG0000001	Syab.g_01509, Syab.g_01510	Syaq.g_02178, Syaq.g_02413
OG0000003	Syab.g_01580	Syaq.g_00887
OG0000004	Syab.g_00549, Syab.g_01193	Syaq.g_02603
OG0000004	Syab.g_01911	Syaq.g_02042
OG0000004	Syab.g_02377	Syaq.g_01567
OG0000005	Syab.g_02289	Syaq.g_01658
OG0000005	Syab.g_02232	Syaq.g_01692
OG0000005	Syab.g_00981	Syaq.g_00236
OG0000006	Syab.g_00365, Syab.g_01847, Syab.g_02361	Syaq.g_00696, Syaq.g_01590
OG0000006	Syab.g_01849	Syaq.g_02108
OG0000007	Syab.g_02117	Syaq.g_01793
OG0000007	Syab.g_02256	Syaq.g_01673
OG0000008	Syab.g_01755	Syaq.g_02162
OG0000008	Syab.g_01168	Syaq.g_02575
OG0000009	Syab.g_02498	Syaq.g_01489
OG0000010	Syab.g_00696	Syaq.g_00443
OG0000011	Syab.g_01491, Syab.g_01083	Syaq.g_01038
OG0000013	Syab.g_00497, Syab.g_00482, Syab.g_00487	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023
OG0000014	Syab.g_00249	Syaq.g_00862
OG0000015	Syab.g_02889	Syaq.g_00121, Syaq.g_01171
OG0000016	Syab.g_00014	Syaq.g_01136
OG0000016	Syab.g_01049	Syaq.g_00169
OG0000017	Syab.g_01945	Syaq.g_01999
OG0000017	Syab.g_01953	Syaq.g_01992
OG0000018	Syab.g_00742	Syaq.g_00401
OG0000019	Syab.g_00344	Syaq.g_00717
OG0000022	Syab.g_01825	Syaq.g_02126
OG0000023	Syab.g_00708, Syab.g_02058, Syab.g_01294	Syaq.g_02540
OG0000025	Syab.g_01705	Syaq.g_02381
OG0000026	Syab.g_00036	Syaq.g_01114
OG0000028	Syab.g_00234	Syaq.g_00878
OG0000030	Syab.g_00096	Syaq.g_01047
OG0000030	Syab.g_00095	Syaq.g_01048
OG0000031	Syab.g_00160	Syaq.g_01009
OG0000032	Syab.g_00724	Syaq.g_00421
OG0000032	Syab.g_00182	Syaq.g_00909
OG0000033	Syab.g_02590	Syaq.g_01399
OG0000034	Syab.g_00900, Syab.g_02560	Syaq.g_00312, Syaq.g_01431
OG0000035	Syab.g_00778	Syaq.g_00371
OG0000035	Syab.g_00776	Syaq.g_00372
OG0000037	Syab.g_02504	Syaq.g_01483
OG0000038	Syab.g_02759	Syaq.g_01260
OG0000038	Syab.g_02761	Syaq.g_01258
OG0000039	Syab.g_02791	Syaq.g_01241
OG0000042	Syab.g_01019, Syab.g_00099	Syaq.g_00200, Syaq.g_01044
OG0000043	Syab.g_01785	Syaq.g_01920
OG0000044	Syab.g_01256	Syaq.g_02701
OG0000045	Syab.g_01787	Syaq.g_02047
OG0000048	Syab.g_00308	Syaq.g_00749
OG0000052	Syab.g_00214	Syaq.g_00969
OG0000053	Syab.g_00746	Syaq.g_00397
OG0000054	Syab.g_01932	Syaq.g_02005
OG0000055	Syab.g_01255	Syaq.g_02700
OG0000057	Syab.g_01200	Syaq.g_02605
OG0000058	Syab.g_00227	Syaq.g_00944
OG0000059	Syab.g_00397	Syaq.g_00657
OG0000060	Syab.g_00662	Syaq.g_00456
OG0000060	Syab.g_02094	Syaq.g_01770
OG0000061	Syab.g_00969	Syaq.g_00249
OG0000062	Syab.g_02234	Syaq.g_01690
OG0000063	Syab.g_00040	Syaq.g_01110
OG0000064	Syab.g_01783	Syaq.g_02138
OG0000065	Syab.g_01768	Syaq.g_01908
OG0000066	Syab.g_02031	Syaq.g_01851
OG0000067	Syab.g_01659	Syaq.g_02340
OG0000068	Syab.g_02087	Syaq.g_01763
OG0000070	Syab.g_00614	Syaq.g_00484
OG0000071	Syab.g_00915	Syaq.g_00297
OG0000072	Syab.g_02593	Syaq.g_01397
OG0000073	Syab.g_02119	Syaq.g_01795
OG0000075	Syab.g_00202	Syaq.g_00986
OG0000076	Syab.g_00113	Syaq.g_01028
OG0000077	Syab.g_02446	Syaq.g_01547
OG0000078	Syab.g_02366	Syaq.g_01585
OG0000079	Syab.g_00340	Syaq.g_00721
OG0000081	Syab.g_01793	Syaq.g_01893
OG0000082	Syab.g_01971	Syaq.g_01975
OG0000084	Syab.g_00781	Syaq.g_00367
OG0000085	Syab.g_02243	Syaq.g_01683
OG0000086	Syab.g_02468	Syaq.g_01525
OG0000087	Syab.g_02551	Syaq.g_01438
OG0000088	Syab.g_02586	Syaq.g_01402
OG0000089	Syab.g_00551	Syaq.g_00529
OG0000090	Syab.g_02041	Syaq.g_01838
OG0000091	Syab.g_01866	Syaq.g_02090
OG0000093	Syab.g_01582	Syaq.g_02323
OG0000094	Syab.g_01306	Syaq.g_00056
OG0000095	Syab.g_01210	Syaq.g_02679
OG0000097	Syab.g_01051	Syaq.g_00167
OG0000098	Syab.g_01553	Syaq.g_02221
OG0000099	Syab.g_00230	Syaq.g_00882
OG0000100	Syab.g_01694	Syaq.g_02371
OG0000101	Syab.g_00446	Syaq.g_00607
OG0000102	Syab.g_00104	Syaq.g_01033
OG0000103	Syab.g_01296, Syab.g_02895	Syaq.g_01170
OG0000104	Syab.g_02910	Syaq.g_01154
OG0000105	Syab.g_00303	Syaq.g_00754
OG0000106	Syab.g_01817	Syaq.g_01863
OG0000107	Syab.g_00367	Syaq.g_00694
OG0000108	Syab.g_02096	Syaq.g_01772
OG0000109	Syab.g_02112	Syaq.g_01788
OG0000110	Syab.g_01984	Syaq.g_01962
OG0000111	Syab.g_01201	Syaq.g_02606
OG0000112	Syab.g_01392	Syaq.g_02476
OG0000114	Syab.g_01633	Syaq.g_02269
OG0000115	Syab.g_00748	Syaq.g_00395
OG0000116	Syab.g_00945	Syaq.g_00263
OG0000117	Syab.g_01018	Syaq.g_00203
OG0000118	Syab.g_00897	Syaq.g_00325, Syaq.g_00316
OG0000120	Syab.g_00229	Syaq.g_00883
OG0000121	Syab.g_00772	Syaq.g_00375
OG0000122	Syab.g_01839	Syaq.g_02118
OG0000123	Syab.g_00454	Syaq.g_00599
OG0000124	Syab.g_00088	Syaq.g_01055
OG0000125	Syab.g_02763	Syaq.g_01256
OG0000126	Syab.g_02908	Syaq.g_01156
OG0000128	Syab.g_00012	Syaq.g_01138
OG0000129	Syab.g_02749	Syaq.g_01269
OG0000130	Syab.g_02434	Syaq.g_01559
OG0000131	Syab.g_02564	Syaq.g_01427, Syaq.g_01424
OG0000132	Syab.g_02584	Syaq.g_01036, Syaq.g_01404
OG0000133	Syab.g_01387	Syaq.g_02481
OG0000134	Syab.g_00554	Syaq.g_00526
OG0000135	Syab.g_02815	Syaq.g_01227
OG0000136	Syab.g_00588	Syaq.g_00496
OG0000137	Syab.g_00697	Syaq.g_00442
OG0000138	Syab.g_02113	Syaq.g_01789
OG0000139	Syab.g_02035	Syaq.g_01844
OG0000140	Syab.g_02033	Syaq.g_01848
OG0000141	Syab.g_01931	Syaq.g_02010
OG0000142	Syab.g_01524, Syab.g_01873	Syaq.g_02082
OG0000143	Syab.g_01870	Syaq.g_02086
OG0000144	Syab.g_01757	Syaq.g_02152
OG0000145	Syab.g_02120	Syaq.g_01796
OG0000146	Syab.g_01393	Syaq.g_02475
OG0000147	Syab.g_01394	Syaq.g_02474
OG0000148	Syab.g_01682	Syaq.g_02359
OG0000149	Syab.g_01720	Syaq.g_02395
OG0000150	Syab.g_01930	Syaq.g_02011
OG0000151	Syab.g_01612	Syaq.g_02283
OG0000152	Syab.g_01383	Syaq.g_02485
OG0000153	Syab.g_01343	Syaq.g_02518
OG0000154	Syab.g_01317	Syaq.g_00066
OG0000155	Syab.g_01009	Syaq.g_00212
OG0000156	Syab.g_00933	Syaq.g_00281
OG0000157	Syab.g_00932	Syaq.g_00282
OG0000158	Syab.g_00161	Syaq.g_01003
OG0000160	Syab.g_00774	Syaq.g_00374
OG0000161	Syab.g_00766	Syaq.g_00382
OG0000162	Syab.g_00755	Syaq.g_00389
OG0000163	Syab.g_02173	Syaq.g_01730
OG0000164	Syab.g_02307	Syaq.g_01642
OG0000165	Syab.g_02316	Syaq.g_01630
OG0000166	Syab.g_00407	Syaq.g_00647
OG0000167	Syab.g_00205	Syaq.g_00983
OG0000168	Syab.g_00136	Syaq.g_01004
OG0000169	Syab.g_00125	Syaq.g_01016
OG0000170	Syab.g_00118	Syaq.g_01023
OG0000171	Syab.g_00089	Syaq.g_01052
OG0000172	Syab.g_00080	Syaq.g_01074
OG0000173	Syab.g_00061	Syaq.g_01092
OG0000174	Syab.g_02819	Syaq.g_01224
OG0000175	Syab.g_02876	Syaq.g_01183
OG0000176	Syab.g_00004	Syaq.g_01146
OG0000177	Syab.g_00005	Syaq.g_01145
OG0000178	Syab.g_00006	Syaq.g_01144
OG0000179	Syab.g_00022	Syaq.g_01129
OG0000180	Syab.g_00023	Syaq.g_01128
OG0000181	Syab.g_00024	Syaq.g_01127
OG0000182	Syab.g_00025	Syaq.g_01126
OG0000183	Syab.g_00029	Syaq.g_01122
OG0000184	Syab.g_02738	Syaq.g_01277
OG0000185	Syab.g_02715	Syaq.g_01290
OG0000186	Syab.g_02430	Syaq.g_01563
OG0000187	Syab.g_02431	Syaq.g_01561
OG0000188	Syab.g_02454	Syaq.g_01539
OG0000189	Syab.g_02487	Syaq.g_01499
OG0000190	Syab.g_00190, Syab.g_00139	Syaq.g_01497
OG0000191	Syab.g_02522	Syaq.g_01467
OG0000192	Syab.g_02528	Syaq.g_01462
OG0000193	Syab.g_02565	Syaq.g_01423
OG0000194	Syab.g_02568	Syaq.g_01420
OG0000195	Syab.g_02570	Syaq.g_01418
OG0000196	Syab.g_02581	Syaq.g_01407
OG0000197	Syab.g_02582	Syaq.g_01406
OG0000199	Syab.g_02591	Syaq.g_01398
OG0000200	Syab.g_02611	Syaq.g_01382
OG0000201	Syab.g_02628	Syaq.g_01365
OG0000202	Syab.g_02629	Syaq.g_01364
OG0000203	Syab.g_02630	Syaq.g_01363
OG0000204	Syab.g_02631	Syaq.g_01362
OG0000205	Syab.g_02638	Syaq.g_01355
OG0000206	Syab.g_02674	Syaq.g_01345
OG0000207	Syab.g_02677	Syaq.g_01338
OG0000208	Syab.g_02678	Syaq.g_01337
OG0000209	Syab.g_02698	Syaq.g_01310
OG0000210	Syab.g_02699	Syaq.g_01309
OG0000211	Syab.g_02374	Syaq.g_01570
OG0000212	Syab.g_02365	Syaq.g_01586
OG0000213	Syab.g_00332	Syaq.g_00729
OG0000214	Syab.g_00312	Syaq.g_00745
OG0000215	Syab.g_00281	Syaq.g_00777
OG0000216	Syab.g_00277	Syaq.g_00781
OG0000217	Syab.g_00273	Syaq.g_00844
OG0000218	Syab.g_00271	Syaq.g_00846
OG0000219	Syab.g_00270	Syaq.g_00847
OG0000220	Syab.g_00269	Syaq.g_00848
OG0000221	Syab.g_00257	Syaq.g_00856
OG0000222	Syab.g_00244	Syaq.g_00868
OG0000223	Syab.g_00226	Syaq.g_00946
OG0000224	Syab.g_00223	Syaq.g_00950
OG0000225	Syab.g_00538	Syaq.g_00543
OG0000226	Syab.g_00542	Syaq.g_00536
OG0000227	Syab.g_00544	Syaq.g_00534
OG0000228	Syab.g_00550	Syaq.g_00531
OG0000229	Syab.g_00583	Syaq.g_00501
OG0000230	Syab.g_00585	Syaq.g_00499
OG0000231	Syab.g_00613	Syaq.g_00485
OG0000232	Syab.g_00631	Syaq.g_00472
OG0000233	Syab.g_00645	Syaq.g_00464
OG0000234	Syab.g_00699	Syaq.g_00440
OG0000235	Syab.g_02095	Syaq.g_01771
OG0000236	Syab.g_02111	Syaq.g_01787
OG0000237	Syab.g_02129	Syaq.g_01805
OG0000238	Syab.g_02134	Syaq.g_01810
OG0000239	Syab.g_02151	Syaq.g_01826
OG0000240	Syab.g_02152	Syaq.g_01827
OG0000241	Syab.g_01884	Syaq.g_02074
OG0000242	Syab.g_02043	Syaq.g_01836
OG0000243	Syab.g_02025	Syaq.g_01922
OG0000244	Syab.g_02017	Syaq.g_01928
OG0000245	Syab.g_02015	Syaq.g_01930
OG0000246	Syab.g_02011	Syaq.g_01934
OG0000247	Syab.g_01999	Syaq.g_01945
OG0000248	Syab.g_01996	Syaq.g_01948
OG0000249	Syab.g_01994	Syaq.g_01950
OG0000250	Syab.g_01988	Syaq.g_01958
OG0000251	Syab.g_01961	Syaq.g_01984
OG0000252	Syab.g_01958	Syaq.g_01987
OG0000253	Syab.g_01956	Syaq.g_01989
OG0000254	Syab.g_01925	Syaq.g_02016
OG0000255	Syab.g_01912	Syaq.g_02041
OG0000256	Syab.g_01890	Syaq.g_02068
OG0000257	Syab.g_01885	Syaq.g_02073
OG0000258	Syab.g_01861	Syaq.g_02095
OG0000259	Syab.g_01538	Syaq.g_02239
OG0000260	Syab.g_01544	Syaq.g_02242
OG0000261	Syab.g_01556	Syaq.g_02245
OG0000262	Syab.g_01561	Syaq.g_02250
OG0000263	Syab.g_01035	Syaq.g_00185
OG0000264	Syab.g_01173	Syaq.g_02582
OG0000266	Syab.g_01667	Syaq.g_00037
OG0000267	Syab.g_01433	Syaq.g_02430
OG0000268	Syab.g_01432	Syaq.g_02431
OG0000269	Syab.g_01650	Syaq.g_02335
OG0000270	Syab.g_01657	Syaq.g_02338
OG0000271	Syab.g_01279	Syaq.g_02346
OG0000272	Syab.g_01280	Syaq.g_02347
OG0000273	Syab.g_01699	Syaq.g_02376
OG0000274	Syab.g_01700	Syaq.g_02377
OG0000275	Syab.g_01704	Syaq.g_02380
OG0000276	Syab.g_01712	Syaq.g_02387
OG0000277	Syab.g_01713	Syaq.g_02388
OG0000278	Syab.g_01716	Syaq.g_02391
OG0000279	Syab.g_01724	Syaq.g_02401
OG0000280	Syab.g_01736	Syaq.g_02410
OG0000281	Syab.g_00685, Syab.g_00852, Syab.g_01077, Syab.g_01546	Syaq.g_02224
OG0000282	Syab.g_01631	Syaq.g_02271
OG0000283	Syab.g_01418	Syaq.g_02445
OG0000284	Syab.g_01413	Syaq.g_02450
OG0000285	Syab.g_01402	Syaq.g_02466
OG0000286	Syab.g_01384	Syaq.g_02484
OG0000287	Syab.g_01350	Syaq.g_02511
OG0000288	Syab.g_01318	Syaq.g_00067
OG0000289	Syab.g_01303	Syaq.g_00053
OG0000290	Syab.g_01213	Syaq.g_02682
OG0000291	Syab.g_01211	Syaq.g_02680
OG0000292	Syab.g_02907	Syaq.g_01157
