Orthogroup	Syab	Syai
OG0000001	Syab.g_01549	Syai.g_01716
OG0000001	Syab.g_02553, Syab.g_02555	Syai.g_02595
OG0000001	Syab.g_01509, Syab.g_01510	Syai.g_01729
OG0000002	Syab.g_02285	Syai.g_01728
OG0000004	Syab.g_00549, Syab.g_01193	Syai.g_01994
OG0000004	Syab.g_01911	Syai.g_01062
OG0000004	Syab.g_02377	Syai.g_00530
OG0000005	Syab.g_02289	Syai.g_02393
OG0000005	Syab.g_02232	Syai.g_02356
OG0000005	Syab.g_00981	Syai.g_02068, Syai.g_01611
OG0000006	Syab.g_00365, Syab.g_01847, Syab.g_02361	Syai.g_00317, Syai.g_00547
OG0000006	Syab.g_01849	Syai.g_01126
OG0000007	Syab.g_02117	Syai.g_00657
OG0000007	Syab.g_02256	Syai.g_02378
OG0000008	Syab.g_01755	Syai.g_01956
OG0000008	Syab.g_01168	Syai.g_01955
OG0000009	Syab.g_00995	Syai.g_01626
OG0000009	Syab.g_02498	Syai.g_02541
OG0000010	Syab.g_00696	Syai.g_00864
OG0000012	Syab.g_01774, Syab.g_00953	Syai.g_01529, Syai.g_01650
OG0000013	Syab.g_00497	Syai.g_00450
OG0000013	Syab.g_00482	Syai.g_00436
OG0000013	Syab.g_00487	Syai.g_00442
OG0000014	Syab.g_00249	Syai.g_00220
OG0000016	Syab.g_00014	Syai.g_00014
OG0000016	Syab.g_01049	Syai.g_01785
OG0000017	Syab.g_01945	Syai.g_00808
OG0000017	Syab.g_01953	Syai.g_00801
OG0000018	Syab.g_00742	Syai.g_00915
OG0000019	Syab.g_00344	Syai.g_00304
OG0000020	Syab.g_02230	Syai.g_00476
OG0000022	Syab.g_01825	Syai.g_01159
OG0000023	Syab.g_00708	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022
OG0000023	Syab.g_02058, Syab.g_01294	Syai.g_02318
OG0000024	Syab.g_01834	Syai.g_01951
OG0000025	Syab.g_01705	Syai.g_02044
OG0000026	Syab.g_00036	Syai.g_00038
OG0000027	Syab.g_01782	Syai.g_01654
OG0000028	Syab.g_00234	Syai.g_00205
OG0000030	Syab.g_00096	Syai.g_00096
OG0000030	Syab.g_00095	Syai.g_00095
OG0000031	Syab.g_00160	Syai.g_00197
OG0000032	Syab.g_00724	Syai.g_00895
OG0000033	Syab.g_02590	Syai.g_02634
OG0000034	Syab.g_00900, Syab.g_02560	Syai.g_02192, Syai.g_02604
OG0000035	Syab.g_00776	Syai.g_00955
OG0000036	Syab.g_00846	Syai.g_01848
OG0000037	Syab.g_02504	Syai.g_02544, Syai.g_02815
OG0000038	Syab.g_02759	Syai.g_02780
OG0000040	Syab.g_02853	Syai.g_02876
OG0000041	Syab.g_02333	Syai.g_02265
OG0000042	Syab.g_01019, Syab.g_00099	Syai.g_00099
OG0000043	Syab.g_01785	Syai.g_01599
OG0000044	Syab.g_01262	Syai.g_00833
OG0000045	Syab.g_01787	Syai.g_02432
OG0000046	Syab.g_00481	Syai.g_00435
OG0000046	Syab.g_00488	Syai.g_00443
OG0000046	Syab.g_00496	Syai.g_00449
OG0000047	Syab.g_00876	Syai.g_00462
OG0000048	Syab.g_00308	Syai.g_00272
OG0000051	Syab.g_01073	Syai.g_01773
OG0000052	Syab.g_00214	Syai.g_00176
OG0000053	Syab.g_00746	Syai.g_00930
OG0000054	Syab.g_01932	Syai.g_01040
OG0000055	Syab.g_01255	Syai.g_02029
OG0000057	Syab.g_01200	Syai.g_01997
OG0000058	Syab.g_00227	Syai.g_00195
OG0000059	Syab.g_00397	Syai.g_00351
OG0000060	Syab.g_02094	Syai.g_00635
OG0000061	Syab.g_00171, Syab.g_00969	Syai.g_02144
OG0000062	Syab.g_02234	Syai.g_02358
OG0000063	Syab.g_00040	Syai.g_00042
OG0000064	Syab.g_01783	Syai.g_02844, Syai.g_01162
OG0000064	Syab.g_00997	Syai.g_01163, Syai.g_01668
OG0000064	Syab.g_00824	Syai.g_02350
OG0000066	Syab.g_02031	Syai.g_01709, Syai.g_00719
OG0000067	Syab.g_01659	Syai.g_01321
OG0000068	Syab.g_02087	Syai.g_00628
OG0000070	Syab.g_00614	Syai.g_02196
OG0000071	Syab.g_00915	Syai.g_02179
OG0000072	Syab.g_02593	Syai.g_02636
OG0000073	Syab.g_02119	Syai.g_00659
OG0000075	Syab.g_00202	Syai.g_00161
OG0000076	Syab.g_00113	Syai.g_00111
OG0000077	Syab.g_02446	Syai.g_02486
OG0000078	Syab.g_02366	Syai.g_00543
OG0000079	Syab.g_00340	Syai.g_00300
OG0000081	Syab.g_01793	Syai.g_02292, Syai.g_00553
OG0000082	Syab.g_01971	Syai.g_00781
OG0000084	Syab.g_00781	Syai.g_00958
OG0000085	Syab.g_02243	Syai.g_02365
OG0000086	Syab.g_02468	Syai.g_02507
OG0000087	Syab.g_02551	Syai.g_02592
OG0000088	Syab.g_02586	Syai.g_02630
OG0000089	Syab.g_00551	Syai.g_00517
OG0000090	Syab.g_02041	Syai.g_00707
OG0000091	Syab.g_01866	Syai.g_01112
OG0000092	Syab.g_01242, Syab.g_00690	Syai.g_01358
OG0000093	Syab.g_01582	Syai.g_01306
OG0000094	Syab.g_01306	Syai.g_01424
OG0000095	Syab.g_01210	Syai.g_02007
OG0000097	Syab.g_01051	Syai.g_01787
OG0000098	Syab.g_01553	Syai.g_01718
OG0000099	Syab.g_00230	Syai.g_00199
OG0000100	Syab.g_01694	Syai.g_01372
OG0000101	Syab.g_00446	Syai.g_00404
