Orthogroup	Syab	Prai
OG0000000	Syab.g_01226	Prai.g_00905, Prai.g_01772, Prai.g_01612, Prai.g_01592, Prai.g_00908, Prai.g_01234, Prai.g_01591, Prai.g_01775, Prai.g_00907, Prai.g_01774, Prai.g_01314, Prai.g_01596
OG0000001	Syab.g_01549	Prai.g_01235, Prai.g_01356, Prai.g_01236
OG0000002	Syab.g_02285	Prai.g_01363, Prai.g_00707
OG0000004	Syab.g_00549, Syab.g_01193	Prai.g_00724
OG0000004	Syab.g_01911, Syab.g_02377	Prai.g_00243
OG0000005	Syab.g_02289	Prai.g_01651
OG0000005	Syab.g_02806, Syab.g_02232	Prai.g_01538
OG0000006	Syab.g_00365, Syab.g_01847, Syab.g_02361	Prai.g_00252, Prai.g_00254
OG0000007	Syab.g_02117	Prai.g_00527
OG0000007	Syab.g_02256	Prai.g_01638
OG0000008	Syab.g_01755, Syab.g_01168	Prai.g_00701
OG0000009	Syab.g_00995	Prai.g_01578
OG0000009	Syab.g_02498	Prai.g_00105
OG0000010	Syab.g_00696	Prai.g_01292, Prai.g_01067, Prai.g_00504
OG0000012	Syab.g_01774, Syab.g_00953	Prai.g_00652
OG0000013	Syab.g_00497, Syab.g_00482, Syab.g_00487	Prai.g_00340
OG0000014	Syab.g_00249	Prai.g_00319
OG0000016	Syab.g_00014	Prai.g_00013
OG0000017	Syab.g_01953	Prai.g_00626
OG0000018	Syab.g_00742	Prai.g_01153, Prai.g_00820
OG0000019	Syab.g_00344	Prai.g_00262, Prai.g_00867
OG0000020	Syab.g_02230	Prai.g_01125, Prai.g_01248, Prai.g_00400
OG0000022	Syab.g_01825	Prai.g_00885, Prai.g_01139
OG0000023	Syab.g_00708, Syab.g_02058, Syab.g_01294	Prai.g_00373
OG0000024	Syab.g_01834	Prai.g_00899, Prai.g_00704
OG0000025	Syab.g_01705	Prai.g_00812, Prai.g_00344
OG0000026	Syab.g_00036	Prai.g_00031, Prai.g_01074
OG0000027	Syab.g_01782	Prai.g_00904
OG0000028	Syab.g_00234	Prai.g_00333, Prai.g_01297
OG0000030	Syab.g_00096, Syab.g_00095	Prai.g_01848
OG0000033	Syab.g_02590	Prai.g_00180
OG0000034	Syab.g_00900, Syab.g_02560	Prai.g_01345
OG0000035	Syab.g_00776	Prai.g_01463
OG0000037	Syab.g_02504	Prai.g_00109
OG0000038	Syab.g_02759, Syab.g_02761	Prai.g_01890
OG0000039	Syab.g_02791	Prai.g_00715
OG0000041	Syab.g_02333	Prai.g_01684
OG0000042	Syab.g_01019, Syab.g_00099	Prai.g_01845
OG0000043	Syab.g_01539	Prai.g_01064
OG0000043	Syab.g_01785	Prai.g_00910
OG0000045	Syab.g_00871	Prai.g_01274
OG0000045	Syab.g_01787	Prai.g_00384
OG0000047	Syab.g_00876	Prai.g_00424, Prai.g_00343
OG0000048	Syab.g_00308	Prai.g_00387
OG0000051	Syab.g_01073	Prai.g_00434, Prai.g_01263
OG0000052	Syab.g_00214	Prai.g_00154
OG0000053	Syab.g_00746	Prai.g_01483
OG0000054	Syab.g_01932	Prai.g_00634
OG0000055	Syab.g_01255	Prai.g_00866
OG0000057	Syab.g_01200	Prai.g_00727
OG0000058	Syab.g_00227	Prai.g_01859
OG0000059	Syab.g_00397	Prai.g_01725, Prai.g_01425
OG0000061	Syab.g_00171, Syab.g_00969	Prai.g_01171
OG0000063	Syab.g_00040	Prai.g_00033, Prai.g_01261
OG0000065	Syab.g_02500, Syab.g_01768	Prai.g_00107
OG0000066	Syab.g_02031	Prai.g_00567
OG0000067	Syab.g_01659	Prai.g_00848
OG0000068	Syab.g_02087	Prai.g_01370
OG0000070	Syab.g_00614	Prai.g_00481
OG0000071	Syab.g_00915	Prai.g_01335
OG0000072	Syab.g_02593	Prai.g_00182
OG0000073	Syab.g_02119	Prai.g_00529
OG0000075	Syab.g_00202	Prai.g_01814
OG0000076	Syab.g_00113	Prai.g_01838
OG0000077	Syab.g_02446	Prai.g_00078
OG0000078	Syab.g_02366	Prai.g_00250
OG0000079	Syab.g_00340	Prai.g_00265
OG0000081	Syab.g_01793	Prai.g_00559
OG0000082	Syab.g_01971	Prai.g_00613
OG0000084	Syab.g_00781	Prai.g_01459
OG0000085	Syab.g_02243	Prai.g_01631
OG0000086	Syab.g_02468	Prai.g_00088
OG0000087	Syab.g_02551	Prai.g_00139
OG0000088	Syab.g_02586	Prai.g_00177
OG0000089	Syab.g_00551	Prai.g_00368
OG0000090	Syab.g_02041	Prai.g_00561
OG0000091	Syab.g_01866	Prai.g_00671
OG0000092	Syab.g_01242, Syab.g_00690	Prai.g_01041
OG0000093	Syab.g_01090	Prai.g_01021
OG0000094	Syab.g_01306	Prai.g_00937
OG0000097	Syab.g_01051	Prai.g_01214
OG0000098	Syab.g_01553	Prai.g_01353
OG0000099	Syab.g_00230	Prai.g_01393
OG0000100	Syab.g_01694	Prai.g_01536
OG0000101	Syab.g_00446	Prai.g_01782
OG0000102	Syab.g_00104	Prai.g_01843
OG0000103	Syab.g_01296, Syab.g_02895	Prai.g_01923
OG0000104	Syab.g_02910	Prai.g_01932
OG0000105	Syab.g_00303	Prai.g_00286, Prai.g_00287
OG0000106	Syab.g_01817	Prai.g_00383
OG0000108	Syab.g_02096	Prai.g_00510
OG0000109	Syab.g_02112	Prai.g_00524
OG0000110	Syab.g_01984	Prai.g_00603
OG0000111	Syab.g_01201	Prai.g_00728
OG0000112	Syab.g_01392	Prai.g_00882
OG0000113	Syab.g_01689	Prai.g_00825
OG0000114	Syab.g_01633	Prai.g_01046
OG0000115	Syab.g_00748	Prai.g_01119
OG0000116	Syab.g_00945	Prai.g_01162
OG0000117	Syab.g_01018	Prai.g_01273
OG0000118	Syab.g_00897	Prai.g_01347
OG0000120	Syab.g_00229	Prai.g_01443
OG0000121	Syab.g_00772	Prai.g_01465
OG0000123	Syab.g_00454	Prai.g_01789
OG0000124	Syab.g_00088	Prai.g_01854
OG0000125	Syab.g_02763	Prai.g_01892
OG0000126	Syab.g_02908	Prai.g_01931
OG0000128	Syab.g_00012	Prai.g_00011
OG0000129	Syab.g_02749	Prai.g_00051
OG0000130	Syab.g_02434	Prai.g_00069
OG0000131	Syab.g_02564	Prai.g_00156
OG0000132	Syab.g_02584	Prai.g_00175
OG0000133	Syab.g_01387	Prai.g_00335
OG0000134	Syab.g_00554	Prai.g_00369
OG0000135	Syab.g_02815	Prai.g_00393
OG0000136	Syab.g_00588	Prai.g_00472
OG0000137	Syab.g_00697	Prai.g_00505
OG0000138	Syab.g_02113	Prai.g_00525
OG0000139	Syab.g_02035	Prai.g_00565
OG0000140	Syab.g_02033	Prai.g_00566
OG0000141	Syab.g_01931	Prai.g_00635
OG0000142	Syab.g_01873	Prai.g_00664
OG0000143	Syab.g_01870	Prai.g_00668
OG0000144	Syab.g_01757	Prai.g_00681
