Orthogroup	Syab	Prav
OG0000000	Syab.g_01226	Prav.g_01736, Prav.g_01415, Prav.g_01019, Prav.g_01695, Prav.g_00973, Prav.g_01738, Prav.g_01694, Prav.g_01821, Prav.g_01730, Prav.g_01715, Prav.g_01413, Prav.g_01698
OG0000001	Syab.g_01549	Prav.g_01458, Prav.g_01748, Prav.g_00962, Prav.g_01820, Prav.g_02007, Prav.g_01734
OG0000002	Syab.g_02285	Prav.g_01466, Prav.g_01276
OG0000004	Syab.g_00549, Syab.g_01193	Prav.g_01293
OG0000004	Syab.g_01911, Syab.g_02377	Prav.g_00806
OG0000005	Syab.g_02289	Prav.g_01774
OG0000005	Syab.g_02806, Syab.g_02232	Prav.g_01654
OG0000006	Syab.g_00365, Syab.g_01847, Syab.g_02361	Prav.g_02001
OG0000007	Syab.g_02117	Prav.g_01095
OG0000007	Syab.g_02256	Prav.g_01761
OG0000008	Syab.g_01755	Prav.g_01749
OG0000008	Syab.g_01168	Prav.g_01750
OG0000009	Syab.g_00995	Prav.g_01688
OG0000009	Syab.g_02498	Prav.g_00170
OG0000010	Syab.g_00696	Prav.g_00218, Prav.g_01072
OG0000011	Syab.g_01491	Prav.g_01334
OG0000012	Syab.g_01774, Syab.g_00953	Prav.g_01221
OG0000013	Syab.g_00497, Syab.g_00482, Syab.g_00487	Prav.g_01973
OG0000014	Syab.g_00249	Prav.g_01952
OG0000016	Syab.g_00014	Prav.g_00081
OG0000017	Syab.g_01953	Prav.g_01194
OG0000018	Syab.g_00742	Prav.g_00046, Prav.g_00424
OG0000019	Syab.g_00344	Prav.g_01896, Prav.g_00375
OG0000020	Syab.g_02230	Prav.g_00014, Prav.g_01386
OG0000022	Syab.g_01825	Prav.g_00360, Prav.g_00029
OG0000023	Syab.g_00708, Syab.g_02058, Syab.g_01294	Prav.g_00979
OG0000024	Syab.g_01834	Prav.g_00343, Prav.g_01273
OG0000025	Syab.g_01705	Prav.g_00431, Prav.g_01977
OG0000026	Syab.g_00036	Prav.g_01324, Prav.g_00099, Prav.g_00226
OG0000027	Syab.g_01782	Prav.g_01068, Prav.g_01416
OG0000028	Syab.g_00234	Prav.g_01966, Prav.g_01885
OG0000030	Syab.g_00096, Syab.g_00095	Prav.g_00699
OG0000032	Syab.g_00149, Syab.g_00182	Prav.g_01499
OG0000033	Syab.g_02590	Prav.g_00869
OG0000034	Syab.g_00900, Syab.g_02560	Prav.g_01448
OG0000035	Syab.g_00776	Prav.g_01578
OG0000037	Syab.g_02504	Prav.g_00174
OG0000038	Syab.g_02759, Syab.g_02761	Prav.g_00739
OG0000039	Syab.g_02791	Prav.g_01284
OG0000041	Syab.g_02333	Prav.g_01808
OG0000042	Syab.g_01019, Syab.g_00099	Prav.g_00696
OG0000043	Syab.g_01539	Prav.g_00467
OG0000045	Syab.g_01787	Prav.g_00990
OG0000047	Syab.g_00876	Prav.g_01976
OG0000048	Syab.g_00308	Prav.g_00993
OG0000051	Syab.g_01073	Prav.g_01410
OG0000052	Syab.g_00214	Prav.g_01533
OG0000053	Syab.g_00746	Prav.g_01598
OG0000054	Syab.g_01932	Prav.g_01202
OG0000055	Syab.g_01255	Prav.g_00376
OG0000056	Syab.g_01452	Prav.g_00106, Prav.g_00107, Prav.g_01421
OG0000057	Syab.g_01200	Prav.g_01296
OG0000058	Syab.g_00227	Prav.g_01512
OG0000059	Syab.g_00397	Prav.g_00292
OG0000061	Syab.g_00969	Prav.g_00065
OG0000063	Syab.g_00040	Prav.g_00101
OG0000065	Syab.g_02500, Syab.g_01768	Prav.g_00172
OG0000066	Syab.g_02031	Prav.g_01137
OG0000067	Syab.g_01659	Prav.g_00397
OG0000068	Syab.g_02087	Prav.g_01473
OG0000070	Syab.g_00614	Prav.g_01049
OG0000071	Syab.g_00915	Prav.g_01438
OG0000072	Syab.g_02593	Prav.g_00867
OG0000073	Syab.g_02119	Prav.g_01097
OG0000075	Syab.g_00202	Prav.g_00665
OG0000076	Syab.g_00113	Prav.g_00689
OG0000077	Syab.g_02446	Prav.g_00143
OG0000078	Syab.g_02366	Prav.g_00799
OG0000079	Syab.g_00340	Prav.g_01899
OG0000081	Syab.g_01793	Prav.g_01129
OG0000082	Syab.g_01971	Prav.g_01182
OG0000084	Syab.g_00781	Prav.g_01574
OG0000085	Syab.g_02243	Prav.g_01754
OG0000086	Syab.g_02468	Prav.g_00153
OG0000087	Syab.g_02551	Prav.g_00204
OG0000088	Syab.g_02586	Prav.g_00872
OG0000089	Syab.g_00551	Prav.g_00975
OG0000090	Syab.g_02041	Prav.g_01131
OG0000091	Syab.g_01866	Prav.g_01240
OG0000092	Syab.g_01242, Syab.g_00690	Prav.g_00504, Prav.g_01735
OG0000093	Syab.g_01090	Prav.g_01497
OG0000094	Syab.g_01306	Prav.g_00914
OG0000097	Syab.g_01051	Prav.g_01840
OG0000098	Syab.g_01553	Prav.g_01455
OG0000099	Syab.g_00230	Prav.g_01514
OG0000100	Syab.g_01694	Prav.g_01652
OG0000101	Syab.g_00446	Prav.g_00632
OG0000102	Syab.g_00104	Prav.g_00694
OG0000103	Syab.g_01296, Syab.g_02895	Prav.g_00773
OG0000104	Syab.g_02910	Prav.g_00782
OG0000105	Syab.g_00303	Prav.g_01920
OG0000106	Syab.g_01817	Prav.g_00989
OG0000108	Syab.g_02096	Prav.g_01078
OG0000109	Syab.g_02112	Prav.g_01092
OG0000110	Syab.g_01984	Prav.g_01172
OG0000111	Syab.g_01201	Prav.g_01297
OG0000112	Syab.g_01392	Prav.g_00364
OG0000113	Syab.g_01689	Prav.g_00419
OG0000114	Syab.g_01633	Prav.g_00499
OG0000115	Syab.g_00748	Prav.g_00010
OG0000116	Syab.g_00945	Prav.g_00055
OG0000117	Syab.g_01018	Prav.g_01390
OG0000118	Syab.g_00897	Prav.g_01450
OG0000120	Syab.g_00229	Prav.g_01513
OG0000121	Syab.g_00772	Prav.g_01580
OG0000122	Syab.g_01839	Prav.g_01618
OG0000123	Syab.g_00454	Prav.g_00639
OG0000124	Syab.g_00088	Prav.g_00705
OG0000125	Syab.g_02763	Prav.g_00741
OG0000126	Syab.g_02908	Prav.g_00781
OG0000128	Syab.g_00012	Prav.g_00079
OG0000129	Syab.g_02749	Prav.g_00115
OG0000130	Syab.g_02434	Prav.g_00134
OG0000131	Syab.g_02564	Prav.g_00212
OG0000132	Syab.g_02584	Prav.g_00874
OG0000133	Syab.g_01387	Prav.g_01968
OG0000134	Syab.g_00554	Prav.g_00976
OG0000135	Syab.g_02815	Prav.g_00999
OG0000136	Syab.g_00588	Prav.g_01040
OG0000137	Syab.g_00697	Prav.g_01073
OG0000138	Syab.g_02113	Prav.g_01093
OG0000139	Syab.g_02035	Prav.g_01135
OG0000140	Syab.g_02033	Prav.g_01136
OG0000141	Syab.g_01931	Prav.g_01203
OG0000142	Syab.g_01873	Prav.g_01233
OG0000143	Syab.g_01870	Prav.g_01237
OG0000144	Syab.g_01757	Prav.g_01250
OG0000145	Syab.g_02120	Prav.g_00362
OG0000146	Syab.g_01393	Prav.g_00365
OG0000147	Syab.g_01394	Prav.g_00366
OG0000148	Syab.g_01682	Prav.g_00413
OG0000149	Syab.g_01720	Prav.g_00443
OG0000150	Syab.g_01930	Prav.g_00451
OG0000151	Syab.g_01612	Prav.g_00509
OG0000152	Syab.g_01383	Prav.g_00556
OG0000153	Syab.g_01343	Prav.g_00575
OG0000154	Syab.g_01317	Prav.g_00907
OG0000155	Syab.g_01009	Prav.g_01861
OG0000156	Syab.g_00933	Prav.g_01427
OG0000157	Syab.g_00932	Prav.g_01428
OG0000158	Syab.g_00161	Prav.g_01505
OG0000160	Syab.g_00774	Prav.g_01579
OG0000161	Syab.g_00766	Prav.g_01585
OG0000162	Syab.g_00755	Prav.g_01591
OG0000163	Syab.g_02173	Prav.g_01625
OG0000164	Syab.g_02307	Prav.g_01785
OG0000165	Syab.g_02316	Prav.g_01792
OG0000166	Syab.g_00407	Prav.g_00596
OG0000167	Syab.g_00205	Prav.g_00663
OG0000168	Syab.g_00136	Prav.g_00673
OG0000169	Syab.g_00125	Prav.g_00683
OG0000170	Syab.g_00118	Prav.g_00685
OG0000171	Syab.g_00089	Prav.g_00704
OG0000172	Syab.g_00080	Prav.g_00712
OG0000173	Syab.g_00061	Prav.g_00727
OG0000174	Syab.g_02819	Prav.g_00755
