Orthogroup	Praj	Pray
OG0000000	Praj.g_00832	Pray.g_01836
OG0000000	Praj.g_00670, Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487, Praj.g_01492	Pray.g_01085
OG0000002	Praj.g_01549	Pray.g_01844
OG0000002	Praj.g_00463, Praj.g_01861	Pray.g_00247, Pray.g_00246
OG0000003	Praj.g_01099, Praj.g_00415, Praj.g_01204, Praj.g_01274, Praj.g_01311, Praj.g_01737	Pray.g_01890
OG0000004	Praj.g_01121, Praj.g_00411, Praj.g_01222	Pray.g_00277, Pray.g_00284, Pray.g_01891
OG0000005	Praj.g_00418, Praj.g_01077, Praj.g_01357, Praj.g_01730, Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202	Pray.g_01576
OG0000006	Praj.g_00489	Pray.g_00988, Pray.g_00987
OG0000006	Praj.g_01768	Pray.g_01559
OG0000007	Praj.g_01829	Pray.g_01931
OG0000009	Praj.g_00747	Pray.g_00328
OG0000010	Praj.g_01249	Pray.g_00117, Pray.g_01905
OG0000011	Praj.g_00408	Pray.g_00897
OG0000011	Praj.g_00370	Pray.g_00808
OG0000012	Praj.g_00585, Praj.g_00592	Pray.g_01165
OG0000013	Praj.g_01113	Pray.g_00309
OG0000014	Praj.g_01331	Pray.g_00960, Pray.g_01887
OG0000015	Praj.g_01148	Pray.g_00860
OG0000016	Praj.g_01568	Pray.g_01833
OG0000017	Praj.g_01651	Pray.g_01702
OG0000018	Praj.g_00282, Praj.g_01281, Praj.g_01505	Pray.g_00722
OG0000019	Praj.g_00084	Pray.g_01578
OG0000020	Praj.g_00308	Pray.g_00852
OG0000021	Praj.g_01316, Praj.g_01051, Praj.g_01335, Praj.g_00976, Praj.g_00975	Pray.g_00330
OG0000022	Praj.g_01076, Praj.g_00419, Praj.g_01356, Praj.g_01201, Praj.g_01271, Praj.g_01308	Pray.g_01888
OG0000024	Praj.g_00341, Praj.g_01609	Pray.g_00784
OG0000025	Praj.g_00099, Praj.g_01398	Pray.g_00883
OG0000026	Praj.g_01867	Pray.g_01495
OG0000027	Praj.g_01084, Praj.g_01070	Pray.g_01635
OG0000028	Praj.g_01632	Pray.g_01722
OG0000029	Praj.g_01276, Praj.g_01675	Pray.g_01609
OG0000030	Praj.g_01595, Praj.g_01902	Pray.g_00245, Pray.g_01501
OG0000032	Praj.g_00371	Pray.g_01806
OG0000033	Praj.g_00013, Praj.g_01865	Pray.g_01475
OG0000035	Praj.g_01395	Pray.g_00438
OG0000036	Praj.g_01827	Pray.g_01177
OG0000037	Praj.g_01066	Pray.g_01140
OG0000038	Praj.g_01189	Pray.g_00304
OG0000039	Praj.g_00206	Pray.g_00647
OG0000040	Praj.g_01365, Praj.g_01329	Pray.g_00838
OG0000042	Praj.g_00698	Pray.g_01040
OG0000043	Praj.g_00909	Pray.g_00333
OG0000045	Praj.g_00839	Pray.g_01786
OG0000046	Praj.g_01762	Pray.g_01566
OG0000047	Praj.g_02012	Pray.g_01364
OG0000048	Praj.g_02020	Pray.g_01371
OG0000050	Praj.g_00031	Pray.g_01493
OG0000051	Praj.g_00197	Pray.g_00638
OG0000052	Praj.g_01156, Praj.g_01282	Pray.g_00848
OG0000053	Praj.g_00530	Pray.g_01222
OG0000054	Praj.g_00042	Pray.g_00299
OG0000055	Praj.g_00793, Praj.g_01176	Pray.g_00370
OG0000056	Praj.g_00043	Pray.g_00110
OG0000057	Praj.g_00277	Pray.g_00718
OG0000058	Praj.g_00467	Pray.g_00965
OG0000059	Praj.g_01313, Praj.g_00691	Pray.g_01065
OG0000060	Praj.g_01170	Pray.g_00282
OG0000061	Praj.g_01563	Pray.g_00531
OG0000062	Praj.g_01832	Pray.g_00097
OG0000063	Praj.g_01355	Pray.g_01927
OG0000065	Praj.g_01528	Pray.g_01870
OG0000066	Praj.g_00664	Pray.g_01808
OG0000067	Praj.g_01158	Pray.g_01930
OG0000067	Praj.g_01323	Pray.g_00884
OG0000068	Praj.g_01952	Pray.g_01306
OG0000069	Praj.g_01669	Pray.g_01782
OG0000071	Praj.g_00011	Pray.g_01473
OG0000072	Praj.g_00357	Pray.g_00800
OG0000073	Praj.g_00659	Pray.g_01094
OG0000074	Praj.g_00684	Pray.g_01072
OG0000075	Praj.g_00776	Pray.g_00355
OG0000076	Praj.g_01024	Pray.g_00584
OG0000077	Praj.g_00416, Praj.g_01079, Praj.g_01203, Praj.g_01273, Praj.g_01310, Praj.g_01731, Praj.g_01358	Pray.g_01575
OG0000078	Praj.g_00372	Pray.g_01788
OG0000079	Praj.g_01714	Pray.g_01644
OG0000080	Praj.g_01166	Pray.g_01595
OG0000081	Praj.g_01985	Pray.g_01337
OG0000082	Praj.g_02103	Pray.g_01427
OG0000083	Praj.g_00003	Pray.g_01464
OG0000084	Praj.g_00006	Pray.g_01468
OG0000085	Praj.g_00023	Pray.g_01485
OG0000086	Praj.g_01154	Pray.g_00907
OG0000087	Praj.g_00053	Pray.g_00234
OG0000088	Praj.g_00153	Pray.g_00176
OG0000089	Praj.g_00162	Pray.g_00168
OG0000090	Praj.g_00179	Pray.g_00150
OG0000091	Praj.g_00209	Pray.g_00650
OG0000092	Praj.g_00210	Pray.g_00651
OG0000093	Praj.g_00223	Pray.g_00665
OG0000094	Praj.g_00242	Pray.g_00683
OG0000095	Praj.g_00246	Pray.g_00688
OG0000096	Praj.g_00290	Pray.g_00732
OG0000097	Praj.g_00310	Pray.g_00753
OG0000099	Praj.g_00329	Pray.g_00772
OG0000100	Praj.g_00332	Pray.g_00775
OG0000101	Praj.g_00405	Pray.g_00835
OG0000102	Praj.g_01279	Pray.g_00861
OG0000103	Praj.g_00468	Pray.g_00966
OG0000104	Praj.g_00473	Pray.g_00970
OG0000105	Praj.g_00491	Pray.g_00990
OG0000106	Praj.g_00523	Pray.g_01023
OG0000107	Praj.g_00524	Pray.g_01024, Pray.g_01228
OG0000108	Praj.g_00534	Pray.g_01218
OG0000109	Praj.g_00543	Pray.g_01209
OG0000110	Praj.g_00559	Pray.g_01193
OG0000111	Praj.g_00639	Pray.g_01112
OG0000112	Praj.g_00640	Pray.g_01111
OG0000113	Praj.g_00722	Pray.g_00275
OG0000114	Praj.g_00767	Pray.g_00346
OG0000115	Praj.g_01601, Praj.g_00946	Pray.g_00511
OG0000116	Praj.g_00950	Pray.g_00515
OG0000117	Praj.g_01021	Pray.g_00581
OG0000118	Praj.g_01196	Pray.g_00632
OG0000119	Praj.g_01835	Pray.g_00094
OG0000120	Praj.g_01455	Pray.g_00057
OG0000121	Praj.g_01433	Pray.g_00038
OG0000122	Praj.g_01413	Pray.g_00019
OG0000123	Praj.g_01402	Pray.g_00006
OG0000124	Praj.g_01014	Pray.g_00250
OG0000125	Praj.g_01540	Pray.g_01858
OG0000126	Praj.g_01575	Pray.g_01829
OG0000127	Praj.g_01618	Pray.g_01735
OG0000128	Praj.g_01633	Pray.g_01721
OG0000129	Praj.g_01667	Pray.g_01685
OG0000130	Praj.g_01766	Pray.g_01561
OG0000131	Praj.g_01803	Pray.g_01523
OG0000132	Praj.g_01805	Pray.g_01520
OG0000133	Praj.g_01910	Pray.g_01265
OG0000134	Praj.g_01946	Pray.g_01301
OG0000135	Praj.g_01948	Pray.g_01303
OG0000136	Praj.g_01997	Pray.g_01348
OG0000137	Praj.g_02034	Pray.g_01381
OG0000138	Praj.g_02091	Pray.g_01417
OG0000139	Praj.g_02128	Pray.g_01444
OG0000140	Praj.g_00001	Pray.g_01462
OG0000141	Praj.g_00002	Pray.g_01463
OG0000142	Praj.g_00004	Pray.g_01465
OG0000143	Praj.g_00005	Pray.g_01467
OG0000144	Praj.g_00007	Pray.g_01469
OG0000145	Praj.g_00008	Pray.g_01470
OG0000146	Praj.g_00009	Pray.g_01471
OG0000147	Praj.g_00010	Pray.g_01472
OG0000148	Praj.g_00012	Pray.g_01474
OG0000149	Praj.g_00014	Pray.g_01476
OG0000150	Praj.g_00015	Pray.g_01477
OG0000151	Praj.g_00016	Pray.g_01478
OG0000152	Praj.g_00017	Pray.g_01479
OG0000153	Praj.g_00018	Pray.g_01480
OG0000154	Praj.g_00019	Pray.g_01481
OG0000155	Praj.g_00020	Pray.g_01482
OG0000156	Praj.g_00021	Pray.g_01483
OG0000157	Praj.g_00022	Pray.g_01484
OG0000158	Praj.g_00024	Pray.g_01486
OG0000159	Praj.g_00025	Pray.g_01487
OG0000160	Praj.g_00026	Pray.g_01488
OG0000161	Praj.g_00027	Pray.g_01489
OG0000162	Praj.g_00028	Pray.g_01490
OG0000163	Praj.g_00029	Pray.g_01491
OG0000164	Praj.g_00032	Pray.g_01494
OG0000165	Praj.g_00034	Pray.g_01497
OG0000166	Praj.g_00035	Pray.g_01498
OG0000167	Praj.g_00036	Pray.g_01499
OG0000168	Praj.g_00044	Pray.g_00243
OG0000169	Praj.g_00046	Pray.g_00241
OG0000170	Praj.g_00047	Pray.g_00240
OG0000171	Praj.g_00048	Pray.g_00239
OG0000172	Praj.g_00049	Pray.g_00238
OG0000173	Praj.g_00050	Pray.g_00237
OG0000174	Praj.g_00051	Pray.g_00236
OG0000175	Praj.g_00052	Pray.g_00235
OG0000176	Praj.g_00054	Pray.g_00233
OG0000177	Praj.g_00055	Pray.g_00232
OG0000178	Praj.g_00056	Pray.g_00231
OG0000179	Praj.g_00102	Pray.g_00225
OG0000180	Praj.g_00103	Pray.g_00224
OG0000181	Praj.g_00104	Pray.g_00223
OG0000182	Praj.g_00107	Pray.g_00220
OG0000183	Praj.g_00108	Pray.g_00219
OG0000184	Praj.g_00111	Pray.g_00216
OG0000185	Praj.g_00115	Pray.g_00212
OG0000186	Praj.g_00116	Pray.g_00211
OG0000187	Praj.g_00117	Pray.g_00210
OG0000188	Praj.g_00118	Pray.g_00209
OG0000189	Praj.g_00119	Pray.g_00208
OG0000190	Praj.g_00120	Pray.g_00207
OG0000191	Praj.g_00121	Pray.g_00206
OG0000192	Praj.g_00122	Pray.g_00205
OG0000193	Praj.g_00123	Pray.g_00204
OG0000194	Praj.g_00124	Pray.g_00203
OG0000195	Praj.g_00126	Pray.g_00201
OG0000196	Praj.g_00127	Pray.g_00200
OG0000197	Praj.g_00128	Pray.g_00199
OG0000198	Praj.g_00129	Pray.g_00198
OG0000199	Praj.g_00132	Pray.g_00195
OG0000200	Praj.g_00133	Pray.g_00194
OG0000201	Praj.g_00134	Pray.g_00193
OG0000202	Praj.g_00135	Pray.g_00192
OG0000203	Praj.g_00136	Pray.g_00191
OG0000204	Praj.g_00137	Pray.g_00190
OG0000205	Praj.g_00139	Pray.g_00189
OG0000206	Praj.g_00140	Pray.g_00188
OG0000207	Praj.g_00141	Pray.g_00187
OG0000208	Praj.g_00142	Pray.g_00186
OG0000209	Praj.g_00143	Pray.g_00185
OG0000210	Praj.g_00144	Pray.g_00183
OG0000211	Praj.g_00145	Pray.g_00182
OG0000212	Praj.g_00146	Pray.g_00181
OG0000213	Praj.g_00147	Pray.g_00180
OG0000214	Praj.g_00151	Pray.g_00178
OG0000215	Praj.g_00152	Pray.g_00177
OG0000216	Praj.g_00154	Pray.g_00175
OG0000217	Praj.g_00156	Pray.g_00174
OG0000218	Praj.g_00157	Pray.g_00173
OG0000219	Praj.g_00158	Pray.g_00172
OG0000220	Praj.g_00160	Pray.g_00169
OG0000221	Praj.g_00163	Pray.g_00167
OG0000222	Praj.g_00164	Pray.g_00166
OG0000223	Praj.g_00165	Pray.g_00165
OG0000224	Praj.g_00168	Pray.g_00162
OG0000225	Praj.g_00170	Pray.g_00160
OG0000226	Praj.g_00172	Pray.g_00159
OG0000227	Praj.g_00173	Pray.g_00158
OG0000228	Praj.g_00174	Pray.g_00157
OG0000229	Praj.g_00175	Pray.g_00156
OG0000230	Praj.g_00176	Pray.g_00155
OG0000231	Praj.g_01057	Pray.g_00153
OG0000232	Praj.g_00177	Pray.g_00152
OG0000233	Praj.g_00180	Pray.g_00149
OG0000234	Praj.g_00183	Pray.g_00147
OG0000235	Praj.g_00185	Pray.g_00144
OG0000236	Praj.g_00186	Pray.g_00143
OG0000237	Praj.g_00187	Pray.g_00142
OG0000238	Praj.g_00188	Pray.g_00141
OG0000239	Praj.g_00189	Pray.g_00140
OG0000240	Praj.g_00191	Pray.g_00138
OG0000241	Praj.g_00192	Pray.g_00137
OG0000242	Praj.g_00193	Pray.g_00136
OG0000243	Praj.g_00194	Pray.g_00635
OG0000244	Praj.g_00195	Pray.g_00636
OG0000245	Praj.g_00196	Pray.g_00637
OG0000246	Praj.g_00198	Pray.g_00639
OG0000247	Praj.g_00199	Pray.g_00640
OG0000248	Praj.g_00200	Pray.g_00641
OG0000249	Praj.g_00201	Pray.g_00642
OG0000250	Praj.g_00202	Pray.g_00643
OG0000251	Praj.g_00203	Pray.g_00644
OG0000252	Praj.g_00204	Pray.g_00645
OG0000253	Praj.g_00205	Pray.g_00646
OG0000254	Praj.g_00207	Pray.g_00648
OG0000255	Praj.g_00208	Pray.g_00649
OG0000256	Praj.g_00211	Pray.g_00652
OG0000257	Praj.g_00212	Pray.g_00654
OG0000258	Praj.g_00213	Pray.g_00655
OG0000259	Praj.g_00214	Pray.g_00656
OG0000260	Praj.g_00215	Pray.g_00657
OG0000261	Praj.g_00216	Pray.g_00658
OG0000262	Praj.g_00217	Pray.g_00659
OG0000263	Praj.g_00218	Pray.g_00660
OG0000264	Praj.g_00220	Pray.g_00662
OG0000265	Praj.g_00221	Pray.g_00663
OG0000266	Praj.g_00222	Pray.g_00664
OG0000267	Praj.g_00224	Pray.g_00666
OG0000268	Praj.g_00226	Pray.g_00667
OG0000269	Praj.g_00227	Pray.g_00668
OG0000270	Praj.g_00228	Pray.g_00669
OG0000271	Praj.g_00229	Pray.g_00670
OG0000272	Praj.g_00230	Pray.g_00671
OG0000273	Praj.g_00231	Pray.g_00672
OG0000274	Praj.g_00232	Pray.g_00673
OG0000275	Praj.g_00233	Pray.g_00674
OG0000276	Praj.g_00234	Pray.g_00675
OG0000277	Praj.g_00235	Pray.g_00676
OG0000278	Praj.g_00236	Pray.g_00677
OG0000279	Praj.g_00237	Pray.g_00678
OG0000280	Praj.g_00238	Pray.g_00679
OG0000281	Praj.g_00240	Pray.g_00681
OG0000282	Praj.g_00241	Pray.g_00682
OG0000283	Praj.g_00243	Pray.g_00685
OG0000284	Praj.g_00244	Pray.g_00686
OG0000285	Praj.g_00245	Pray.g_00687
OG0000286	Praj.g_00247	Pray.g_00689
OG0000287	Praj.g_00248	Pray.g_00690
OG0000288	Praj.g_00249	Pray.g_00691
OG0000289	Praj.g_00250	Pray.g_00692
