Orthogroup	Praj	Prae
OG0000000	Praj.g_00832	Prae.g_01361
OG0000000	Praj.g_00670, Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487, Praj.g_01492	Prae.g_00652
OG0000001	Praj.g_01267	Prae.g_01300
OG0000002	Praj.g_01549	Prae.g_01353
OG0000002	Praj.g_00463, Praj.g_01861	Prae.g_01236, Prae.g_01223, Prae.g_01224
OG0000003	Praj.g_01099, Praj.g_00415, Praj.g_01204, Praj.g_01274, Praj.g_01311, Praj.g_01737	Prae.g_01308
OG0000004	Praj.g_01121, Praj.g_00411, Praj.g_01222	Prae.g_00735, Prae.g_00742, Prae.g_01297
OG0000006	Praj.g_00489	Prae.g_00471
OG0000006	Praj.g_01768	Prae.g_01623
OG0000009	Praj.g_00747	Prae.g_00786
OG0000010	Praj.g_01249	Prae.g_01110, Prae.g_01283
OG0000011	Praj.g_00370	Prae.g_00331
OG0000012	Praj.g_00585, Praj.g_00592	Prae.g_00572
OG0000013	Praj.g_01113	Prae.g_01235
OG0000014	Praj.g_01331	Prae.g_00444, Prae.g_01311
OG0000015	Praj.g_01148	Prae.g_00381
OG0000016	Praj.g_01568	Prae.g_01364
OG0000017	Praj.g_01651	Prae.g_01479
OG0000018	Praj.g_00282, Praj.g_01281, Praj.g_01505	Prae.g_00244
OG0000019	Praj.g_00084	Prae.g_01600
OG0000020	Praj.g_00308	Prae.g_00374
OG0000021	Praj.g_01316, Praj.g_01051, Praj.g_01335, Praj.g_00976, Praj.g_00975	Prae.g_00788
OG0000022	Praj.g_01076, Praj.g_00419, Praj.g_01356, Praj.g_01201, Praj.g_01271, Praj.g_01308	Prae.g_01310
OG0000024	Praj.g_00341, Praj.g_01609	Prae.g_00307
OG0000026	Praj.g_01867	Prae.g_00033
OG0000027	Praj.g_01084, Praj.g_01070	Prae.g_01546
OG0000028	Praj.g_01632	Prae.g_01459
OG0000029	Praj.g_01276, Praj.g_01675	Prae.g_01573
OG0000031	Praj.g_01347	Prae.g_01602
OG0000032	Praj.g_00371	Prae.g_01391, Prae.g_01402
OG0000033	Praj.g_00013, Praj.g_01865	Prae.g_00013
OG0000035	Praj.g_01395	Prae.g_00894
OG0000036	Praj.g_01827	Prae.g_00559
OG0000037	Praj.g_01066	Prae.g_00597
OG0000038	Praj.g_01189	Prae.g_00764
OG0000039	Praj.g_00206	Prae.g_00169
OG0000040	Praj.g_01365, Praj.g_01329	Prae.g_00359
OG0000042	Praj.g_00698	Prae.g_00711
OG0000043	Praj.g_00909	Prae.g_00791
OG0000045	Praj.g_00839	Prae.g_01406
