Orthogroup	Praj	Prac
OG0000000	Praj.g_00832	Prac.g_00210
OG0000000	Praj.g_00670, Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487, Praj.g_01492	Prac.g_00693
OG0000001	Praj.g_01100, Praj.g_01080, Praj.g_01307, Praj.g_01359, Praj.g_01732, Praj.g_01267, Praj.g_00087	Prac.g_00293
OG0000002	Praj.g_01549	Prac.g_00202
OG0000002	Praj.g_00463, Praj.g_01861	Prac.g_00924, Prac.g_00925
OG0000003	Praj.g_01099, Praj.g_00415, Praj.g_01204, Praj.g_01274, Praj.g_01311, Praj.g_01737	Prac.g_00157
OG0000004	Praj.g_01121, Praj.g_00411, Praj.g_01222	Prac.g_01536, Prac.g_01529
OG0000005	Praj.g_00418, Praj.g_01077, Praj.g_01357, Praj.g_01730, Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202	Prac.g_00277
OG0000006	Praj.g_00489	Prac.g_00874
OG0000006	Praj.g_01768	Prac.g_00625
OG0000007	Praj.g_01829	Prac.g_00904
OG0000009	Praj.g_00747	Prac.g_01496
OG0000010	Praj.g_01249	Prac.g_01958, Prac.g_01035, Prac.g_00139
OG0000011	Praj.g_00408	Prac.g_01127
OG0000011	Praj.g_00370	Prac.g_01601
OG0000012	Praj.g_00585, Praj.g_00592	Prac.g_00773
OG0000013	Praj.g_01113	Prac.g_00898
OG0000014	Praj.g_01331	Prac.g_01074
OG0000015	Praj.g_01148	Prac.g_01151
OG0000016	Praj.g_01568	Prac.g_00213
OG0000017	Praj.g_01651	Prac.g_00391, Prac.g_01901
OG0000018	Praj.g_00282, Praj.g_01281, Praj.g_01505	Prac.g_01689
OG0000019	Praj.g_00084	Prac.g_01169
OG0000020	Praj.g_00308	Prac.g_01159
OG0000021	Praj.g_01316, Praj.g_01051, Praj.g_01335, Praj.g_00976, Praj.g_00975	Prac.g_01494
OG0000022	Praj.g_01076, Praj.g_00419, Praj.g_01356, Praj.g_01201, Praj.g_01271, Praj.g_01308	Prac.g_00159
OG0000024	Praj.g_00341, Praj.g_01609	Prac.g_01625
OG0000025	Praj.g_00099, Praj.g_01398	Prac.g_01220
