Orthogroup	Praj	Prbj
OG0000000	Praj.g_00832	Prbj.g_02517
OG0000000	Praj.g_00670, Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487, Praj.g_01492	Prbj.g_00030
OG0000001	Praj.g_01267	Prbj.g_00166
OG0000002	Praj.g_01549	Prbj.g_00672, Prbj.g_01549, Prbj.g_02662, Prbj.g_00169, Prbj.g_02690
OG0000003	Praj.g_01099, Praj.g_00415, Praj.g_01204, Praj.g_01274, Praj.g_01311, Praj.g_01737	Prbj.g_00165
OG0000004	Praj.g_01121, Praj.g_00411, Praj.g_01222	Prbj.g_00697, Prbj.g_01897, Prbj.g_00073
OG0000006	Praj.g_00489	Prbj.g_01610
OG0000006	Praj.g_01768	Prbj.g_00857
OG0000007	Praj.g_01829	Prbj.g_00929
OG0000007	Praj.g_01830	Prbj.g_00928
OG0000009	Praj.g_00747	Prbj.g_01349
OG0000011	Praj.g_00408	Prbj.g_02509
OG0000011	Praj.g_00370	Prbj.g_00666
OG0000012	Praj.g_00592	Prbj.g_01761, Prbj.g_01769
OG0000013	Praj.g_01113	Prbj.g_02502
OG0000016	Praj.g_01568	Prbj.g_00740, Prbj.g_00778
OG0000017	Praj.g_01651	Prbj.g_00638
OG0000018	Praj.g_00282, Praj.g_01281, Praj.g_01505	Prbj.g_02699
OG0000019	Praj.g_00084	Prbj.g_01774
OG0000020	Praj.g_00308	Prbj.g_01393
OG0000024	Praj.g_00341	Prbj.g_01442
OG0000026	Praj.g_01867	Prbj.g_01208
OG0000028	Praj.g_01632	Prbj.g_01056
OG0000031	Praj.g_01339, Praj.g_01347	Prbj.g_00705
OG0000032	Praj.g_00371	Prbj.g_01522, Prbj.g_01527
OG0000034	Praj.g_00095	Prbj.g_01487
OG0000037	Praj.g_01066	Prbj.g_02552
OG0000038	Praj.g_01189	Prbj.g_00050, Prbj.g_01572
OG0000039	Praj.g_00206	Prbj.g_00521
OG0000040	Praj.g_01365, Praj.g_01329	Prbj.g_02392
OG0000042	Praj.g_00698	Prbj.g_00913, Prbj.g_02178
OG0000043	Praj.g_00909	Prbj.g_00025, Prbj.g_00023
OG0000044	Praj.g_01461	Prbj.g_00971
OG0000045	Praj.g_00839	Prbj.g_01467
OG0000046	Praj.g_01762	Prbj.g_00869
OG0000047	Praj.g_02012	Prbj.g_01598
OG0000048	Praj.g_02020	Prbj.g_00001, Prbj.g_01808
OG0000050	Praj.g_00031	Prbj.g_01204
OG0000051	Praj.g_00197	Prbj.g_00530
OG0000052	Praj.g_01156, Praj.g_01282	Prbj.g_00875
OG0000053	Praj.g_00530	Prbj.g_02141
OG0000054	Praj.g_00042	Prbj.g_01324
OG0000055	Praj.g_00793, Praj.g_01176	Prbj.g_02437
OG0000056	Praj.g_00043	Prbj.g_00227
OG0000058	Praj.g_00467	Prbj.g_00128
OG0000059	Praj.g_01313, Praj.g_00691	Prbj.g_00758
OG0000063	Praj.g_01355	Prbj.g_01915
OG0000065	Praj.g_01528	Prbj.g_01728
OG0000066	Praj.g_00664	Prbj.g_01465
OG0000068	Praj.g_01952	Prbj.g_00415, Prbj.g_00981
OG0000069	Praj.g_01669	Prbj.g_00659
OG0000071	Praj.g_00011	Prbj.g_02085
OG0000072	Praj.g_00357	Prbj.g_01460
OG0000073	Praj.g_00659	Prbj.g_00824
OG0000074	Praj.g_00684	Prbj.g_00933
OG0000075	Praj.g_00776	Prbj.g_02419
OG0000076	Praj.g_01024	Prbj.g_01838
OG0000078	Praj.g_00372	Prbj.g_01464
OG0000079	Praj.g_01714	Prbj.g_00881
