Orthogroup	Praj	Prba
OG0000000	Praj.g_00832	Prba.g_00203
OG0000000	Praj.g_00670, Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487, Praj.g_01492	Prba.g_01639
OG0000002	Praj.g_01549	Prba.g_00211
OG0000002	Praj.g_00463, Praj.g_01861	Prba.g_01081, Prba.g_01080
OG0000003	Praj.g_01099, Praj.g_00415, Praj.g_01204, Praj.g_01274, Praj.g_01311, Praj.g_01737	Prba.g_01172
OG0000004	Praj.g_01121, Praj.g_00411, Praj.g_01222	Prba.g_01570, Prba.g_01563, Prba.g_01171
OG0000005	Praj.g_00418, Praj.g_01077, Praj.g_01357, Praj.g_01730, Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202	Prba.g_00243
OG0000006	Praj.g_00489	Prba.g_00964
OG0000006	Praj.g_01768	Prba.g_00226
OG0000007	Praj.g_01829	Prba.g_01131
OG0000009	Praj.g_00747	Prba.g_01519
OG0000010	Praj.g_01249	Prba.g_00734, Prba.g_01157
OG0000011	Praj.g_00408	Prba.g_00913
OG0000011	Praj.g_00370	Prba.g_00546
OG0000012	Praj.g_00585, Praj.g_00592	Prba.g_01719
OG0000013	Praj.g_01113	Prba.g_01538
OG0000014	Praj.g_01331	Prba.g_00991, Prba.g_01175
OG0000015	Praj.g_01148	Prba.g_00876
OG0000016	Praj.g_01568	Prba.g_00200
OG0000017	Praj.g_01651	Prba.g_00693
OG0000018	Praj.g_00282, Praj.g_01281, Praj.g_01505	Prba.g_00460
OG0000019	Praj.g_00084	Prba.g_00245
OG0000020	Praj.g_00308	Prba.g_00868
OG0000021	Praj.g_01316, Praj.g_01051, Praj.g_01335, Praj.g_00976, Praj.g_00975	Prba.g_01517
OG0000022	Praj.g_01076, Praj.g_00419, Praj.g_01356, Praj.g_01201, Praj.g_01271, Praj.g_01308	Prba.g_01174
OG0000024	Praj.g_00341, Praj.g_01609	Prba.g_00522
OG0000025	Praj.g_00099, Praj.g_01398	Prba.g_00899
OG0000026	Praj.g_01867	Prba.g_01826
OG0000027	Praj.g_01084, Praj.g_01070	Prba.g_00301
OG0000028	Praj.g_01632	Prba.g_00713
OG0000029	Praj.g_01276, Praj.g_01675	Prba.g_00275
OG0000030	Praj.g_01595, Praj.g_01902	Prba.g_01832
OG0000032	Praj.g_00371	Prba.g_00173
OG0000033	Praj.g_00013, Praj.g_01865	Prba.g_01806
OG0000035	Praj.g_01395	Prba.g_01409
OG0000036	Praj.g_01827	Prba.g_01731
OG0000037	Praj.g_01066	Prba.g_01694
OG0000038	Praj.g_01189	Prba.g_01543
OG0000039	Praj.g_00206	Prba.g_00622
OG0000040	Praj.g_01365, Praj.g_01329	Prba.g_00854
OG0000042	Praj.g_00698	Prba.g_01594
OG0000043	Praj.g_00909	Prba.g_01514
OG0000045	Praj.g_00839	Prba.g_00153
OG0000046	Praj.g_01762	Prba.g_00233
OG0000047	Praj.g_02012	Prba.g_00768
OG0000048	Praj.g_02020	Prba.g_00775
OG0000050	Praj.g_00031	Prba.g_01824
OG0000051	Praj.g_00197	Prba.g_01945
OG0000052	Praj.g_01156, Praj.g_01282	Prba.g_00864
OG0000053	Praj.g_00530	Prba.g_00922
OG0000054	Praj.g_00042	Prba.g_01548
OG0000055	Praj.g_00793, Praj.g_01176	Prba.g_01477
OG0000056	Praj.g_00043	Prba.g_00727
OG0000057	Praj.g_00277	Prba.g_00456
OG0000058	Praj.g_00467	Prba.g_00986
OG0000059	Praj.g_01313, Praj.g_00691	Prba.g_01619
OG0000060	Praj.g_01170	Prba.g_01565
OG0000061	Praj.g_01563	Prba.g_01317
OG0000062	Praj.g_01832	Prba.g_00097
OG0000063	Praj.g_01355	Prba.g_01135
OG0000065	Praj.g_01528	Prba.g_01192
OG0000066	Praj.g_00664	Prba.g_00175
OG0000067	Praj.g_01158	Prba.g_01132
OG0000067	Praj.g_01323	Prba.g_00900
OG0000068	Praj.g_01952	Prba.g_00429
OG0000069	Praj.g_01669	Prba.g_00149
OG0000071	Praj.g_00011	Prba.g_01804
OG0000072	Praj.g_00357	Prba.g_00538
OG0000073	Praj.g_00659	Prba.g_01648
OG0000074	Praj.g_00684	Prba.g_01626
OG0000075	Praj.g_00776	Prba.g_01492
OG0000076	Praj.g_01024	Prba.g_01264
OG0000077	Praj.g_00416, Praj.g_01079, Praj.g_01203, Praj.g_01273, Praj.g_01310, Praj.g_01731, Praj.g_01358	Prba.g_00242
OG0000078	Praj.g_00372	Prba.g_00155
OG0000079	Praj.g_01714	Prba.g_00310
OG0000080	Praj.g_01166	Prba.g_00261
OG0000081	Praj.g_01985	Prba.g_01069
OG0000082	Praj.g_02103	Prba.g_00831
OG0000083	Praj.g_00003	Prba.g_01796
OG0000084	Praj.g_00006	Prba.g_01799
OG0000085	Praj.g_00023	Prba.g_01816
OG0000086	Praj.g_01154	Prba.g_01044
OG0000087	Praj.g_00053	Prba.g_01843
OG0000088	Praj.g_00153	Prba.g_01901
OG0000089	Praj.g_00162	Prba.g_01909
OG0000090	Praj.g_00179	Prba.g_01927
OG0000091	Praj.g_00209	Prba.g_00625
OG0000092	Praj.g_00210	Prba.g_00626
OG0000093	Praj.g_00223	Prba.g_00640
OG0000094	Praj.g_00242	Prba.g_00658
OG0000095	Praj.g_00246	Prba.g_00663
OG0000096	Praj.g_00290	Prba.g_00470
OG0000097	Praj.g_00310	Prba.g_00491
OG0000099	Praj.g_00329	Prba.g_00510
OG0000100	Praj.g_00332	Prba.g_00513
OG0000101	Praj.g_00405	Prba.g_00851
OG0000102	Praj.g_01279	Prba.g_00877
OG0000103	Praj.g_00468	Prba.g_00985
OG0000104	Praj.g_00473	Prba.g_00981
OG0000105	Praj.g_00491	Prba.g_00962
OG0000106	Praj.g_00523	Prba.g_00929
OG0000107	Praj.g_00524	Prba.g_00928
OG0000108	Praj.g_00534	Prba.g_01772
OG0000109	Praj.g_00543	Prba.g_01763
OG0000110	Praj.g_00559	Prba.g_01747
OG0000111	Praj.g_00639	Prba.g_01666
OG0000112	Praj.g_00640	Prba.g_01665
