Orthogroup	Prak	Syag
OG0000001	Prak.g_01302	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520
OG0000004	Prak.g_00826	Syag.g_00988
OG0000004	Prak.g_00248	Syag.g_00370, Syag.g_01790
OG0000005	Prak.g_01474	Syag.g_01667
OG0000006	Prak.g_00258	Syag.g_00435, Syag.g_01772, Syag.g_02678, Syag.g_02687
OG0000007	Prak.g_00458	Syag.g_01507
OG0000007	Prak.g_01645	Syag.g_01687
OG0000008	Prak.g_01544	Syag.g_00496
OG0000008	Prak.g_01545, Prak.g_01546	Syag.g_01017
OG0000009	Prak.g_01486	Syag.g_00220, Syag.g_00231
OG0000010	Prak.g_00739, Prak.g_01034	Syag.g_01355
OG0000012	Prak.g_00584	Syag.g_00377
OG0000013	Prak.g_00343	Syag.g_02811, Syag.g_02820, Syag.g_02806
OG0000014	Prak.g_00325	Syag.g_02559
OG0000015	Prak.g_01584, Prak.g_01630	Syag.g_02252, Syag.g_00596
OG0000016	Prak.g_00013	Syag.g_02286
OG0000016	Prak.g_01230	Syag.g_01066
OG0000017	Prak.g_00559	Syag.g_00336
OG0000017	Prak.g_00566	Syag.g_00344
OG0000018	Prak.g_01194	Syag.g_01387
OG0000019	Prak.g_00266, Prak.g_01196	Syag.g_02663
OG0000020	Prak.g_01498, Prak.g_01527	Syag.g_00085
OG0000021	Prak.g_01499, Prak.g_00831	Syag.g_00229
OG0000023	Prak.g_00721	Syag.g_00261, Syag.g_00234
OG0000024	Prak.g_01038, Prak.g_00802	Syag.g_00455
OG0000025	Prak.g_00881	Syag.g_00718
OG0000026	Prak.g_00032	Syag.g_02309
OG0000027	Prak.g_01521, Prak.g_01564	Syag.g_00950, Syag.g_00165
OG0000028	Prak.g_01543	Syag.g_02540
OG0000029	Prak.g_01534, Prak.g_01576, Prak.g_01735	Syag.g_00195
OG0000030	Prak.g_01853	Syag.g_02375, Syag.g_02374
OG0000031	Prak.g_01350	Syag.g_02510, Syag.g_02486
OG0000032	Prak.g_01430	Syag.g_01366
OG0000033	Prak.g_01357	Syag.g_01978
OG0000034	Prak.g_01288	Syag.g_01225, Syag.g_01947
OG0000035	Prak.g_01391	Syag.g_01420, Syag.g_01421
OG0000037	Prak.g_00115	Syag.g_00173
OG0000038	Prak.g_01893	Syag.g_02130, Syag.g_02132
OG0000039	Prak.g_00814	Syag.g_01325, Syag.g_02155
OG0000041	Prak.g_01692	Syag.g_01750, Syag.g_00962
