Orthogroup	Prak	Prbh
OG0000000	Prak.g_01210	Prbh.g_01901
OG0000000	Prak.g_01562	Prbh.g_01903
OG0000000	Prak.g_01209	Prbh.g_01902
OG0000000	Prak.g_01563	Prbh.g_01902
OG0000000	Prak.g_01578	Prbh.g_01858
OG0000001	Prak.g_01302	Prbh.g_00001
OG0000001	Prak.g_00755	Prbh.g_00863
OG0000002	Prak.g_00908	Prbh.g_01016
OG0000002	Prak.g_00913	Prbh.g_01022
OG0000002	Prak.g_01202	Prbh.g_01313
OG0000002	Prak.g_01323	Prbh.g_00006
OG0000002	Prak.g_01200	Prbh.g_01311
OG0000002	Prak.g_01207	Prbh.g_01317
OG0000002	Prak.g_01494	Prbh.g_00199
OG0000002	Prak.g_00805	Prbh.g_00912
OG0000004	Prak.g_00826	Prbh.g_00933
OG0000004	Prak.g_00248	Prbh.g_00548
OG0000005	Prak.g_01474	Prbh.g_00182
OG0000006	Prak.g_00258	Prbh.g_00538
OG0000007	Prak.g_00458	Prbh.g_00334
OG0000007	Prak.g_01645	Prbh.g_01782
OG0000008	Prak.g_01544	Prbh.g_01406
OG0000008	Prak.g_01545, Prak.g_01546	Prbh.g_01405
OG0000009	Prak.g_01486	Prbh.g_00377
OG0000010	Prak.g_00435	Prbh.g_00357
OG0000010	Prak.g_00739	Prbh.g_00848
OG0000010	Prak.g_01034	Prbh.g_01143
OG0000012	Prak.g_00584	Prbh.g_01460
OG0000013	Prak.g_00343	Prbh.g_00452
OG0000014	Prak.g_00325	Prbh.g_00472
OG0000015	Prak.g_01584, Prak.g_01630	Prbh.g_01869
OG0000016	Prak.g_01230	Prbh.g_01336
OG0000017	Prak.g_00559	Prbh.g_00232
OG0000017	Prak.g_00566	Prbh.g_00225
OG0000018	Prak.g_00873	Prbh.g_00981
OG0000018	Prak.g_01194	Prbh.g_01305
OG0000019	Prak.g_00266	Prbh.g_00530
OG0000019	Prak.g_01196	Prbh.g_01307
OG0000020	Prak.g_01498	Prbh.g_00202
OG0000020	Prak.g_01527	Prbh.g_01898
OG0000021	Prak.g_01499	Prbh.g_00203
OG0000021	Prak.g_00831	Prbh.g_00938
OG0000022	Prak.g_01482	Prbh.g_00190
OG0000023	Prak.g_00721	Prbh.g_00833
