Orthogroup	Prak	Pral
OG0000000	Prak.g_01210	Pral.g_00040
OG0000000	Prak.g_01562	Pral.g_00037
OG0000000	Prak.g_01209	Pral.g_00038
OG0000000	Prak.g_01209	Pral.g_01333
OG0000000	Prak.g_01563	Pral.g_00038
OG0000000	Prak.g_01563	Pral.g_01333
OG0000001	Prak.g_01302	Pral.g_01236
OG0000001	Prak.g_00755	Pral.g_01671
OG0000002	Prak.g_00908	Pral.g_01549
OG0000002	Prak.g_00913	Pral.g_01554
OG0000002	Prak.g_01202	Pral.g_01340
OG0000002	Prak.g_01323	Pral.g_00430
OG0000002	Prak.g_01200	Pral.g_01342
OG0000002	Prak.g_01207	Pral.g_01337
OG0000002	Prak.g_01494	Pral.g_01052
OG0000002	Prak.g_00805	Pral.g_01764
OG0000004	Prak.g_00826	Pral.g_01743
OG0000004	Prak.g_00248	Pral.g_00809
OG0000005	Prak.g_01474	Pral.g_01075
OG0000006	Prak.g_00258	Pral.g_00797
OG0000007	Prak.g_00458	Pral.g_00593
OG0000007	Prak.g_01645	Pral.g_00107
OG0000008	Prak.g_01544	Pral.g_00020
OG0000008	Prak.g_01545, Prak.g_01546	Pral.g_00021
OG0000009	Prak.g_01486	Pral.g_01065
OG0000010	Prak.g_00435	Pral.g_00618
OG0000010	Prak.g_00739	Pral.g_01832
OG0000010	Prak.g_01034	Pral.g_01848
OG0000012	Prak.g_01506	Pral.g_00015
OG0000013	Prak.g_00343	Pral.g_00712
OG0000014	Prak.g_00325	Pral.g_00732
OG0000015	Prak.g_01584, Prak.g_01630	Pral.g_01813
OG0000017	Prak.g_00559	Pral.g_00491
OG0000017	Prak.g_00566	Pral.g_00484
OG0000018	Prak.g_00873	Pral.g_01516
OG0000018	Prak.g_01194	Pral.g_01346
OG0000019	Prak.g_00266	Pral.g_00790
OG0000019	Prak.g_01196	Pral.g_01344
OG0000020	Prak.g_01527	Pral.g_01891
OG0000021	Prak.g_01499	Pral.g_01667
OG0000021	Prak.g_00831	Pral.g_01738
OG0000022	Prak.g_01482	Pral.g_00044
OG0000023	Prak.g_00721	Pral.g_01687
OG0000024	Prak.g_01038	Pral.g_01895
OG0000025	Prak.g_00881	Pral.g_01523
OG0000026	Prak.g_00032	Pral.g_01012
OG0000027	Prak.g_01564	Pral.g_00039
OG0000028	Prak.g_01543	Pral.g_00053
OG0000029	Prak.g_01576	Pral.g_01890
OG0000030	Prak.g_01853	Pral.g_00316
OG0000031	Prak.g_01350	Pral.g_01193
OG0000032	Prak.g_01430	Pral.g_01121
OG0000033	Prak.g_00181	Pral.g_00874
OG0000034	Prak.g_01288	Pral.g_01271
OG0000035	Prak.g_01391	Pral.g_01161, Pral.g_01165
OG0000037	Prak.g_00115	Pral.g_00938
OG0000038	Prak.g_01893	Pral.g_00356
OG0000039	Prak.g_00814	Pral.g_01755
