Orthogroup	Prak	Pras
OG0000000	Prak.g_01562	Pras.g_00493, Pras.g_00470
OG0000001	Prak.g_01302	Pras.g_00235
OG0000002	Prak.g_00908, Prak.g_00913	Pras.g_00243
OG0000002	Prak.g_01202, Prak.g_01323, Prak.g_01200, Prak.g_01207, Prak.g_01494, Prak.g_00805	Pras.g_01554
OG0000004	Prak.g_00826	Pras.g_01571
OG0000004	Prak.g_00248	Pras.g_01084
OG0000005	Prak.g_01474	Pras.g_00429
OG0000006	Prak.g_00258	Pras.g_00148, Pras.g_01093
OG0000007	Prak.g_00458	Pras.g_01375
OG0000007	Prak.g_01645	Pras.g_00550
OG0000009	Prak.g_01486	Pras.g_00157
OG0000010	Prak.g_00435	Pras.g_01352
OG0000010	Prak.g_00739, Prak.g_01034	Pras.g_00523, Pras.g_01942
OG0000012	Prak.g_00584, Prak.g_01506	Pras.g_01499
OG0000013	Prak.g_00343	Pras.g_01179
OG0000014	Prak.g_00325	Pras.g_01158
OG0000015	Prak.g_01584, Prak.g_01630	Pras.g_00127
OG0000016	Prak.g_00013	Pras.g_00855
OG0000017	Prak.g_00559, Prak.g_00566	Pras.g_01474
OG0000018	Prak.g_00873	Pras.g_01728
OG0000018	Prak.g_01194	Pras.g_00037
OG0000019	Prak.g_00266	Pras.g_01101
OG0000019	Prak.g_01196	Pras.g_01681
OG0000020	Prak.g_01527	Pras.g_00530
OG0000021	Prak.g_01499, Prak.g_00831	Pras.g_00507, Pras.g_01218
OG0000022	Prak.g_01482	Pras.g_01662
OG0000023	Prak.g_00721	Pras.g_01213
OG0000024	Prak.g_01038	Pras.g_01645
OG0000024	Prak.g_00802	Pras.g_01551
OG0000025	Prak.g_00881	Pras.g_01183, Pras.g_01735
OG0000026	Prak.g_00032	Pras.g_00873, Pras.g_01949
OG0000027	Prak.g_01521, Prak.g_01564	Pras.g_01348, Pras.g_00185
OG0000028	Prak.g_01543	Pras.g_00169
OG0000029	Prak.g_01534, Prak.g_01576	Pras.g_01653
OG0000029	Prak.g_01735	Pras.g_01228
OG0000030	Prak.g_01853	Pras.g_00753
OG0000031	Prak.g_01350	Pras.g_00331
OG0000034	Prak.g_01288	Pras.g_00219
OG0000035	Prak.g_01391	Pras.g_00350
OG0000037	Prak.g_00115	Pras.g_00960
OG0000038	Prak.g_01893	Pras.g_00795
OG0000039	Prak.g_00814	Pras.g_01562
OG0000041	Prak.g_01692	Pras.g_00597
OG0000042	Prak.g_01850	Pras.g_00750
OG0000043	Prak.g_01193	Pras.g_00153, Pras.g_01772
OG0000047	Prak.g_00385	Pras.g_01263
OG0000048	Prak.g_01264, Prak.g_00289	Pras.g_01227
OG0000052	Prak.g_01369	Pras.g_00285
OG0000053	Prak.g_01412, Prak.g_01590	Pras.g_00886, Pras.g_00370
OG0000054	Prak.g_00568	Pras.g_01482
OG0000055	Prak.g_01221, Prak.g_01619	Pras.g_01682
OG0000057	Prak.g_00829	Pras.g_01574
OG0000058	Prak.g_01351	Pras.g_00291
OG0000059	Prak.g_01732	Pras.g_00637
OG0000061	Prak.g_01172	Pras.g_00056
OG0000062	Prak.g_01476	Pras.g_00431
OG0000065	Prak.g_00113	Pras.g_00958
OG0000066	Prak.g_00498, Prak.g_01557	Pras.g_01416
OG0000067	Prak.g_00845	Pras.g_01701, Pras.g_00311
OG0000068	Prak.g_01329	Pras.g_00250
OG0000069	Prak.g_00416	Pras.g_00538, Pras.g_00464
OG0000070	Prak.g_00412	Pras.g_01328
OG0000071	Prak.g_01277	Pras.g_00209
OG0000072	Prak.g_00183	Pras.g_01022
OG0000073	Prak.g_00461	Pras.g_01377
OG0000074	Prak.g_00809, Prak.g_00750, Prak.g_00713	Pras.g_01558
OG0000075	Prak.g_01816	Pras.g_00719
OG0000076	Prak.g_01842	Pras.g_00883, Pras.g_00743
OG0000077	Prak.g_00083	Pras.g_00929
OG0000078	Prak.g_00256	Pras.g_01091
OG0000079	Prak.g_00269	Pras.g_01104
OG0000080	Prak.g_01363	Pras.g_00279
OG0000080	Prak.g_01365	Pras.g_00277
OG0000081	Prak.g_00490	Pras.g_01408
OG0000082	Prak.g_00546, Prak.g_01634	Pras.g_01462
OG0000084	Prak.g_01388	Pras.g_00346
OG0000085	Prak.g_01516, Prak.g_01637	Pras.g_00543
OG0000086	Prak.g_00092	Pras.g_00939
OG0000087	Prak.g_00147	Pras.g_00990
OG0000088	Prak.g_00178	Pras.g_01017
OG0000089	Prak.g_00379	Pras.g_01209
OG0000090	Prak.g_00492	Pras.g_01410
OG0000091	Prak.g_01100	Pras.g_01518
OG0000092	Prak.g_00775	Pras.g_01806
OG0000093	Prak.g_01071	Pras.g_01827
OG0000094	Prak.g_01022	Pras.g_01915
OG0000095	Prak.g_00920	Pras.g_01934
OG0000096	Prak.g_00702	Pras.g_00004, Pras.g_00163
OG0000097	Prak.g_01126	Pras.g_00098
OG0000098	Prak.g_01305	Pras.g_00232
OG0000099	Prak.g_01352	Pras.g_00294
OG0000100	Prak.g_01470	Pras.g_00427
OG0000101	Prak.g_01780	Pras.g_00687
OG0000102	Prak.g_01847	Pras.g_00748
OG0000103	Prak.g_01932	Pras.g_00829
OG0000104	Prak.g_01941	Pras.g_00838
OG0000105	Prak.g_00292	Pras.g_01126
OG0000106	Prak.g_00687	Pras.g_01223
OG0000107	Prak.g_01709	Pras.g_01239
OG0000108	Prak.g_00441	Pras.g_01358
OG0000109	Prak.g_00455	Pras.g_01372
OG0000110	Prak.g_00535	Pras.g_01451
OG0000111	Prak.g_00830	Pras.g_01575
