Orthogroup	Prak	Syat
OG0000001	Prak.g_01302	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878
OG0000005	Prak.g_01474	Syat.g_03105
OG0000006	Prak.g_00258	Syat.g_00371, Syat.g_01439, Syat.g_01865
OG0000007	Prak.g_00458	Syat.g_03191
OG0000007	Prak.g_01645	Syat.g_03124
OG0000008	Prak.g_01544	Syat.g_02626
OG0000008	Prak.g_01545, Prak.g_01546	Syat.g_02627
OG0000010	Prak.g_00739, Prak.g_01034	Syat.g_01372
OG0000012	Prak.g_01506	Syat.g_03313, Syat.g_02642, Syat.g_02987, Syat.g_00139, Syat.g_00143
OG0000013	Prak.g_00343	Syat.g_01625, Syat.g_01016, Syat.g_01027
OG0000014	Prak.g_00325	Syat.g_02104
OG0000015	Prak.g_01584, Prak.g_01630	Syat.g_00775, Syat.g_01677
OG0000016	Prak.g_00013	Syat.g_02329
OG0000016	Prak.g_01230	Syat.g_00909, Syat.g_00222, Syat.g_00832
OG0000018	Prak.g_01194	Syat.g_01334
OG0000019	Prak.g_00266, Prak.g_01196	Syat.g_01876
OG0000021	Prak.g_01499, Prak.g_00831	Syat.g_00964
OG0000024	Prak.g_01038, Prak.g_00802	Syat.g_03394
OG0000025	Prak.g_00881	Syat.g_00719
OG0000026	Prak.g_00032	Syat.g_02306
OG0000027	Prak.g_01521, Prak.g_01564	Syat.g_00850
OG0000028	Prak.g_01543	Syat.g_02126
OG0000030	Prak.g_01853	Syat.g_00307, Syat.g_00308
OG0000031	Prak.g_01350	Syat.g_02131, Syat.g_03199, Syat.g_02243
OG0000032	Prak.g_01430	Syat.g_01354
OG0000033	Prak.g_01357	Syat.g_02858
OG0000034	Prak.g_01288	Syat.g_01165, Syat.g_02902
OG0000035	Prak.g_01391	Syat.g_01227, Syat.g_01226
OG0000037	Prak.g_00115	Syat.g_01575, Syat.g_00849, Syat.g_00187
OG0000038	Prak.g_01893	Syat.g_02688, Syat.g_02686
OG0000039	Prak.g_00814	Syat.g_01278
OG0000041	Prak.g_01692	Syat.g_00785, Syat.g_03006
OG0000042	Prak.g_01850	Syat.g_00223, Syat.g_02222
OG0000045	Prak.g_01216	Syat.g_00935
OG0000046	Prak.g_00344	Syat.g_01626, Syat.g_01026
OG0000048	Prak.g_01264	Syat.g_02046
OG0000052	Prak.g_00058	Syat.g_02140
OG0000053	Prak.g_01412, Prak.g_01590	Syat.g_01330
OG0000054	Prak.g_00568	Syat.g_00987, Syat.g_03390
OG0000055	Prak.g_01619	Syat.g_00693
OG0000057	Prak.g_00829	Syat.g_00817, Syat.g_02055
OG0000058	Prak.g_01351	Syat.g_02133, Syat.g_02238, Syat.g_01189
OG0000059	Prak.g_01732	Syat.g_01832
OG0000061	Prak.g_01172	Syat.g_03260
OG0000062	Prak.g_01476	Syat.g_03107
OG0000063	Prak.g_01530	Syat.g_02303
OG0000064	Prak.g_00072	Syat.g_01568
OG0000065	Prak.g_00113	Syat.g_01571
OG0000066	Prak.g_00498, Prak.g_01557	Syat.g_03283
OG0000067	Prak.g_00845	Syat.g_00479, Syat.g_01324, Syat.g_02018, Syat.g_02874
OG0000068	Prak.g_01329	Syat.g_00085, Syat.g_01295
OG0000069	Prak.g_00416	Syat.g_00090, Syat.g_00879
OG0000070	Prak.g_00412	Syat.g_01032, Syat.g_01040
OG0000071	Prak.g_01277	Syat.g_01153
OG0000072	Prak.g_00183	Syat.g_02856, Syat.g_01597
OG0000073	Prak.g_00461	Syat.g_03201
OG0000075	Prak.g_01816	Syat.g_02497, Syat.g_01713, Syat.g_02154
OG0000076	Prak.g_01842	Syat.g_02206
OG0000077	Prak.g_00083	Syat.g_01481
OG0000078	Prak.g_00256	Syat.g_00184
OG0000079	Prak.g_00269	Syat.g_01879
OG0000080	Prak.g_01363, Prak.g_01365	Syat.g_02246, Syat.g_02282, Syat.g_01200
OG0000081	Prak.g_00490	Syat.g_00980
OG0000082	Prak.g_00546, Prak.g_01634	Syat.g_00035
OG0000085	Prak.g_01516, Prak.g_01637	Syat.g_03113
OG0000086	Prak.g_00092	Syat.g_01531, Syat.g_00798, Syat.g_00635
OG0000087	Prak.g_00147	Syat.g_02912
OG0000088	Prak.g_00178	Syat.g_02862
OG0000089	Prak.g_00379	Syat.g_02953
OG0000090	Prak.g_00492	Syat.g_03270
