Orthogroup	Prak	Syap
OG0000001	Prak.g_01302	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615, Syap.g_00399
OG0000004	Prak.g_00248	Syap.g_01987
OG0000005	Prak.g_01474	Syap.g_01218
OG0000006	Prak.g_00258	Syap.g_02770
OG0000007	Prak.g_00458	Syap.g_00275
OG0000007	Prak.g_01645	Syap.g_00621
OG0000010	Prak.g_00739, Prak.g_01034	Syap.g_02757
OG0000013	Prak.g_00343	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972
OG0000014	Prak.g_00325	Syap.g_01675
OG0000015	Prak.g_01584, Prak.g_01630	Syap.g_02606, Syap.g_00786
OG0000016	Prak.g_00013	Syap.g_00071
OG0000016	Prak.g_01230	Syap.g_00404
OG0000018	Prak.g_00873	Syap.g_02708
OG0000018	Prak.g_01194	Syap.g_02010
OG0000019	Prak.g_00266, Prak.g_01196	Syap.g_01586
OG0000025	Prak.g_00881	Syap.g_01846
OG0000027	Prak.g_01521, Prak.g_01564	Syap.g_01440
OG0000028	Prak.g_01543	Syap.g_01658
OG0000030	Prak.g_01853	Syap.g_00787, Syap.g_00788
OG0000031	Prak.g_01350	Syap.g_02479, Syap.g_01083, Syap.g_02076, Syap.g_00722
OG0000033	Prak.g_01357	Syap.g_01198
OG0000034	Prak.g_01288	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Prak.g_01391	Syap.g_02125, Syap.g_02465
OG0000037	Prak.g_00115	Syap.g_02492
OG0000038	Prak.g_01893	Syap.g_00139
OG0000039	Prak.g_00814	Syap.g_01749, Syap.g_01748
OG0000041	Prak.g_01692	Syap.g_01510
OG0000042	Prak.g_01850	Syap.g_01891, Syap.g_01120
OG0000043	Prak.g_01193	Syap.g_01998
OG0000045	Prak.g_01216	Syap.g_02525
OG0000046	Prak.g_00344	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973
OG0000048	Prak.g_01264	Syap.g_02340
OG0000051	Prak.g_00667	Syap.g_01574
OG0000053	Prak.g_01412, Prak.g_01590	Syap.g_02006
OG0000054	Prak.g_00568	Syap.g_00678, Syap.g_02652, Syap.g_00774
OG0000057	Prak.g_00829	Syap.g_01569
OG0000058	Prak.g_01351	Syap.g_02074
OG0000059	Prak.g_01732	Syap.g_01918
OG0000061	Prak.g_01172	Syap.g_00228
OG0000062	Prak.g_01476	Syap.g_01220
OG0000063	Prak.g_01530	Syap.g_01796
OG0000066	Prak.g_00498, Prak.g_01557	Syap.g_01972
OG0000067	Prak.g_00845	Syap.g_00194
OG0000068	Prak.g_01329	Syap.g_00108, Syap.g_00144
OG0000069	Prak.g_00416	Syap.g_01936, Syap.g_01543, Syap.g_01545
OG0000070	Prak.g_00412	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000071	Prak.g_01277	Syap.g_01483
OG0000072	Prak.g_00183	Syap.g_00555
OG0000073	Prak.g_00461	Syap.g_00273
OG0000075	Prak.g_01816	Syap.g_01064, Syap.g_00664
OG0000076	Prak.g_01842	Syap.g_01111
OG0000077	Prak.g_00083	Syap.g_00416
OG0000078	Prak.g_00256	Syap.g_01149
OG0000079	Prak.g_00269	Syap.g_01589
OG0000080	Prak.g_01363, Prak.g_01365	Syap.g_01707, Syap.g_00630, Syap.g_01035
OG0000085	Prak.g_01516, Prak.g_01637	Syap.g_00611
OG0000087	Prak.g_00147	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Prak.g_00178	Syap.g_01202
OG0000089	Prak.g_00379	Syap.g_00115, Syap.g_02042
OG0000090	Prak.g_00492	Syap.g_01451
OG0000091	Prak.g_01100	Syap.g_01861
OG0000094	Prak.g_01022	Syap.g_02781
OG0000095	Prak.g_00920	Syap.g_01556
OG0000098	Prak.g_01305	Syap.g_01975
OG0000099	Prak.g_01352	Syap.g_01385
OG0000101	Prak.g_01780	Syap.g_00472
OG0000102	Prak.g_01847	Syap.g_01116
OG0000103	Prak.g_01932	Syap.g_02607, Syap.g_02608
OG0000104	Prak.g_01941	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318
OG0000105	Prak.g_00292	Syap.g_01369, Syap.g_01368
OG0000107	Prak.g_01709	Syap.g_02496
OG0000108	Prak.g_00441	Syap.g_02256, Syap.g_00733, Syap.g_02255
OG0000109	Prak.g_00455	Syap.g_00279, Syap.g_02237
OG0000110	Prak.g_00535	Syap.g_01313
OG0000111	Prak.g_00830	Syap.g_01566, Syap.g_01568
OG0000112	Prak.g_00608	Syap.g_02023
OG0000113	Prak.g_00868	Syap.g_02714
OG0000114	Prak.g_00770	Syap.g_01255
OG0000115	Prak.g_01241	Syap.g_02004
OG0000116	Prak.g_01183	Syap.g_00241
OG0000117	Prak.g_01145	Syap.g_01889
OG0000118	Prak.g_01290	Syap.g_02286
OG0000120	Prak.g_01349	Syap.g_02075
OG0000121	Prak.g_01393	Syap.g_02471
OG0000123	Prak.g_01787	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000124	Prak.g_01859	Syap.g_02456, Syap.g_02457, Syap.g_01130
OG0000125	Prak.g_01895	Syap.g_01046, Syap.g_01047
OG0000126	Prak.g_01940	Syap.g_02317, Syap.g_02316, Syap.g_02576
OG0000128	Prak.g_00011	Syap.g_00069
OG0000129	Prak.g_00045	Syap.g_00130, Syap.g_00129
OG0000130	Prak.g_00074	Syap.g_01688, Syap.g_01689
OG0000131	Prak.g_00156	Syap.g_02189
OG0000132	Prak.g_00176	Syap.g_01205
OG0000133	Prak.g_00339	Syap.g_02017
OG0000134	Prak.g_00381	Syap.g_02047
OG0000135	Prak.g_01259	Syap.g_02090
OG0000136	Prak.g_00403	Syap.g_00089
OG0000137	Prak.g_00436	Syap.g_02756
OG0000138	Prak.g_00456	Syap.g_00278
OG0000139	Prak.g_00496	Syap.g_00410
OG0000140	Prak.g_00497	Syap.g_01976
OG0000141	Prak.g_00569	Syap.g_01541, Syap.g_01542, Syap.g_01544
OG0000142	Prak.g_01108	Syap.g_00895, Syap.g_00894
OG0000143	Prak.g_01104	Syap.g_00900, Syap.g_00899, Syap.g_00901
OG0000144	Prak.g_01090	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772
OG0000145	Prak.g_01261	Syap.g_01860, Syap.g_01859
OG0000146	Prak.g_00607	Syap.g_02024
OG0000147	Prak.g_00606	Syap.g_02025
OG0000148	Prak.g_00862	Syap.g_02720
OG0000149	Prak.g_00894	Syap.g_00824
OG0000150	Prak.g_00904	Syap.g_01540
OG0000151	Prak.g_00780	Syap.g_00142
OG0000152	Prak.g_00973	Syap.g_02012
OG0000153	Prak.g_00992	Syap.g_02682
OG0000154	Prak.g_01012	Syap.g_02761, Syap.g_02760, Syap.g_01876
OG0000155	Prak.g_01151	Syap.g_02777, Syap.g_01878, Syap.g_01879
OG0000156	Prak.g_01266	Syap.g_00248, Syap.g_00284, Syap.g_00283
OG0000157	Prak.g_01267	Syap.g_00249, Syap.g_00286
OG0000158	Prak.g_01824	Syap.g_01075
OG0000159	Prak.g_00065	Syap.g_00852
OG0000160	Prak.g_01392	Syap.g_02470, Syap.g_02469
OG0000161	Prak.g_01398	Syap.g_02476
OG0000162	Prak.g_01404	Syap.g_02531
OG0000164	Prak.g_01669	Syap.g_01391, Syap.g_01392
OG0000165	Prak.g_01676	Syap.g_01381, Syap.g_01382
OG0000166	Prak.g_01743	Syap.g_00512, Syap.g_01238
OG0000167	Prak.g_01814	Syap.g_02080
OG0000168	Prak.g_01825	Syap.g_01076
OG0000169	Prak.g_01835	Syap.g_01049, Syap.g_01093
OG0000170	Prak.g_01838	Syap.g_01467, Syap.g_01106, Syap.g_01468
