Orthogroup	Prak	Syar
OG0000001	Prak.g_01302	Syar.g_00069, Syar.g_00070, Syar.g_02229
OG0000004	Prak.g_00826	Syar.g_02051
OG0000004	Prak.g_00248	Syar.g_02225, Syar.g_00842
OG0000005	Prak.g_01474	Syar.g_02909
OG0000006	Prak.g_00258	Syar.g_02439, Syar.g_00151, Syar.g_02056, Syar.g_03013
OG0000007	Prak.g_00458	Syar.g_01491
OG0000007	Prak.g_01645	Syar.g_02929
OG0000008	Prak.g_01544	Syar.g_02097
OG0000008	Prak.g_01545, Prak.g_01546	Syar.g_02098
OG0000010	Prak.g_00739, Prak.g_01034	Syar.g_01272
OG0000012	Prak.g_01506	Syar.g_00690, Syar.g_02860
OG0000013	Prak.g_00343	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167
OG0000014	Prak.g_00325	Syar.g_00825
OG0000015	Prak.g_01584, Prak.g_01630	Syar.g_00451, Syar.g_00180
OG0000016	Prak.g_00013, Prak.g_01230	Syar.g_02859
OG0000017	Prak.g_00559	Syar.g_03181
OG0000017	Prak.g_00566	Syar.g_02180
OG0000018	Prak.g_01194	Syar.g_01409
OG0000019	Prak.g_00266, Prak.g_01196	Syar.g_00163
OG0000025	Prak.g_00881	Syar.g_01811
OG0000026	Prak.g_00032	Syar.g_00505
OG0000027	Prak.g_01521, Prak.g_01564	Syar.g_02055, Syar.g_02835
OG0000028	Prak.g_01543	Syar.g_00718
OG0000031	Prak.g_01350	Syar.g_00714
OG0000032	Prak.g_01430	Syar.g_01390
OG0000033	Prak.g_01357	Syar.g_00105
OG0000034	Prak.g_01288	Syar.g_00074, Syar.g_02790
OG0000035	Prak.g_01391	Syar.g_02809
OG0000037	Prak.g_00115	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856
OG0000038	Prak.g_01893	Syar.g_00334, Syar.g_00336
OG0000039	Prak.g_00814	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044
OG0000041	Prak.g_01692	Syar.g_01370, Syar.g_02014, Syar.g_02993
OG0000042	Prak.g_01850	Syar.g_00595, Syar.g_01970
OG0000045	Prak.g_01216	Syar.g_02592
OG0000046	Prak.g_00344	Syar.g_03233, Syar.g_01102, Syar.g_01105
OG0000048	Prak.g_01264	Syar.g_00213
OG0000051	Prak.g_00667	Syar.g_01597
OG0000052	Prak.g_00058	Syar.g_00281
OG0000053	Prak.g_01412, Prak.g_01590	Syar.g_01413
OG0000054	Prak.g_00568	Syar.g_02265
OG0000055	Prak.g_01619	Syar.g_01386
OG0000057	Prak.g_00829	Syar.g_01941, Syar.g_00006
OG0000058	Prak.g_01351	Syar.g_00648
OG0000059	Prak.g_01732	Syar.g_01024
OG0000061	Prak.g_01172	Syar.g_01539
OG0000062	Prak.g_01476	Syar.g_02911
OG0000063	Prak.g_01530	Syar.g_00509
OG0000064	Prak.g_00072	Syar.g_03117, Syar.g_00860
OG0000065	Prak.g_00113	Syar.g_03119
OG0000066	Prak.g_00498, Prak.g_01557	Syar.g_03187, Syar.g_02228
OG0000067	Prak.g_00845	Syar.g_02639
OG0000068	Prak.g_01329	Syar.g_02329, Syar.g_01461
OG0000069	Prak.g_00416	Syar.g_01716
OG0000070	Prak.g_00412	Syar.g_02223
OG0000071	Prak.g_01277	Syar.g_02777
OG0000072	Prak.g_00183	Syar.g_00107, Syar.g_01140
OG0000073	Prak.g_00461	Syar.g_01493
OG0000075	Prak.g_01816	Syar.g_03065, Syar.g_00659
OG0000076	Prak.g_01842	Syar.g_00608
OG0000077	Prak.g_00083	Syar.g_03051
OG0000078	Prak.g_00256	Syar.g_03265, Syar.g_03018
OG0000079	Prak.g_00269	Syar.g_00166
OG0000080	Prak.g_01363, Prak.g_01365	Syar.g_00585
OG0000081	Prak.g_00490	Syar.g_01898
OG0000082	Prak.g_00546, Prak.g_01634	Syar.g_02202
OG0000085	Prak.g_01516, Prak.g_01637	Syar.g_02919
OG0000086	Prak.g_00092	Syar.g_03085
OG0000087	Prak.g_00147	Syar.g_03192, Syar.g_00068
OG0000088	Prak.g_00178	Syar.g_00101
OG0000089	Prak.g_00379	Syar.g_01162
OG0000090	Prak.g_00492	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356
OG0000091	Prak.g_01100	Syar.g_01891, Syar.g_02426
OG0000093	Prak.g_01071	Syar.g_02623
OG0000094	Prak.g_01022	Syar.g_01789
OG0000095	Prak.g_00920	Syar.g_01932
OG0000097	Prak.g_01126	Syar.g_01706, Syar.g_00364
OG0000098	Prak.g_01305	Syar.g_02343
OG0000099	Prak.g_01352	Syar.g_00715
OG0000100	Prak.g_01470	Syar.g_02477
OG0000101	Prak.g_01780	Syar.g_01073, Syar.g_03154
OG0000102	Prak.g_01847	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138
OG0000103	Prak.g_01932	Syar.g_00014, Syar.g_00452
OG0000104	Prak.g_01941	Syar.g_00466
OG0000105	Prak.g_00292	Syar.g_00218
OG0000106	Prak.g_00687	Syar.g_01748
OG0000107	Prak.g_01709	Syar.g_03290, Syar.g_00149
OG0000108	Prak.g_00441	Syar.g_01469
OG0000109	Prak.g_00455	Syar.g_03310, Syar.g_01485
OG0000110	Prak.g_00535	Syar.g_02295
OG0000111	Prak.g_00830	Syar.g_01940, Syar.g_00005
OG0000112	Prak.g_00608	Syar.g_03195, Syar.g_02548
OG0000113	Prak.g_00868	Syar.g_02664
OG0000114	Prak.g_00770	Syar.g_01616
OG0000115	Prak.g_01241	Syar.g_02854, Syar.g_01415
OG0000116	Prak.g_01183	Syar.g_01525, Syar.g_02255
OG0000117	Prak.g_01145	Syar.g_01969
OG0000118	Prak.g_01290	Syar.g_02793
OG0000120	Prak.g_01349	Syar.g_00713
OG0000121	Prak.g_01393	Syar.g_02806
OG0000123	Prak.g_01787	Syar.g_01079
OG0000124	Prak.g_01859	Syar.g_00586
OG0000125	Prak.g_01895	Syar.g_00338
OG0000126	Prak.g_01940	Syar.g_00887, Syar.g_00888
OG0000128	Prak.g_00011	Syar.g_00482
OG0000129	Prak.g_00045	Syar.g_00324
OG0000130	Prak.g_00074	Syar.g_03040
OG0000131	Prak.g_00156	Syar.g_02216, Syar.g_00078
OG0000132	Prak.g_00176	Syar.g_00099
OG0000133	Prak.g_00339	Syar.g_02543
OG0000134	Prak.g_00381	Syar.g_02009, Syar.g_01165
OG0000135	Prak.g_01259	Syar.g_00698
OG0000136	Prak.g_00403	Syar.g_02874
OG0000137	Prak.g_00436	Syar.g_01273
OG0000138	Prak.g_00456	Syar.g_01486
