Orthogroup	Prai	Syak
OG0000001	Prai.g_01235, Prai.g_01356	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579
OG0000004	Prai.g_00724	Syak.g_01219, Syak.g_00720
OG0000004	Prai.g_00243	Syak.g_00003, Syak.g_02297
OG0000005	Prai.g_01651	Syak.g_02401
OG0000005	Prai.g_01538	Syak.g_00885, Syak.g_02436
OG0000006	Prai.g_00252, Prai.g_00254	Syak.g_00057, Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317
OG0000007	Prai.g_00527	Syak.g_02595
OG0000007	Prai.g_01638	Syak.g_02416
OG0000008	Prai.g_00701	Syak.g_00267, Syak.g_00692
OG0000009	Prai.g_00105	Syak.g_02194
OG0000010	Prai.g_01292, Prai.g_01067	Syak.g_01119
OG0000012	Prai.g_00652	Syak.g_00010
OG0000013	Prai.g_00340	Syak.g_01270, Syak.g_01275
OG0000014	Prai.g_00319	Syak.g_01505
OG0000015	Prai.g_01243	Syak.g_01813, Syak.g_00107, Syak.g_00358
OG0000016	Prai.g_00013	Syak.g_01780
OG0000017	Prai.g_00626	Syak.g_02730, Syak.g_02738
OG0000018	Prai.g_01153	Syak.g_01072
OG0000019	Prai.g_00262, Prai.g_00867	Syak.g_01413
OG0000021	Prai.g_00378	Syak.g_00566
OG0000022	Prai.g_01139	Syak.g_00088
OG0000023	Prai.g_00373	Syak.g_00316, Syak.g_00223
OG0000025	Prai.g_00344, Prai.g_00812	Syak.g_00610
OG0000026	Prai.g_00031, Prai.g_01074	Syak.g_01757
OG0000027	Prai.g_00904	Syak.g_00127
OG0000028	Prai.g_01297, Prai.g_00333	Syak.g_01522
OG0000029	Prai.g_00890	Syak.g_00169, Syak.g_00178
OG0000030	Prai.g_01848	Syak.g_01684, Syak.g_01685
OG0000033	Prai.g_00180	Syak.g_02101
OG0000034	Prai.g_01345	Syak.g_00950, Syak.g_02133
OG0000035	Prai.g_01463	Syak.g_01041, Syak.g_01040
OG0000037	Prai.g_00109	Syak.g_02188
OG0000038	Prai.g_01890	Syak.g_01938, Syak.g_01936
OG0000039	Prai.g_00715	Syak.g_00772, Syak.g_01918
OG0000041	Prai.g_01684	Syak.g_02354, Syak.g_00752
OG0000042	Prai.g_01845	Syak.g_00843, Syak.g_01681
OG0000043	Prai.g_00910, Prai.g_01064	Syak.g_00335
OG0000045	Prai.g_00384	Syak.g_00228
OG0000045	Prai.g_01274	Syak.g_00317
OG0000047	Prai.g_00343, Prai.g_00424	Syak.g_01147
OG0000048	Prai.g_00387	Syak.g_01446
OG0000050	Prai.g_01233	Syak.g_00106
OG0000053	Prai.g_01483	Syak.g_01068
OG0000054	Prai.g_00634	Syak.g_02744, Syak.g_02321
OG0000055	Prai.g_00866	Syak.g_00766
OG0000057	Prai.g_00727	Syak.g_00724, Syak.g_01676
OG0000059	Prai.g_01725	Syak.g_01355
OG0000061	Prai.g_01171	Syak.g_00898
OG0000062	Prai.g_01540	Syak.g_02434
OG0000063	Prai.g_00033, Prai.g_01261	Syak.g_01752
OG0000065	Prai.g_00107	Syak.g_02192, Syak.g_00282
OG0000066	Prai.g_00567	Syak.g_02653
OG0000067	Prai.g_00848	Syak.g_00434
OG0000068	Prai.g_01370	Syak.g_02565
OG0000070	Prai.g_00481	Syak.g_01174
OG0000071	Prai.g_01335	Syak.g_02322, Syak.g_00936
OG0000072	Prai.g_00182	Syak.g_02099
OG0000073	Prai.g_00529	Syak.g_02597
OG0000075	Prai.g_01814	Syak.g_01564
OG0000076	Prai.g_01838	Syak.g_01650
OG0000077	Prai.g_00078	Syak.g_02243
OG0000078	Prai.g_00250	Syak.g_02310
OG0000079	Prai.g_00265	Syak.g_01417
OG0000081	Prai.g_00559	Syak.g_00115
OG0000082	Prai.g_00613	Syak.g_02711
OG0000084	Prai.g_01459	Syak.g_01036
OG0000085	Prai.g_01631	Syak.g_02427
OG0000086	Prai.g_00088	Syak.g_02219
OG0000087	Prai.g_00139	Syak.g_02141
OG0000088	Prai.g_00177	Syak.g_02106
OG0000089	Prai.g_00368	Syak.g_01215
OG0000090	Prai.g_00561	Syak.g_02640
OG0000091	Prai.g_00671	Syak.g_00043
OG0000093	Prai.g_01021	Syak.g_00416
OG0000094	Prai.g_00937	Syak.g_00656
OG0000095	Prai.g_00918	Syak.g_00736
OG0000097	Prai.g_01214	Syak.g_00816
OG0000098	Prai.g_01353	Syak.g_00345, Syak.g_02651
OG0000099	Prai.g_01393	Syak.g_01527
OG0000100	Prai.g_01536	Syak.g_00622
OG0000101	Prai.g_01782	Syak.g_01305
OG0000102	Prai.g_01843	Syak.g_01661
OG0000103	Prai.g_01923	Syak.g_01812
OG0000104	Prai.g_01932	Syak.g_01799
OG0000105	Prai.g_00286, Prai.g_00287	Syak.g_01451
OG0000106	Prai.g_00383	Syak.g_00096
OG0000107	Prai.g_00397	Syak.g_01392
OG0000108	Prai.g_00510	Syak.g_02574
OG0000109	Prai.g_00524	Syak.g_01061, Syak.g_02590
OG0000110	Prai.g_00603	Syak.g_02698
OG0000111	Prai.g_00728	Syak.g_00725
OG0000112	Prai.g_00882	Syak.g_00512
OG0000113	Prai.g_00825	Syak.g_00461
OG0000114	Prai.g_01046	Syak.g_00373, Syak.g_00065
OG0000115	Prai.g_01119	Syak.g_01066
OG0000116	Prai.g_01162	Syak.g_00911
OG0000117	Prai.g_01273	Syak.g_00846
OG0000118	Prai.g_01347	Syak.g_00954
OG0000119	Prai.g_01366	Syak.g_00917
OG0000120	Prai.g_01443	Syak.g_01526
OG0000121	Prai.g_01465	Syak.g_01044
OG0000123	Prai.g_01789	Syak.g_01299
OG0000124	Prai.g_01854	Syak.g_01692
OG0000125	Prai.g_01892	Syak.g_01934
OG0000126	Prai.g_01931	Syak.g_01801
OG0000128	Prai.g_00011	Syak.g_01782
OG0000129	Prai.g_00051	Syak.g_01947
