Orthogroup	Prai	Syab
OG0000000	Prai.g_00905, Prai.g_01772	Syab.g_01226
OG0000001	Prai.g_01235, Prai.g_01356	Syab.g_01549, Syab.g_02553, Syab.g_02555, Syab.g_01509, Syab.g_01510, Syab.g_00673
OG0000002	Prai.g_01363, Prai.g_00707	Syab.g_02285
OG0000004	Prai.g_00724	Syab.g_00549, Syab.g_01193
OG0000004	Prai.g_00243	Syab.g_01911, Syab.g_02377
OG0000005	Prai.g_01651	Syab.g_02289
OG0000005	Prai.g_01538	Syab.g_02806, Syab.g_02232
OG0000006	Prai.g_00252, Prai.g_00254	Syab.g_01849, Syab.g_00365, Syab.g_01847, Syab.g_02361
OG0000007	Prai.g_00527	Syab.g_02117
OG0000007	Prai.g_01638	Syab.g_02256
OG0000008	Prai.g_00701	Syab.g_01755, Syab.g_01168
OG0000009	Prai.g_01578	Syab.g_00995
OG0000009	Prai.g_00105	Syab.g_02498
OG0000010	Prai.g_01292, Prai.g_01067	Syab.g_00696
OG0000012	Prai.g_00652	Syab.g_01774, Syab.g_00953
OG0000013	Prai.g_00340	Syab.g_00487, Syab.g_00497, Syab.g_00482
OG0000014	Prai.g_00319	Syab.g_00249
OG0000015	Prai.g_01243	Syab.g_02889
OG0000016	Prai.g_00013	Syab.g_00014
OG0000017	Prai.g_00626	Syab.g_01953, Syab.g_01945
OG0000018	Prai.g_01153	Syab.g_00742
OG0000019	Prai.g_00262, Prai.g_00867	Syab.g_00344
OG0000020	Prai.g_01125, Prai.g_01248, Prai.g_00400	Syab.g_02230
OG0000022	Prai.g_01139	Syab.g_01825
OG0000023	Prai.g_00373	Syab.g_00708, Syab.g_02058, Syab.g_01294
OG0000024	Prai.g_00899, Prai.g_00704	Syab.g_01834
OG0000025	Prai.g_00344, Prai.g_00812	Syab.g_01705
OG0000026	Prai.g_01074	Syab.g_00036
OG0000027	Prai.g_00904	Syab.g_01782
OG0000028	Prai.g_01297, Prai.g_00333	Syab.g_00234
