Orthogroup	Prai	Prbm
OG0000000	Prai.g_00905, Prai.g_01772	Prbm.g_01408, Prbm.g_01115, Prbm.g_00437, Prbm.g_01228, Prbm.g_01312, Prbm.g_01381
OG0000000	Prai.g_01612	Prbm.g_00435, Prbm.g_01116, Prbm.g_01406, Prbm.g_01808
OG0000000	Prai.g_01592	Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_01407, Prbm.g_00436
OG0000001	Prai.g_01235, Prai.g_01356	Prbm.g_01633
OG0000001	Prai.g_01236	Prbm.g_01426
OG0000002	Prai.g_01363	Prbm.g_00874
OG0000002	Prai.g_00707	Prbm.g_01578, Prbm.g_01577, Prbm.g_01582, Prbm.g_01576, Prbm.g_01581, Prbm.g_00712
OG0000004	Prai.g_00724	Prbm.g_01483
OG0000004	Prai.g_00243	Prbm.g_00291
OG0000005	Prai.g_01538	Prbm.g_01790
OG0000006	Prai.g_00252, Prai.g_00254	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588
OG0000007	Prai.g_00527	Prbm.g_00522
OG0000007	Prai.g_01638	Prbm.g_01841
OG0000008	Prai.g_00701	Prbm.g_01907, Prbm.g_01908
OG0000009	Prai.g_01578	Prbm.g_01235, Prbm.g_01400
OG0000010	Prai.g_00504	Prbm.g_00499
OG0000010	Prai.g_01292, Prai.g_01067	Prbm.g_01066
OG0000012	Prai.g_00652	Prbm.g_01106
OG0000013	Prai.g_00340	Prbm.g_00382
OG0000014	Prai.g_00319	Prbm.g_00362
OG0000015	Prai.g_01243	Prbm.g_01427, Prbm.g_01149
OG0000016	Prai.g_00013	Prbm.g_00013
OG0000016	Prai.g_01573	Prbm.g_01944
OG0000017	Prai.g_00626	Prbm.g_00628, Prbm.g_00635
OG0000018	Prai.g_00820	Prbm.g_00843
OG0000018	Prai.g_01153	Prbm.g_01571
OG0000019	Prai.g_00867	Prbm.g_00792
OG0000020	Prai.g_00400	Prbm.g_01156
OG0000021	Prai.g_00378	Prbm.g_01939
OG0000022	Prai.g_01139	Prbm.g_01324
OG0000022	Prai.g_00885	Prbm.g_01204
OG0000023	Prai.g_00373	Prbm.g_01444, Prbm.g_01297, Prbm.g_01284
OG0000024	Prai.g_00899	Prbm.g_01151
OG0000024	Prai.g_00704	Prbm.g_00709
OG0000025	Prai.g_00344	Prbm.g_00849
OG0000026	Prai.g_00031, Prai.g_01074	Prbm.g_00031
OG0000028	Prai.g_01297	Prbm.g_01656
OG0000029	Prai.g_00890	Prbm.g_01823
OG0000030	Prai.g_01848	Prbm.g_02105
OG0000031	Prai.g_01444	Prbm.g_01627, Prbm.g_00392, Prbm.g_00391, Prbm.g_00393
OG0000033	Prai.g_00180	Prbm.g_00228
OG0000034	Prai.g_01345	Prbm.g_01620
OG0000035	Prai.g_01463	Prbm.g_01710
OG0000037	Prai.g_00109	Prbm.g_00166
OG0000038	Prai.g_01890	Prbm.g_02174
OG0000039	Prai.g_00715	Prbm.g_00723
OG0000041	Prai.g_01684	Prbm.g_01886
OG0000042	Prai.g_01845	Prbm.g_02102
OG0000043	Prai.g_00910	Prbm.g_01173
OG0000047	Prai.g_00343	Prbm.g_00390
OG0000047	Prai.g_00424	Prbm.g_00428
OG0000048	Prai.g_00387	Prbm.g_00329
OG0000050	Prai.g_01233	Prbm.g_01485
OG0000050	Prai.g_01093	Prbm.g_00118
OG0000051	Prai.g_01263	Prbm.g_01276
OG0000053	Prai.g_01483	Prbm.g_01729
OG0000054	Prai.g_00634	Prbm.g_00637
OG0000055	Prai.g_00866	Prbm.g_00778, Prbm.g_01921
OG0000057	Prai.g_00727	Prbm.g_00735
OG0000058	Prai.g_01859	Prbm.g_00881
OG0000059	Prai.g_01725	Prbm.g_01973
OG0000061	Prai.g_01171	Prbm.g_01549
OG0000062	Prai.g_01540	Prbm.g_01792
OG0000063	Prai.g_00033, Prai.g_01261	Prbm.g_01947
OG0000065	Prai.g_00107	Prbm.g_00164
OG0000066	Prai.g_00567	Prbm.g_00572
OG0000067	Prai.g_00848	Prbm.g_00814
OG0000068	Prai.g_01370	Prbm.g_01660
OG0000069	Prai.g_01579	Prbm.g_01414, Prbm.g_01387, Prbm.g_01753, Prbm.g_00772
OG0000070	Prai.g_00481	Prbm.g_00460
OG0000071	Prai.g_01335	Prbm.g_00468, Prbm.g_01611
OG0000072	Prai.g_00182	Prbm.g_00230
OG0000073	Prai.g_00529	Prbm.g_00533
OG0000074	Prai.g_00711	Prbm.g_00717, Prbm.g_00912, Prbm.g_01099
OG0000075	Prai.g_01814	Prbm.g_02069
OG0000076	Prai.g_01838	Prbm.g_02094
OG0000077	Prai.g_00078	Prbm.g_00135
OG0000078	Prai.g_00250	Prbm.g_00300
OG0000079	Prai.g_00265	Prbm.g_00311
OG0000081	Prai.g_00559	Prbm.g_00564
OG0000082	Prai.g_00613	Prbm.g_01900
OG0000083	Prai.g_01313, Prai.g_00441	Prbm.g_01436, Prbm.g_01988, Prbm.g_00081
OG0000084	Prai.g_01459	Prbm.g_01706
OG0000085	Prai.g_01631	Prbm.g_01834
OG0000086	Prai.g_00088	Prbm.g_00145
OG0000087	Prai.g_00139	Prbm.g_00198
OG0000088	Prai.g_00177	Prbm.g_00225
OG0000089	Prai.g_00368	Prbm.g_00423
OG0000090	Prai.g_00561	Prbm.g_00566
OG0000091	Prai.g_00671	Prbm.g_00673
OG0000092	Prai.g_01041	Prbm.g_00934
OG0000093	Prai.g_01021	Prbm.g_00799
OG0000094	Prai.g_00937	Prbm.g_00888
OG0000095	Prai.g_00918	Prbm.g_01064
OG0000096	Prai.g_01588	Prbm.g_01359
OG0000097	Prai.g_01214	Prbm.g_01502
OG0000098	Prai.g_01353	Prbm.g_01630
OG0000099	Prai.g_01393	Prbm.g_00394
OG0000100	Prai.g_01536	Prbm.g_01787
OG0000101	Prai.g_01782	Prbm.g_02033
OG0000102	Prai.g_01843	Prbm.g_02099
OG0000103	Prai.g_01923	Prbm.g_02218
OG0000104	Prai.g_01932	Prbm.g_02229
OG0000105	Prai.g_00286, Prai.g_00287	Prbm.g_00331
OG0000106	Prai.g_00383	Prbm.g_01172, Prbm.g_01237
OG0000107	Prai.g_00397	Prbm.g_01949
OG0000108	Prai.g_00510	Prbm.g_00506
OG0000109	Prai.g_00524	Prbm.g_00519
OG0000110	Prai.g_00603	Prbm.g_00607
