Orthogroup	Prai	Syan
OG0000001	Prai.g_01235, Prai.g_01356	Syan.g_02267, Syan.g_02266, Syan.g_01149, Syan.g_02528
OG0000004	Prai.g_00724	Syan.g_00183
OG0000004	Prai.g_00243	Syan.g_00989
OG0000005	Prai.g_01651	Syan.g_01423
OG0000005	Prai.g_01538	Syan.g_01378
OG0000006	Prai.g_00252, Prai.g_00254	Syan.g_00791, Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441
OG0000007	Prai.g_00527	Syan.g_02743
OG0000007	Prai.g_01638	Syan.g_01400
OG0000008	Prai.g_00701	Syan.g_00640, Syan.g_02532, Syan.g_00641, Syan.g_02531
OG0000009	Prai.g_01578, Prai.g_00105	Syan.g_02972
OG0000010	Prai.g_01292, Prai.g_01067	Syan.g_02847
OG0000012	Prai.g_00652	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485, Syan.g_00008, Syan.g_00942
OG0000013	Prai.g_00340	Syan.g_02156, Syan.g_02159, Syan.g_00101
OG0000014	Prai.g_00319	Syan.g_01987
OG0000015	Prai.g_01243	Syan.g_01691, Syan.g_00248
OG0000016	Prai.g_00013	Syan.g_01766
OG0000017	Prai.g_00626	Syan.g_01006, Syan.g_01013
OG0000018	Prai.g_01153	Syan.g_02816
OG0000019	Prai.g_00262, Prai.g_00867	Syan.g_02088
OG0000021	Prai.g_00378	Syan.g_01001
OG0000022	Prai.g_01139	Syan.g_00089
OG0000023	Prai.g_00373	Syan.g_00404
OG0000025	Prai.g_00344, Prai.g_00812	Syan.g_00374
OG0000026	Prai.g_00031, Prai.g_01074	Syan.g_01743
OG0000027	Prai.g_00904	Syan.g_02678
OG0000028	Prai.g_01297, Prai.g_00333	Syan.g_01971
OG0000030	Prai.g_01848	Syan.g_01884, Syan.g_01883
OG0000034	Prai.g_01345	Syan.g_01227, Syan.g_03003
OG0000035	Prai.g_01463	Syan.g_01279, Syan.g_01276
OG0000037	Prai.g_00109	Syan.g_00136, Syan.g_02978, Syan.g_00917
OG0000038	Prai.g_01890	Syan.g_00064, Syan.g_01569, Syan.g_01571
OG0000039	Prai.g_00715	Syan.g_02771, Syan.g_00535
OG0000041	Prai.g_01684	Syan.g_00302, Syan.g_01465
OG0000042	Prai.g_01845	Syan.g_00991, Syan.g_02643, Syan.g_01888
OG0000045	Prai.g_00384	Syan.g_00151
OG0000045	Prai.g_01274	Syan.g_00086
OG0000048	Prai.g_00387	Syan.g_02036
OG0000053	Prai.g_01483	Syan.g_02812
OG0000054	Prai.g_00634	Syan.g_02503, Syan.g_00231, Syan.g_00506
OG0000055	Prai.g_00866	Syan.g_00312
OG0000057	Prai.g_00727	Syan.g_00643, Syan.g_02514, Syan.g_00186
OG0000058	Prai.g_01859	Syan.g_01128, Syan.g_01124
OG0000059	Prai.g_01725	Syan.g_02255
OG0000061	Prai.g_01171	Syan.g_02696
OG0000062	Prai.g_01540	Syan.g_01380
OG0000063	Prai.g_00033, Prai.g_01261	Syan.g_01739
OG0000065	Prai.g_00107	Syan.g_02974
OG0000066	Prai.g_00567	Syan.g_01156
OG0000067	Prai.g_00848	Syan.g_00690
OG0000068	Prai.g_01370	Syan.g_00845, Syan.g_00257, Syan.g_02773
OG0000069	Prai.g_01579	Syan.g_00459, Syan.g_00278
OG0000070	Prai.g_00481	Syan.g_00289
OG0000071	Prai.g_01335	Syan.g_01213
OG0000072	Prai.g_00182	Syan.g_03038, Syan.g_02999
OG0000073	Prai.g_00529	Syan.g_02741
OG0000075	Prai.g_01814	Syan.g_00981, Syan.g_01937
OG0000076	Prai.g_01838	Syan.g_01896
OG0000077	Prai.g_00078	Syan.g_02919, Syan.g_02579
OG0000078	Prai.g_00250	Syan.g_01509, Syan.g_01510, Syan.g_02437
OG0000079	Prai.g_00265	Syan.g_02079, Syan.g_02067, Syan.g_02085
OG0000080	Prai.g_01411	Syan.g_01110
OG0000082	Prai.g_00613	Syan.g_00952
OG0000084	Prai.g_01459	Syan.g_01283
OG0000085	Prai.g_01631	Syan.g_01387
