Orthogroup	Prai	Syam
OG0000001	Prai.g_01235, Prai.g_01356	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929
OG0000002	Prai.g_01363, Prai.g_00707	Syam.g_00931
OG0000004	Prai.g_00724	Syam.g_00787
OG0000004	Prai.g_00243	Syam.g_01499, Syam.g_00501
OG0000005	Prai.g_01651	Syam.g_02004
OG0000005	Prai.g_01538	Syam.g_01970
OG0000006	Prai.g_00252, Prai.g_00254	Syam.g_01446, Syam.g_00286, Syam.g_00518
OG0000007	Prai.g_00527	Syam.g_00602
OG0000007	Prai.g_01638	Syam.g_01990
OG0000008	Prai.g_00701	Syam.g_00810, Syam.g_00811
OG0000009	Prai.g_00105	Syam.g_02119
OG0000010	Prai.g_01292, Prai.g_01067	Syam.g_01669
OG0000012	Prai.g_00652	Syam.g_01492, Syam.g_00794, Syam.g_00994
OG0000013	Prai.g_00340	Syam.g_00409, Syam.g_00421, Syam.g_00404
OG0000014	Prai.g_00319	Syam.g_00191
OG0000015	Prai.g_01243	Syam.g_01218, Syam.g_01362
OG0000016	Prai.g_00013	Syam.g_00014
OG0000016	Prai.g_01573	Syam.g_01011
OG0000017	Prai.g_00626	Syam.g_01715, Syam.g_01708
OG0000018	Prai.g_01153	Syam.g_01640
OG0000019	Prai.g_00262, Prai.g_00867	Syam.g_00274
OG0000021	Prai.g_00378	Syam.g_00523
OG0000022	Prai.g_01139	Syam.g_01418
OG0000023	Prai.g_00373	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943
OG0000024	Prai.g_00899, Prai.g_00704	Syam.g_00815
OG0000025	Prai.g_00344, Prai.g_00812	Syam.g_00740
OG0000026	Prai.g_00031, Prai.g_01074	Syam.g_00035
OG0000027	Prai.g_00904	Syam.g_01442, Syam.g_00989
OG0000028	Prai.g_01297, Prai.g_00333	Syam.g_00176
OG0000029	Prai.g_00890	Syam.g_01390, Syam.g_01055
OG0000030	Prai.g_01848	Syam.g_00104, Syam.g_00103
OG0000031	Prai.g_01444	Syam.g_00086
OG0000034	Prai.g_01345	Syam.g_02185, Syam.g_01843, Syam.g_02187
OG0000035	Prai.g_01463	Syam.g_01612
OG0000037	Prai.g_00109	Syam.g_02125
OG0000038	Prai.g_01890	Syam.g_02317
OG0000039	Prai.g_00715	Syam.g_00749
OG0000041	Prai.g_01684	Syam.g_01899, Syam.g_00765
OG0000042	Prai.g_01845	Syam.g_00107
OG0000045	Prai.g_00384	Syam.g_02028
OG0000047	Prai.g_00343, Prai.g_00424	Syam.g_00434
OG0000048	Prai.g_00387	Syam.g_00243
OG0000052	Prai.g_00154	Syam.g_00161
OG0000053	Prai.g_01483	Syam.g_01636
OG0000054	Prai.g_00634	Syam.g_01515
OG0000055	Prai.g_00866	Syam.g_00754
OG0000057	Prai.g_00727	Syam.g_00784
OG0000059	Prai.g_01725	Syam.g_00320
OG0000061	Prai.g_01171	Syam.g_01795
OG0000062	Prai.g_01540	Syam.g_01972
OG0000063	Prai.g_00033, Prai.g_01261	Syam.g_00039
OG0000065	Prai.g_00107	Syam.g_02121
OG0000066	Prai.g_00567	Syam.g_00552, Syam.g_00662
OG0000067	Prai.g_00848	Syam.g_01290
OG0000068	Prai.g_01370	Syam.g_00575
OG0000069	Prai.g_01579	Syam.g_01521
OG0000070	Prai.g_00481	Syam.g_01847
OG0000071	Prai.g_01335	Syam.g_01830
OG0000072	Prai.g_00182	Syam.g_02219
OG0000073	Prai.g_00529	Syam.g_00604
OG0000074	Prai.g_00711	Syam.g_00533
OG0000075	Prai.g_01814	Syam.g_00148
OG0000076	Prai.g_01838	Syam.g_00115
OG0000077	Prai.g_00078	Syam.g_02074
OG0000078	Prai.g_00250	Syam.g_00514
OG0000079	Prai.g_00265	Syam.g_00270
OG0000081	Prai.g_00559	Syam.g_00520, Syam.g_01918
OG0000082	Prai.g_00613	Syam.g_01730
OG0000084	Prai.g_01459	Syam.g_00441
OG0000085	Prai.g_01631	Syam.g_01979
OG0000086	Prai.g_00088	Syam.g_02092
OG0000087	Prai.g_00139	Syam.g_02175
OG0000088	Prai.g_00177	Syam.g_02213
OG0000089	Prai.g_00368	Syam.g_00489
OG0000090	Prai.g_00561	Syam.g_00651
OG0000091	Prai.g_00671	Syam.g_01460
OG0000093	Prai.g_01021	Syam.g_01305
OG0000094	Prai.g_00937	Syam.g_01198
OG0000095	Prai.g_00918	Syam.g_00774
OG0000097	Prai.g_01214	Syam.g_00874
OG0000098	Prai.g_01353	Syam.g_00944
OG0000099	Prai.g_01393	Syam.g_00173
OG0000100	Prai.g_01536	Syam.g_01259
OG0000101	Prai.g_01782	Syam.g_00371
OG0000102	Prai.g_01843	Syam.g_00110
OG0000103	Prai.g_01923	Syam.g_02428
OG0000104	Prai.g_01932	Syam.g_02442
OG0000105	Prai.g_00286, Prai.g_00287	Syam.g_00238
OG0000106	Prai.g_00383	Syam.g_01039
OG0000107	Prai.g_00397	Syam.g_00288
OG0000108	Prai.g_00510	Syam.g_00583
OG0000109	Prai.g_00524	Syam.g_00598
OG0000110	Prai.g_00603	Syam.g_01743
OG0000111	Prai.g_00728	Syam.g_00783
OG0000112	Prai.g_00882	Syam.g_01115
OG0000113	Prai.g_00825	Syam.g_01264
OG0000114	Prai.g_01046	Syam.g_01349
OG0000115	Prai.g_01119	Syam.g_01634
OG0000116	Prai.g_01162	Syam.g_01807
OG0000117	Prai.g_01273	Syam.g_00904
OG0000118	Prai.g_01347	Syam.g_01698
OG0000120	Prai.g_01443	Syam.g_00172
OG0000121	Prai.g_01465	Syam.g_01615
OG0000123	Prai.g_01789	Syam.g_00379
OG0000124	Prai.g_01854	Syam.g_00096
OG0000125	Prai.g_01892	Syam.g_02319
OG0000126	Prai.g_01931	Syam.g_02440
OG0000128	Prai.g_00011	Syam.g_00012
OG0000129	Prai.g_00051	Syam.g_02307
OG0000130	Prai.g_00069	Syam.g_02062
OG0000131	Prai.g_00156	Syam.g_02191
OG0000132	Prai.g_00175	Syam.g_02211
OG0000133	Prai.g_00335	Syam.g_01120
OG0000134	Prai.g_00369	Syam.g_00492
OG0000135	Prai.g_00393	Syam.g_02347
OG0000136	Prai.g_00472	Syam.g_01857
OG0000137	Prai.g_00505	Syam.g_01668
OG0000138	Prai.g_00525	Syam.g_00599
OG0000139	Prai.g_00565	Syam.g_00657
OG0000140	Prai.g_00566	Syam.g_00659
OG0000141	Prai.g_00635	Syam.g_01514
OG0000142	Prai.g_00664	Syam.g_01468
OG0000143	Prai.g_00668	Syam.g_01464
OG0000144	Prai.g_00681	Syam.g_01032
OG0000145	Prai.g_00883	Syam.g_00605
OG0000146	Prai.g_00881	Syam.g_01114
OG0000147	Prai.g_00880	Syam.g_01113
OG0000148	Prai.g_00831	Syam.g_01270
OG0000149	Prai.g_00800	Syam.g_00725
OG0000150	Prai.g_00792	Syam.g_00660
OG0000151	Prai.g_01036	Syam.g_01338
OG0000152	Prai.g_00989	Syam.g_01124
OG0000153	Prai.g_00970	Syam.g_01160
OG0000154	Prai.g_00943	Syam.g_01187
OG0000155	Prai.g_01191	Syam.g_01763
OG0000156	Prai.g_01323	Syam.g_01814
OG0000157	Prai.g_01324	Syam.g_01815
OG0000158	Prai.g_01392	Syam.g_00139
OG0000160	Prai.g_01464	Syam.g_01614
OG0000161	Prai.g_01470	Syam.g_01620
OG0000162	Prai.g_01476	Syam.g_01627
OG0000163	Prai.g_01509	Syam.g_01927
OG0000164	Prai.g_01662	Syam.g_02023
OG0000165	Prai.g_01669	Syam.g_01879, Syam.g_01878
OG0000166	Prai.g_01740	Syam.g_00330
OG0000167	Prai.g_01812	Syam.g_00151
OG0000168	Prai.g_01822	Syam.g_00138
OG0000169	Prai.g_01832	Syam.g_00127
OG0000170	Prai.g_01834	Syam.g_00120
OG0000171	Prai.g_01853	Syam.g_00097
OG0000172	Prai.g_01863	Syam.g_00075
OG0000173	Prai.g_01878	Syam.g_00057
OG0000174	Prai.g_01905	Syam.g_02349
OG0000175	Prai.g_01915	Syam.g_02417
OG0000176	Prai.g_00004	Syam.g_00004
OG0000177	Prai.g_00005	Syam.g_00005
OG0000178	Prai.g_00006	Syam.g_00006
OG0000179	Prai.g_00016	Syam.g_00021
OG0000180	Prai.g_00017	Syam.g_00022
OG0000181	Prai.g_00018	Syam.g_00023
OG0000182	Prai.g_00019	Syam.g_00024
OG0000183	Prai.g_00023	Syam.g_00028
OG0000184	Prai.g_00053	Syam.g_02298
OG0000185	Prai.g_00056	Syam.g_02295
OG0000186	Prai.g_00064	Syam.g_02058
OG0000187	Prai.g_00065	Syam.g_02059
OG0000188	Prai.g_00082	Syam.g_02081
OG0000189	Prai.g_00096	Syam.g_02108
OG0000190	Prai.g_00097	Syam.g_02110
OG0000191	Prai.g_00117	Syam.g_02142
OG0000192	Prai.g_00121	Syam.g_02148
OG0000193	Prai.g_00157	Syam.g_02192
OG0000194	Prai.g_00160	Syam.g_02195
