Orthogroup	Prbh	Prbf
OG0000000	Prbh.g_01016	Prbf.g_01182
OG0000000	Prbh.g_01022	Prbf.g_01177
OG0000000	Prbh.g_00912	Prbf.g_01285
OG0000000	Prbh.g_00199	Prbf.g_00260
OG0000000	Prbh.g_01313	Prbf.g_00888
OG0000000	Prbh.g_00006	Prbf.g_00089
OG0000000	Prbh.g_01311	Prbf.g_00890
OG0000000	Prbh.g_01317	Prbf.g_00883
OG0000001	Prbh.g_01902	Prbf.g_00775
OG0000002	Prbh.g_00001, Prbh.g_00863	Prbf.g_00831
OG0000003	Prbh.g_01319	Prbf.g_00880
OG0000004	Prbh.g_01350	Prbf.g_00052
OG0000005	Prbh.g_01903	Prbf.g_00776
OG0000006	Prbh.g_00334	Prbf.g_01780
OG0000006	Prbh.g_01782	Prbf.g_00693
OG0000007	Prbh.g_01406	Prbf.g_00793
OG0000007	Prbh.g_01405	Prbf.g_00792
OG0000009	Prbh.g_01307	Prbf.g_00894
OG0000009	Prbh.g_00530	Prbf.g_01588
OG0000010	Prbh.g_01909, Prbh.g_01948	Prbf.g_00306
OG0000011	Prbh.g_00408	Prbf.g_01707
OG0000012	Prbh.g_00225	Prbf.g_01887
OG0000012	Prbh.g_00232	Prbf.g_01880
OG0000013	Prbh.g_01869	Prbf.g_00754
OG0000013	Prbh.g_00840	Prbf.g_00708
OG0000015	Prbh.g_00806	Prbf.g_00765, Prbf.g_00732
OG0000016	Prbh.g_01333	Prbf.g_00864
OG0000016	Prbh.g_00194	Prbf.g_00254
OG0000017	Prbh.g_01834	Prbf.g_00748
OG0000017	Prbh.g_00120	Prbf.g_00178
OG0000018	Prbh.g_00538	Prbf.g_01580
OG0000019	Prbh.g_00938	Prbf.g_01259
OG0000020	Prbh.g_00508	Prbf.g_00039, Prbf.g_01611
OG0000021	Prbh.g_00788	Prbf.g_00711
OG0000023	Prbh.g_00377	Prbf.g_00252
OG0000024	Prbh.g_00472	Prbf.g_01647
OG0000025	Prbh.g_00850	Prbf.g_00845
OG0000026	Prbh.g_01401	Prbf.g_00808
OG0000028	Prbh.g_00096, Prbh.g_00099	Prbf.g_00157
OG0000029	Prbh.g_00376	Prbf.g_01738
OG0000032	Prbh.g_00064	Prbf.g_00116
OG0000033	Prbh.g_01336	Prbf.g_00860
OG0000034	Prbh.g_00727	Prbf.g_01380
OG0000035	Prbh.g_00825	Prbf.g_00299
OG0000036	Prbh.g_01855	Prbf.g_00704
OG0000037	Prbh.g_01460	Prbf.g_01905, Prbf.g_00272
OG0000038	Prbh.g_00190	Prbf.g_00248
OG0000039	Prbh.g_00616	Prbf.g_01500
OG0000040	Prbh.g_00833	Prbf.g_00287
OG0000041	Prbh.g_01827	Prbf.g_00729, Prbf.g_00735
OG0000042	Prbh.g_00945	Prbf.g_01253
OG0000043	Prbh.g_01048	Prbf.g_01153
OG0000044	Prbh.g_01283	Prbf.g_00918
OG0000045	Prbh.g_00030	Prbf.g_00117
OG0000046	Prbh.g_01408	Prbf.g_00822
OG0000047	Prbh.g_01581	Prbf.g_00496
OG0000048	Prbh.g_01573	Prbf.g_00487
OG0000050	Prbh.g_00749	Prbf.g_01354
OG0000051	Prbh.g_00625	Prbf.g_01491
OG0000052	Prbh.g_00821	Prbf.g_00320
OG0000053	Prbh.g_01856	Prbf.g_00781
OG0000054	Prbh.g_01897	Prbf.g_01922
OG0000055	Prbh.g_00976	Prbf.g_01222
OG0000056	Prbh.g_01334	Prbf.g_00862
OG0000057	Prbh.g_00543	Prbf.g_01575
OG0000058	Prbh.g_00356	Prbf.g_01758
OG0000059	Prbh.g_00936	Prbf.g_01261
OG0000062	Prbh.g_01868	Prbf.g_00788
OG0000063	Prbh.g_01255	Prbf.g_00945
OG0000065	Prbh.g_01373	Prbf.g_00026
OG0000066	Prbh.g_00031	Prbf.g_00115
