Orthogroup	Prbh	Prbd
OG0000000	Prbh.g_01016, Prbh.g_01022	Prbd.g_01771
OG0000000	Prbh.g_00912, Prbh.g_00199, Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317	Prbd.g_00566
OG0000002	Prbh.g_00001, Prbh.g_00863	Prbd.g_01930
OG0000003	Prbh.g_01901, Prbh.g_01319	Prbd.g_01835, Prbd.g_01567
OG0000004	Prbh.g_01350	Prbd.g_00038
OG0000005	Prbh.g_01903	Prbd.g_01568, Prbd.g_01914
OG0000006	Prbh.g_00334	Prbd.g_00745
OG0000006	Prbh.g_01782	Prbd.g_01525
OG0000009	Prbh.g_01307	Prbd.g_00082
OG0000009	Prbh.g_00530	Prbd.g_00990
OG0000010	Prbh.g_01909, Prbh.g_01948	Prbd.g_01840, Prbd.g_00409, Prbd.g_01870
OG0000012	Prbh.g_00225, Prbh.g_00232	Prbd.g_00646
OG0000013	Prbh.g_01869, Prbh.g_00840	Prbd.g_00065, Prbd.g_00826
OG0000015	Prbh.g_01817, Prbh.g_01945, Prbh.g_00806	Prbd.g_00856
OG0000016	Prbh.g_01333, Prbh.g_00194	Prbd.g_01768
OG0000018	Prbh.g_00538	Prbd.g_00998
OG0000019	Prbh.g_00938	Prbd.g_01546, Prbd.g_00874
OG0000020	Prbh.g_00508	Prbd.g_00439, Prbd.g_00864
OG0000021	Prbh.g_01870, Prbh.g_00788	Prbd.g_00084
OG0000022	Prbh.g_01853	Prbd.g_01833
OG0000023	Prbh.g_00377, Prbh.g_01841	Prbd.g_01887
OG0000023	Prbh.g_00193	Prbd.g_01576
OG0000024	Prbh.g_00472	Prbd.g_00933
OG0000028	Prbh.g_00096, Prbh.g_00099	Prbd.g_01689
OG0000029	Prbh.g_00376	Prbd.g_01575
OG0000035	Prbh.g_00825	Prbd.g_00192
OG0000036	Prbh.g_01855	Prbd.g_00658
OG0000037	Prbh.g_01460	Prbd.g_00621
OG0000038	Prbh.g_00190	Prbd.g_00061
OG0000039	Prbh.g_00616	Prbd.g_01074
OG0000040	Prbh.g_00833	Prbd.g_00879
OG0000041	Prbh.g_01827	Prbd.g_00833
OG0000042	Prbh.g_00945	Prbd.g_00007
OG0000043	Prbh.g_01048	Prbd.g_00087
OG0000044	Prbh.g_01283	Prbd.g_00468
OG0000045	Prbh.g_00030	Prbd.g_01733
OG0000046	Prbh.g_01408	Prbd.g_01532
OG0000047	Prbh.g_01581	Prbd.g_01335
OG0000048	Prbh.g_01573	Prbd.g_01328
OG0000050	Prbh.g_00749	Prbd.g_01206
OG0000051	Prbh.g_00625	Prbd.g_01083
OG0000052	Prbh.g_00821	Prbd.g_00868
OG0000053	Prbh.g_01856	Prbd.g_00703
OG0000055	Prbh.g_00976	Prbd.g_00124
OG0000057	Prbh.g_00543	Prbd.g_01002, Prbd.g_01537
OG0000058	Prbh.g_00356	Prbd.g_00767
OG0000059	Prbh.g_00936	Prbd.g_00546
OG0000060	Prbh.g_00775	Prbd.g_00036
OG0000062	Prbh.g_01868	Prbd.g_00427
OG0000063	Prbh.g_01255	Prbd.g_01895
OG0000065	Prbh.g_01373	Prbd.g_01801
OG0000066	Prbh.g_00031	Prbd.g_01737
OG0000067	Prbh.g_01835	Prbd.g_01867, Prbd.g_00534
OG0000068	Prbh.g_01644	Prbd.g_01391
OG0000071	Prbh.g_01953	Prbd.g_01226
OG0000072	Prbh.g_00457	Prbd.g_00917
OG0000073	Prbh.g_01182	Prbd.g_00575
OG0000074	Prbh.g_00926	Prbd.g_00553
OG0000075	Prbh.g_00960	Prbd.g_00109
OG0000076	Prbh.g_01031	Prbd.g_00340
OG0000077	Prbh.g_01904	Prbd.g_01913
OG0000078	Prbh.g_00032	Prbd.g_01734
OG0000079	Prbh.g_00184	Prbd.g_01610
OG0000080	Prbh.g_01860	Prbd.g_01561
OG0000081	Prbh.g_01609	Prbd.g_01361
OG0000083	Prbh.g_01473	Prbd.g_01234
OG0000084	Prbh.g_01470	Prbd.g_01231
OG0000085	Prbh.g_00757	Prbd.g_01214
OG0000086	Prbh.g_01826	Prbd.g_01199
OG0000087	Prbh.g_00731	Prbd.g_01188
OG0000088	Prbh.g_00668	Prbd.g_01131
OG0000089	Prbh.g_00659	Prbd.g_01122
OG0000090	Prbh.g_00642	Prbd.g_01104, Prbd.g_01103
OG0000091	Prbh.g_00613	Prbd.g_01071
OG0000092	Prbh.g_00612	Prbd.g_01070
OG0000093	Prbh.g_00599	Prbd.g_01056
OG0000094	Prbh.g_00580	Prbd.g_01038
OG0000095	Prbh.g_00575	Prbd.g_01033
OG0000096	Prbh.g_00528	Prbd.g_00988
OG0000097	Prbh.g_00505	Prbd.g_00965
OG0000099	Prbh.g_00484	Prbd.g_00945
OG0000100	Prbh.g_00481	Prbd.g_00942
OG0000101	Prbh.g_00413	Prbd.g_00882
OG0000102	Prbh.g_01825	Prbd.g_00855
OG0000103	Prbh.g_00355	Prbd.g_00766
OG0000104	Prbh.g_00351	Prbd.g_00762
OG0000105	Prbh.g_00330	Prbd.g_00743
OG0000106	Prbh.g_00297	Prbd.g_00710
OG0000107	Prbh.g_00296	Prbd.g_00709
OG0000108	Prbh.g_00287	Prbd.g_00699
OG0000109	Prbh.g_00278	Prbd.g_00690
OG0000110	Prbh.g_00260	Prbd.g_00674
OG0000111	Prbh.g_01202	Prbd.g_00593
OG0000112	Prbh.g_01201	Prbd.g_00592
OG0000113	Prbh.g_01149	Prbd.g_00029
OG0000114	Prbh.g_00951	Prbd.g_00100
OG0000115	Prbh.g_01086	Prbd.g_00264
OG0000116	Prbh.g_01090	Prbd.g_00268
OG0000117	Prbh.g_01034	Prbd.g_00337
OG0000118	Prbh.g_01328	Prbd.g_00389
OG0000119	Prbh.g_01865	Prbd.g_00430
OG0000120	Prbh.g_01276	Prbd.g_00474
OG0000121	Prbh.g_01253	Prbd.g_00493
OG0000122	Prbh.g_01233	Prbd.g_00512
OG0000123	Prbh.g_01450	Prbd.g_00525
OG0000124	Prbh.g_01397	Prbd.g_01921
OG0000125	Prbh.g_01385	Prbd.g_01789
OG0000126	Prbh.g_00009	Prbd.g_01764
OG0000127	Prbh.g_00084	Prbd.g_01702
