Orthogroup	Prbh	Praz
OG0000000	Prbh.g_01016, Prbh.g_01022	Praz.g_01146
OG0000000	Prbh.g_00912, Prbh.g_00199, Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317	Praz.g_01652
OG0000002	Prbh.g_00001, Prbh.g_00863	Praz.g_01939, Praz.g_01940
OG0000003	Prbh.g_01901, Prbh.g_01319	Praz.g_01200, Praz.g_00920
OG0000004	Prbh.g_01350	Praz.g_01576
OG0000005	Prbh.g_01903	Praz.g_00921, Praz.g_00894
OG0000006	Prbh.g_00334	Praz.g_01831
OG0000006	Prbh.g_01782	Praz.g_00877
OG0000007	Prbh.g_01406	Praz.g_01241
OG0000009	Prbh.g_01307	Praz.g_01532
OG0000009	Prbh.g_00530	Praz.g_00609
OG0000010	Prbh.g_01909, Prbh.g_01948	Praz.g_00045, Praz.g_01215
OG0000011	Prbh.g_00408	Praz.g_01921
OG0000012	Prbh.g_00225, Prbh.g_00232	Praz.g_01732
OG0000013	Prbh.g_01869, Prbh.g_00840	Praz.g_01551
OG0000015	Prbh.g_01817, Prbh.g_01945, Prbh.g_00806	Praz.g_00792
OG0000016	Prbh.g_01333, Prbh.g_00194	Praz.g_01143
OG0000018	Prbh.g_00538	Praz.g_00601
OG0000019	Prbh.g_00938	Praz.g_00896, Praz.g_00810
OG0000020	Prbh.g_00508	Praz.g_00800
OG0000021	Prbh.g_01870, Prbh.g_00788	Praz.g_01530
OG0000022	Prbh.g_01853	Praz.g_01198
OG0000023	Prbh.g_00377, Prbh.g_01841	Praz.g_01230
OG0000023	Prbh.g_00193	Praz.g_00929
OG0000024	Prbh.g_00472	Praz.g_00663
OG0000025	Prbh.g_00850	Praz.g_00769
OG0000028	Prbh.g_00096, Prbh.g_00099	Praz.g_01041
OG0000029	Prbh.g_00376	Praz.g_00928
OG0000032	Prbh.g_00064	Praz.g_01116
OG0000034	Prbh.g_00041, Prbh.g_00727	Praz.g_01103
OG0000035	Prbh.g_00825	Praz.g_01422
OG0000036	Prbh.g_01855	Praz.g_01744
OG0000037	Prbh.g_01460	Praz.g_01707
OG0000038	Prbh.g_00190	Praz.g_01556
OG0000040	Prbh.g_00833	Praz.g_00814
OG0000041	Prbh.g_01827	Praz.g_01908
OG0000042	Prbh.g_00945	Praz.g_01607
OG0000043	Prbh.g_01048	Praz.g_01527
OG0000044	Prbh.g_01283	Praz.g_00755
OG0000045	Prbh.g_00030	Praz.g_01096
OG0000046	Prbh.g_01408	Praz.g_00884
OG0000047	Prbh.g_01581	Praz.g_00205
OG0000048	Prbh.g_01573	Praz.g_00198
OG0000050	Prbh.g_00749	Praz.g_00396
OG0000051	Prbh.g_00625	Praz.g_00517
OG0000052	Prbh.g_00821	Praz.g_00804
OG0000053	Prbh.g_01856	Praz.g_01789
OG0000055	Prbh.g_00976	Praz.g_01490
OG0000057	Prbh.g_00543	Praz.g_00597
OG0000058	Prbh.g_00356	Praz.g_01853
OG0000059	Prbh.g_00936	Praz.g_01632
OG0000060	Prbh.g_00775	Praz.g_01578
OG0000062	Prbh.g_01868	Praz.g_00025
OG0000063	Prbh.g_01255	Praz.g_01237
OG0000065	Prbh.g_01373	Praz.g_01180
OG0000066	Prbh.g_00031	Praz.g_01118
OG0000067	Prbh.g_01835	Praz.g_00768, Praz.g_01240
OG0000068	Prbh.g_01644	Praz.g_00263
OG0000070	Prbh.g_01803	Praz.g_01253
OG0000071	Prbh.g_01953	Praz.g_00376
OG0000072	Prbh.g_00457	Praz.g_00679
OG0000073	Prbh.g_01182	Praz.g_01661
OG0000074	Prbh.g_00926	Praz.g_01639
OG0000075	Prbh.g_00960	Praz.g_01505
OG0000076	Prbh.g_01031	Praz.g_00066
OG0000077	Prbh.g_01904	Praz.g_00893
OG0000078	Prbh.g_00032	Praz.g_01098
OG0000079	Prbh.g_00184	Praz.g_00963
OG0000080	Prbh.g_01860	Praz.g_00913
OG0000081	Prbh.g_01609	Praz.g_00232
OG0000083	Prbh.g_01473	Praz.g_00368
OG0000084	Prbh.g_01470	Praz.g_00371
OG0000085	Prbh.g_00757	Praz.g_00388
OG0000086	Prbh.g_01826	Praz.g_00405, Praz.g_01911
OG0000087	Prbh.g_00731	Praz.g_00415
OG0000088	Prbh.g_00668	Praz.g_00473
OG0000089	Prbh.g_00659	Praz.g_00481
OG0000090	Prbh.g_00642	Praz.g_00499
OG0000091	Prbh.g_00613	Praz.g_00529
OG0000092	Prbh.g_00612	Praz.g_00530
OG0000093	Prbh.g_00599	Praz.g_00544
OG0000094	Prbh.g_00580	Praz.g_00562
OG0000095	Prbh.g_00575	Praz.g_00567
OG0000096	Prbh.g_00528	Praz.g_00611
OG0000097	Prbh.g_00505	Praz.g_00632
OG0000099	Prbh.g_00484	Praz.g_00651
OG0000100	Prbh.g_00481	Praz.g_00654
OG0000101	Prbh.g_00413	Praz.g_00817
OG0000102	Prbh.g_01825	Praz.g_00791
OG0000103	Prbh.g_00355	Praz.g_01852
OG0000104	Prbh.g_00351	Praz.g_01848
OG0000105	Prbh.g_00330	Praz.g_01829
OG0000106	Prbh.g_00297	Praz.g_01796
OG0000107	Prbh.g_00296	Praz.g_01795
OG0000108	Prbh.g_00287	Praz.g_01785
OG0000109	Prbh.g_00278	Praz.g_01776
OG0000110	Prbh.g_00260	Praz.g_01760
OG0000111	Prbh.g_01202	Praz.g_01679
OG0000112	Prbh.g_01201	Praz.g_01678
OG0000113	Prbh.g_01149	Praz.g_01585
OG0000114	Prbh.g_00951	Praz.g_01514
OG0000115	Prbh.g_01086	Praz.g_01350
OG0000116	Prbh.g_01090	Praz.g_01346
