Orthogroup	Prbh	Praw
OG0000000	Prbh.g_01016, Prbh.g_01022	Praw.g_01009
OG0000000	Prbh.g_00912, Prbh.g_00199, Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317	Praw.g_01844
OG0000002	Prbh.g_00001, Prbh.g_00863	Praw.g_00497, Praw.g_01951, Praw.g_01739
OG0000003	Prbh.g_01901, Prbh.g_01319	Praw.g_00959, Praw.g_00457, Praw.g_00495
OG0000004	Prbh.g_01350	Praw.g_01769
OG0000005	Prbh.g_01903	Praw.g_01780, Praw.g_00455, Praw.g_00494, Praw.g_00893, Praw.g_00974
OG0000006	Prbh.g_00334	Praw.g_00651
OG0000006	Prbh.g_01782	Praw.g_00515
OG0000007	Prbh.g_01406	Praw.g_00501
OG0000007	Prbh.g_01405	Praw.g_00502
OG0000009	Prbh.g_01307	Praw.g_01717
OG0000009	Prbh.g_00530	Praw.g_00884
OG0000010	Prbh.g_01909, Prbh.g_01948	Praw.g_00482, Praw.g_00184, Praw.g_00945
OG0000012	Prbh.g_00225, Prbh.g_00232	Praw.g_01944
OG0000013	Prbh.g_01869, Prbh.g_00840	Praw.g_01738
OG0000015	Prbh.g_01817, Prbh.g_01945, Prbh.g_00806	Praw.g_00752
OG0000016	Prbh.g_01333, Prbh.g_00194	Praw.g_01012
OG0000018	Prbh.g_00538	Praw.g_01950
OG0000019	Prbh.g_00938	Praw.g_00479, Praw.g_00767
OG0000020	Prbh.g_00508	Praw.g_00758, Praw.g_00504
OG0000021	Prbh.g_01870, Prbh.g_00788	Praw.g_01715
OG0000022	Prbh.g_01853	Praw.g_00493, Praw.g_00961, Praw.g_01782
OG0000023	Prbh.g_00193	Praw.g_00447
OG0000024	Prbh.g_00472	Praw.g_00828
OG0000028	Prbh.g_00096	Praw.g_01083
OG0000028	Prbh.g_00099	Praw.g_01081
OG0000029	Prbh.g_00376	Praw.g_00448
OG0000033	Prbh.g_01336	Praw.g_00484
OG0000034	Prbh.g_00041, Prbh.g_00727	Praw.g_01071
OG0000035	Prbh.g_00825	Praw.g_00323
OG0000036	Prbh.g_01855	Praw.g_01932
OG0000037	Prbh.g_01460	Praw.g_00159
OG0000038	Prbh.g_00190	Praw.g_01746
OG0000039	Prbh.g_00616	Praw.g_01269
OG0000040	Prbh.g_00833	Praw.g_00772
OG0000041	Prbh.g_01827	Praw.g_00730
OG0000042	Prbh.g_00945	Praw.g_01809
OG0000043	Prbh.g_01048	Praw.g_01712
OG0000044	Prbh.g_01283	Praw.g_00234
OG0000045	Prbh.g_00030	Praw.g_01055
OG0000046	Prbh.g_01408	Praw.g_00508
OG0000047	Prbh.g_01581	Praw.g_00039
OG0000048	Prbh.g_01573	Praw.g_00032
OG0000050	Prbh.g_00749	Praw.g_01397
OG0000051	Prbh.g_00625	Praw.g_01278
OG0000052	Prbh.g_00821	Praw.g_00762
OG0000053	Prbh.g_01856	Praw.g_00609
OG0000055	Prbh.g_00976	Praw.g_01675
OG0000057	Prbh.g_00543	Praw.g_01198
OG0000058	Prbh.g_00356	Praw.g_00672
OG0000059	Prbh.g_00936	Praw.g_01824
OG0000060	Prbh.g_00775	Praw.g_01771
OG0000062	Prbh.g_01868	Praw.g_00201
OG0000063	Prbh.g_01255	Praw.g_00926
OG0000065	Prbh.g_01373	Praw.g_00981
OG0000066	Prbh.g_00031	Praw.g_01050
OG0000068	Prbh.g_01644	Praw.g_00096
OG0000069	Prbh.g_00138	Praw.g_01043
OG0000071	Prbh.g_01953	Praw.g_01125
OG0000072	Prbh.g_00457	Praw.g_00812
OG0000073	Prbh.g_01182	Praw.g_01853
OG0000074	Prbh.g_00926	Praw.g_01831
OG0000075	Prbh.g_00960	Praw.g_01690
OG0000076	Prbh.g_01031	Praw.g_01467
OG0000078	Prbh.g_00032	Praw.g_01051
OG0000079	Prbh.g_00184	Praw.g_00415
OG0000080	Prbh.g_01860	Praw.g_00464
OG0000081	Prbh.g_01609	Praw.g_00066
OG0000083	Prbh.g_01473	Praw.g_01133
OG0000084	Prbh.g_01470	Praw.g_01130
OG0000085	Prbh.g_00757	Praw.g_01405
OG0000086	Prbh.g_01826	Praw.g_01389, Praw.g_00735
OG0000087	Prbh.g_00731	Praw.g_01379
OG0000088	Prbh.g_00668	Praw.g_01322
OG0000089	Prbh.g_00659	Praw.g_01314
OG0000090	Prbh.g_00642	Praw.g_01296
OG0000091	Prbh.g_00613	Praw.g_01266
OG0000092	Prbh.g_00612	Praw.g_01265
OG0000093	Prbh.g_00599	Praw.g_01251
OG0000094	Prbh.g_00580	Praw.g_01233
OG0000095	Prbh.g_00575	Praw.g_01228
OG0000096	Prbh.g_00528	Praw.g_00882
OG0000097	Prbh.g_00505	Praw.g_00860
OG0000098	Prbh.g_00494	Praw.g_00850
OG0000099	Prbh.g_00484	Praw.g_00840
OG0000100	Prbh.g_00481	Praw.g_00837
OG0000101	Prbh.g_00413	Praw.g_00775
OG0000102	Prbh.g_01825	Praw.g_00751
OG0000103	Prbh.g_00355	Praw.g_00671
OG0000104	Prbh.g_00351	Praw.g_00667
OG0000105	Prbh.g_00330	Praw.g_00649
OG0000106	Prbh.g_00297	Praw.g_00616
OG0000107	Prbh.g_00296	Praw.g_00615
OG0000108	Prbh.g_00287	Praw.g_00605
OG0000109	Prbh.g_00278	Praw.g_00596
OG0000110	Prbh.g_00260	Praw.g_00580
