Orthogroup	Prbh	Praj
OG0000000	Prbh.g_01016	Praj.g_00832
OG0000000	Prbh.g_00912	Praj.g_00670
OG0000000	Prbh.g_00199	Praj.g_01492
OG0000000	Prbh.g_01313	Praj.g_01489
OG0000000	Prbh.g_00006, Prbh.g_01311	Praj.g_01488
OG0000000	Prbh.g_01317	Praj.g_01493, Praj.g_01487
OG0000001	Prbh.g_01858	Praj.g_01100
OG0000001	Prbh.g_01902	Praj.g_01359
OG0000002	Prbh.g_00001, Prbh.g_00863	Praj.g_01861, Praj.g_00463, Praj.g_01112
OG0000003	Prbh.g_01901, Prbh.g_01319	Praj.g_01099, Praj.g_01204, Praj.g_01311, Praj.g_01274, Praj.g_00415, Praj.g_01737
OG0000004	Prbh.g_01350	Praj.g_01222, Praj.g_00411, Praj.g_01121
OG0000005	Prbh.g_01903	Praj.g_01730, Praj.g_00418, Praj.g_01077, Praj.g_01357, Praj.g_01202, Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417
OG0000006	Prbh.g_00334	Praj.g_00489
OG0000006	Prbh.g_01782	Praj.g_01768
OG0000007	Prbh.g_01406	Praj.g_01829
OG0000007	Prbh.g_01405	Praj.g_01830
OG0000009	Prbh.g_01307	Praj.g_00747
OG0000010	Prbh.g_01909, Prbh.g_01948	Praj.g_01249
OG0000011	Prbh.g_00408	Praj.g_00408
OG0000012	Prbh.g_00225	Praj.g_00592
OG0000012	Prbh.g_00232	Praj.g_00585
OG0000013	Prbh.g_01869, Prbh.g_00840	Praj.g_01113
OG0000015	Prbh.g_01945	Praj.g_01148
OG0000016	Prbh.g_01333, Prbh.g_00194	Praj.g_01568
OG0000017	Prbh.g_01834, Prbh.g_00120	Praj.g_01651
OG0000018	Prbh.g_00538	Praj.g_01505, Praj.g_01281, Praj.g_00282
OG0000019	Prbh.g_00938	Praj.g_00084
OG0000020	Prbh.g_00508	Praj.g_00308
OG0000021	Prbh.g_01870	Praj.g_01335, Praj.g_00976, Praj.g_00975
OG0000021	Prbh.g_00788	Praj.g_01051, Praj.g_01316
OG0000022	Prbh.g_01853	Praj.g_01076, Praj.g_01308, Praj.g_01201, Praj.g_01271, Praj.g_01356, Praj.g_00419
OG0000024	Prbh.g_00472	Praj.g_00341
OG0000025	Prbh.g_00850	Praj.g_00099, Praj.g_01398
OG0000026	Prbh.g_01401	Praj.g_01867
OG0000028	Prbh.g_00096, Prbh.g_00099	Praj.g_01632
OG0000029	Prbh.g_00376	Praj.g_01276, Praj.g_01675
OG0000033	Prbh.g_01336	Praj.g_01865
OG0000034	Prbh.g_00727	Praj.g_00095
OG0000035	Prbh.g_00825	Praj.g_01395
OG0000036	Prbh.g_01855	Praj.g_01827
OG0000037	Prbh.g_01460	Praj.g_01066
OG0000038	Prbh.g_00190	Praj.g_01189
OG0000039	Prbh.g_00616	Praj.g_00206
OG0000040	Prbh.g_00833	Praj.g_01329, Praj.g_01365
OG0000041	Prbh.g_01827	Praj.g_01242
OG0000042	Prbh.g_00945	Praj.g_00698
OG0000043	Prbh.g_01048	Praj.g_00909
OG0000044	Prbh.g_01283	Praj.g_01461
OG0000046	Prbh.g_01408	Praj.g_01762
OG0000047	Prbh.g_01581	Praj.g_02012
OG0000048	Prbh.g_01573	Praj.g_02020
