Orthogroup	Prbh	Pram
OG0000000	Prbh.g_01016	Pram.g_00873
OG0000000	Prbh.g_01022	Pram.g_00879
OG0000000	Prbh.g_00912	Pram.g_00768
OG0000000	Prbh.g_00199	Pram.g_01278
OG0000000	Prbh.g_01313	Pram.g_01170
OG0000000	Prbh.g_00006	Pram.g_01471
OG0000000	Prbh.g_01311	Pram.g_01168
OG0000000	Prbh.g_01317	Pram.g_01174
OG0000001	Prbh.g_01858	Pram.g_01556
OG0000001	Prbh.g_01902	Pram.g_01512
OG0000002	Prbh.g_00863	Pram.g_00719
OG0000003	Prbh.g_01901	Pram.g_01513
OG0000003	Prbh.g_01319	Pram.g_01176
OG0000004	Prbh.g_01350	Pram.g_01207
OG0000005	Prbh.g_01903	Pram.g_01511
OG0000006	Prbh.g_00334	Pram.g_00433
OG0000006	Prbh.g_01782	Pram.g_01632
OG0000007	Prbh.g_01406	Pram.g_01263
OG0000007	Prbh.g_01405	Pram.g_01262
OG0000009	Prbh.g_01307	Pram.g_01164
OG0000009	Prbh.g_00530	Pram.g_00237
OG0000010	Prbh.g_01909	Pram.g_01505
OG0000010	Prbh.g_01948	Pram.g_00621
OG0000011	Prbh.g_00408	Pram.g_00359
OG0000012	Prbh.g_00225	Pram.g_00542
OG0000012	Prbh.g_00232	Pram.g_00535
OG0000013	Prbh.g_01869	Pram.g_01545
OG0000013	Prbh.g_00840	Pram.g_00696
OG0000015	Prbh.g_01817	Pram.g_01597
OG0000015	Prbh.g_01945	Pram.g_00618
OG0000015	Prbh.g_00806	Pram.g_00662
OG0000016	Prbh.g_00194	Pram.g_01283
OG0000017	Prbh.g_01834	Pram.g_01580
OG0000017	Prbh.g_00120	Pram.g_01357
OG0000018	Prbh.g_00538	Pram.g_00229
OG0000019	Prbh.g_00938	Pram.g_00794
OG0000020	Prbh.g_00508	Pram.g_00259
OG0000021	Prbh.g_01870	Pram.g_01544
OG0000021	Prbh.g_00788	Pram.g_00644
OG0000022	Prbh.g_01853	Pram.g_01561
OG0000023	Prbh.g_00377	Pram.g_00390
OG0000023	Prbh.g_01841	Pram.g_01573
OG0000023	Prbh.g_00193	Pram.g_01284
OG0000024	Prbh.g_00472	Pram.g_00295
OG0000025	Prbh.g_00850	Pram.g_00706
OG0000026	Prbh.g_01401	Pram.g_01258
OG0000028	Prbh.g_00096	Pram.g_01381
OG0000028	Prbh.g_00099	Pram.g_01378
OG0000029	Prbh.g_00376	Pram.g_00391
OG0000032	Prbh.g_00064	Pram.g_01413
OG0000033	Prbh.g_01336	Pram.g_01193
OG0000034	Prbh.g_00041	Pram.g_01436
OG0000034	Prbh.g_00727	Pram.g_00040
OG0000035	Prbh.g_00825	Pram.g_00681
OG0000036	Prbh.g_01855	Pram.g_01559
OG0000037	Prbh.g_01460	Pram.g_00561
OG0000038	Prbh.g_00190	Pram.g_01287
OG0000039	Prbh.g_00616	Pram.g_00151
OG0000040	Prbh.g_00833	Pram.g_00689
OG0000041	Prbh.g_01827	Pram.g_01587
OG0000042	Prbh.g_00945	Pram.g_00801
OG0000043	Prbh.g_01048	Pram.g_00905
OG0000044	Prbh.g_01283	Pram.g_01140
OG0000045	Prbh.g_00030	Pram.g_01447
OG0000046	Prbh.g_01408	Pram.g_01265
OG0000047	Prbh.g_01581	Pram.g_01833
OG0000048	Prbh.g_01573	Pram.g_01841
OG0000050	Prbh.g_00749	Pram.g_00018
OG0000051	Prbh.g_00625	Pram.g_00142
