Orthogroup	Syao	Pral
OG0000001	Syao.g_00314	Pral.g_01236, Pral.g_01671, Pral.g_01296
OG0000004	Syao.g_02374	Pral.g_01743
OG0000004	Syao.g_01271, Syao.g_01007	Pral.g_00809
OG0000005	Syao.g_01578	Pral.g_01075
OG0000006	Syao.g_01518	Pral.g_00797
OG0000007	Syao.g_00105	Pral.g_00593
OG0000007	Syao.g_01554	Pral.g_00107
OG0000008	Syao.g_01321	Pral.g_00021
OG0000010	Syao.g_02683	Pral.g_01832, Pral.g_01848, Pral.g_00618
OG0000011	Syao.g_01282	Pral.g_00064
OG0000012	Syao.g_01193	Pral.g_00015
OG0000013	Syao.g_01222, Syao.g_01844, Syao.g_01910	Pral.g_00712
OG0000014	Syao.g_02027	Pral.g_00732
OG0000015	Syao.g_00302	Pral.g_01813
OG0000017	Syao.g_01064	Pral.g_00484
OG0000017	Syao.g_00997	Pral.g_00491
OG0000018	Syao.g_00071	Pral.g_01346, Pral.g_01516
OG0000019	Syao.g_02108	Pral.g_00790, Pral.g_01344
OG0000021	Syao.g_01002	Pral.g_01667, Pral.g_01738
OG0000022	Syao.g_01218	Pral.g_00044
OG0000023	Syao.g_01266	Pral.g_01687
OG0000025	Syao.g_00436, Syao.g_00437	Pral.g_01523
OG0000026	Syao.g_02234	Pral.g_01012
OG0000027	Syao.g_00202	Pral.g_00039, Pral.g_01036
OG0000028	Syao.g_02012	Pral.g_00719, Pral.g_00053
OG0000030	Syao.g_02189, Syao.g_02188	Pral.g_00316
OG0000031	Syao.g_01083	Pral.g_01193
OG0000032	Syao.g_00090	Pral.g_01121
OG0000033	Syao.g_02507	Pral.g_00874
OG0000035	Syao.g_01486	Pral.g_01165, Pral.g_01161
OG0000037	Syao.g_00374	Pral.g_00938
OG0000038	Syao.g_02440, Syao.g_02442	Pral.g_00356
OG0000039	Syao.g_00704	Pral.g_01755
OG0000042	Syao.g_00019, Syao.g_01941	Pral.g_00313
OG0000045	Syao.g_01214, Syao.g_00148	Pral.g_01322
OG0000046	Syao.g_01845, Syao.g_01909	Pral.g_00711
OG0000047	Syao.g_01899	Pral.g_00672
OG0000048	Syao.g_02077	Pral.g_00768
OG0000051	Syao.g_01261	Pral.g_00095
OG0000052	Syao.g_01972	Pral.g_00987
OG0000053	Syao.g_00067	Pral.g_00066, Pral.g_01139
OG0000055	Syao.g_00498	Pral.g_00082
OG0000058	Syao.g_01080	Pral.g_01202
OG0000059	Syao.g_01959	Pral.g_00195
OG0000061	Syao.g_00123	Pral.g_01367, Pral.g_00639
OG0000062	Syao.g_01576	Pral.g_01073
OG0000063	Syao.g_02230	Pral.g_00435
OG0000064	Syao.g_02607, Syao.g_00495, Syao.g_01462, Syao.g_02605, Syao.g_01898	Pral.g_00980
OG0000065	Syao.g_02600	Pral.g_00940
OG0000066	Syao.g_01422	Pral.g_00551
OG0000067	Syao.g_00756	Pral.g_01488
OG0000068	Syao.g_00868, Syao.g_00036	Pral.g_01222
OG0000069	Syao.g_00313	Pral.g_01114, Pral.g_01164
OG0000070	Syao.g_00330	Pral.g_00643
OG0000071	Syao.g_01433	Pral.g_01281
OG0000072	Syao.g_02509, Syao.g_01749	Pral.g_00872
OG0000073	Syao.g_00103	Pral.g_00591
OG0000075	Syao.g_02257	Pral.g_00279
OG0000076	Syao.g_01949	Pral.g_00305
OG0000079	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105	Pral.g_00787
OG0000082	Syao.g_01035	Pral.g_00057
OG0000084	Syao.g_02606	Pral.g_01169
OG0000085	Syao.g_01569	Pral.g_00099
OG0000086	Syao.g_02653, Syao.g_01240	Pral.g_00959
OG0000087	Syao.g_02555	Pral.g_00906
OG0000088	Syao.g_02503	Pral.g_00878
OG0000089	Syao.g_01716	Pral.g_00676
OG0000090	Syao.g_01412	Pral.g_00557
OG0000091	Syao.g_00902	Pral.g_01443
OG0000092	Syao.g_00656	Pral.g_01794, Pral.g_01244
OG0000093	Syao.g_00739	Pral.g_01472
OG0000097	Syao.g_00973	Pral.g_01416
OG0000098	Syao.g_01374	Pral.g_01239
OG0000099	Syao.g_02019	Pral.g_01201
OG0000100	Syao.g_00787	Pral.g_01078
OG0000101	Syao.g_01840	Pral.g_00243
OG0000102	Syao.g_01945	Pral.g_00310
OG0000103	Syao.g_02340	Pral.g_00397
OG0000104	Syao.g_02157	Pral.g_00406
OG0000105	Syao.g_02071, Syao.g_02072	Pral.g_00765
OG0000106	Syao.g_01385	Pral.g_01859
OG0000107	Syao.g_01935	Pral.g_00171
OG0000108	Syao.g_00028	Pral.g_00611
OG0000109	Syao.g_00110	Pral.g_00596
OG0000110	Syao.g_01051	Pral.g_00513
OG0000111	Syao.g_00378	Pral.g_01739
OG0000112	Syao.g_00683, Syao.g_00303	Pral.g_01635
OG0000113	Syao.g_00782	Pral.g_01511
OG0000114	Syao.g_00965	Pral.g_01799
OG0000115	Syao.g_00065, Syao.g_01464	Pral.g_01141
OG0000116	Syao.g_00137	Pral.g_01356
OG0000117	Syao.g_00169	Pral.g_01398, Pral.g_01397, Pral.g_01396, Pral.g_01881
OG0000118	Syao.g_01475	Pral.g_01269
OG0000120	Syao.g_02009	Pral.g_00702
OG0000121	Syao.g_01489	Pral.g_01159
OG0000122	Syao.g_01247	Pral.g_01116
OG0000123	Syao.g_01832	Pral.g_00250
OG0000124	Syao.g_02179	Pral.g_00322
OG0000125	Syao.g_02444	Pral.g_00358
OG0000126	Syao.g_02198	Pral.g_00405
OG0000128	Syao.g_02149	Pral.g_00421
OG0000129	Syao.g_02434	Pral.g_01000
OG0000130	Syao.g_02617	Pral.g_00978
OG0000131	Syao.g_02480	Pral.g_00900
OG0000132	Syao.g_02501	Pral.g_00880
OG0000133	Syao.g_00678	Pral.g_00717
OG0000134	Syao.g_01719	Pral.g_00674
OG0000135	Syao.g_00147	Pral.g_01034
OG0000136	Syao.g_01614, Syao.g_01613	Pral.g_00653
OG0000137	Syao.g_02682	Pral.g_00617
OG0000138	Syao.g_00108	Pral.g_00595
OG0000139	Syao.g_02005	Pral.g_00553
OG0000140	Syao.g_01373, Syao.g_01372	Pral.g_00552
OG0000141	Syao.g_01202	Pral.g_00481
OG0000142	Syao.g_00894	Pral.g_01436
OG0000143	Syao.g_00898	Pral.g_01440
OG0000145	Syao.g_00102	Pral.g_01037
OG0000146	Syao.g_00684, Syao.g_00304	Pral.g_01636
OG0000147	Syao.g_00305, Syao.g_00685	Pral.g_01637
OG0000148	Syao.g_00776	Pral.g_01505
OG0000149	Syao.g_00534	Pral.g_01535
OG0000150	Syao.g_01203	Pral.g_01545
OG0000151	Syao.g_00975	Pral.g_01789
OG0000152	Syao.g_00674	Pral.g_01627
OG0000153	Syao.g_00818, Syao.g_01176	Pral.g_01578
OG0000154	Syao.g_00447	Pral.g_01595
OG0000155	Syao.g_00178	Pral.g_01390
OG0000156	Syao.g_00151	Pral.g_01292
OG0000157	Syao.g_00152	Pral.g_01291
OG0000158	Syao.g_02267	Pral.g_00287
OG0000159	Syao.g_02276	Pral.g_01263
OG0000160	Syao.g_01488	Pral.g_01160
OG0000161	Syao.g_01494	Pral.g_01154
OG0000162	Syao.g_01515	Pral.g_01148
OG0000163	Syao.g_01745	Pral.g_01106
OG0000164	Syao.g_01663	Pral.g_00131
OG0000165	Syao.g_01655	Pral.g_00138
OG0000166	Syao.g_01790	Pral.g_00206
OG0000167	Syao.g_01960	Pral.g_00277
OG0000168	Syao.g_02128	Pral.g_00288
OG0000169	Syao.g_02139	Pral.g_00298
OG0000170	Syao.g_02148	Pral.g_00301
OG0000171	Syao.g_02181	Pral.g_00321
OG0000172	Syao.g_02170	Pral.g_00328
OG0000173	Syao.g_02212	Pral.g_00343
OG0000174	Syao.g_02364, Syao.g_02355	Pral.g_00375
OG0000175	Syao.g_02327, Syao.g_00308	Pral.g_00387
OG0000176	Syao.g_02165	Pral.g_00414
OG0000177	Syao.g_02156	Pral.g_00415
OG0000178	Syao.g_02155	Pral.g_00416
OG0000179	Syao.g_02250	Pral.g_01028
OG0000180	Syao.g_02249	Pral.g_01027
OG0000181	Syao.g_02248	Pral.g_01026
OG0000182	Syao.g_02247	Pral.g_01025
OG0000183	Syao.g_02243	Pral.g_01021
OG0000184	Syao.g_02423	Pral.g_00996
OG0000185	Syao.g_02410	Pral.g_00993
OG0000186	Syao.g_02613	Pral.g_00984
OG0000187	Syao.g_02615	Pral.g_00983
OG0000188	Syao.g_02637	Pral.g_00965
OG0000189	Syao.g_02672	Pral.g_00951
OG0000190	Syao.g_01015	Pral.g_00950
OG0000191	Syao.g_02573	Pral.g_00928
OG0000192	Syao.g_02579	Pral.g_00923
OG0000193	Syao.g_02481	Pral.g_00899
OG0000194	Syao.g_02484	Pral.g_00896
OG0000195	Syao.g_02486	Pral.g_00894
OG0000196	Syao.g_02498	Pral.g_00883
OG0000197	Syao.g_02499	Pral.g_00882
OG0000198	Syao.g_02500	Pral.g_00881
OG0000199	Syao.g_02508	Pral.g_00873
OG0000200	Syao.g_02524	Pral.g_00860
OG0000201	Syao.g_02540	Pral.g_00851
OG0000202	Syao.g_02454	Pral.g_00850
OG0000203	Syao.g_02455	Pral.g_00849
OG0000204	Syao.g_02456	Pral.g_00848
OG0000205	Syao.g_02464	Pral.g_00842
OG0000206	Syao.g_02469	Pral.g_00837
OG0000207	Syao.g_02471	Pral.g_00835
OG0000208	Syao.g_02472	Pral.g_00834
OG0000209	Syao.g_02394	Pral.g_00825
OG0000210	Syao.g_02395	Pral.g_00824
OG0000211	Syao.g_01700	Pral.g_00807
OG0000212	Syao.g_01710	Pral.g_00799
OG0000213	Syao.g_02098	Pral.g_00781
OG0000214	Syao.g_02081	Pral.g_00772
OG0000215	Syao.g_02050	Pral.g_00746
OG0000216	Syao.g_02045	Pral.g_00744
OG0000217	Syao.g_02041	Pral.g_00741
OG0000218	Syao.g_02039	Pral.g_00739
OG0000219	Syao.g_02038	Pral.g_00738
OG0000220	Syao.g_02037	Pral.g_00737
OG0000221	Syao.g_02034	Pral.g_00736
OG0000222	Syao.g_02023	Pral.g_00729
OG0000223	Syao.g_00291	Pral.g_00716
OG0000224	Syao.g_01973	Pral.g_00714
OG0000225	Syao.g_01751	Pral.g_00686
OG0000226	Syao.g_01758	Pral.g_00682
OG0000227	Syao.g_01760	Pral.g_00680
OG0000228	Syao.g_01715	Pral.g_00677
OG0000229	Syao.g_01736	Pral.g_00658
OG0000230	Syao.g_01738	Pral.g_00656
OG0000231	Syao.g_01513	Pral.g_00644
OG0000232	Syao.g_00057	Pral.g_00631
OG0000233	Syao.g_02698	Pral.g_00625
OG0000234	Syao.g_02680	Pral.g_00616
OG0000235	Syao.g_00029	Pral.g_00612
OG0000236	Syao.g_00111	Pral.g_00597
OG0000237	Syao.g_00166	Pral.g_00584
OG0000238	Syao.g_00161	Pral.g_00578
OG0000239	Syao.g_01398	Pral.g_00565
OG0000240	Syao.g_01399	Pral.g_00564
OG0000241	Syao.g_00887	Pral.g_00560
OG0000242	Syao.g_01410	Pral.g_00558
OG0000243	Syao.g_00873	Pral.g_00547
OG0000244	Syao.g_00865	Pral.g_00544
OG0000245	Syao.g_00863	Pral.g_00542
