Orthogroup	Syao	Prap
OG0000001	Syao.g_00314	Prap.g_01925, Prap.g_00653
OG0000004	Syao.g_02374	Prap.g_00802
OG0000004	Syao.g_01271, Syao.g_01007	Prap.g_01480
OG0000005	Syao.g_01578	Prap.g_00204
OG0000006	Syao.g_01518	Prap.g_01470
OG0000007	Syao.g_00105	Prap.g_01270
OG0000007	Syao.g_01554	Prap.g_01779
OG0000008	Syao.g_01321	Prap.g_01887
OG0000010	Syao.g_02683	Prap.g_00669, Prap.g_00318, Prap.g_01293
OG0000011	Syao.g_01282	Prap.g_00619
OG0000012	Syao.g_01193	Prap.g_00236, Prap.g_01145
OG0000013	Syao.g_01222, Syao.g_01844, Syao.g_01910	Prap.g_01385
OG0000014	Syao.g_02027	Prap.g_01403
OG0000015	Syao.g_00302	Prap.g_01840, Prap.g_01794
OG0000017	Syao.g_01064	Prap.g_01163
OG0000017	Syao.g_00997	Prap.g_01170
OG0000018	Syao.g_00071	Prap.g_00478, Prap.g_00755
OG0000019	Syao.g_02108	Prap.g_01462, Prap.g_00480
OG0000021	Syao.g_01002	Prap.g_00229, Prap.g_00797
OG0000022	Syao.g_01218	Prap.g_00212
OG0000023	Syao.g_01266	Prap.g_00029
OG0000025	Syao.g_00436, Syao.g_00437	Prap.g_00747
OG0000026	Syao.g_02234	Prap.g_00923
OG0000027	Syao.g_00202	Prap.g_01860, Prap.g_01912
OG0000028	Syao.g_02012	Prap.g_01889
OG0000030	Syao.g_02189, Syao.g_02188	Prap.g_01569
OG0000031	Syao.g_01083	Prap.g_00080
OG0000032	Syao.g_00090	Prap.g_00160
OG0000033	Syao.g_02507	Prap.g_00087, Prap.g_01001
OG0000035	Syao.g_01486	Prap.g_00121
OG0000037	Syao.g_00374	Prap.g_01067
OG0000038	Syao.g_02440, Syao.g_02442	Prap.g_01530
OG0000039	Syao.g_00704	Prap.g_00814
OG0000042	Syao.g_00019, Syao.g_01941	Prap.g_01572
OG0000045	Syao.g_01214, Syao.g_00148	Prap.g_00500
OG0000046	Syao.g_01845, Syao.g_01909	Prap.g_01384
OG0000047	Syao.g_01899	Prap.g_01343
OG0000048	Syao.g_02077	Prap.g_00548, Prap.g_01439
OG0000051	Syao.g_01261	Prap.g_00611
OG0000052	Syao.g_01972	Prap.g_00897
OG0000052	Syao.g_01085	Prap.g_00099
