Orthogroup	Syao	Syaa
OG0000001	Syao.g_00314	Syaa.g_02435, Syaa.g_02438, Syaa.g_02437, Syaa.g_02436
OG0000001	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558	Syaa.g_02439
OG0000004	Syao.g_02374	Syaa.g_00892
OG0000004	Syao.g_01007	Syaa.g_01667
OG0000005	Syao.g_01680	Syaa.g_00534
OG0000005	Syao.g_01578	Syaa.g_00573
OG0000005	Syao.g_01210	Syaa.g_01449
OG0000006	Syao.g_00919	Syaa.g_01611
OG0000007	Syao.g_00105	Syaa.g_02032
OG0000007	Syao.g_01554	Syaa.g_00551
OG0000008	Syao.g_01321	Syaa.g_00919
OG0000009	Syao.g_02598	Syaa.g_02378
OG0000010	Syao.g_02683	Syaa.g_01843
OG0000011	Syao.g_01282	Syaa.g_00921
OG0000012	Syao.g_01193	Syaa.g_02304, Syaa.g_01660
OG0000013	Syao.g_01844	Syaa.g_02217
OG0000013	Syao.g_01910	Syaa.g_02212
OG0000014	Syao.g_02027	Syaa.g_00222
OG0000015	Syao.g_02339	Syaa.g_02739
OG0000015	Syao.g_00302	Syaa.g_01079, Syaa.g_01989
OG0000016	Syao.g_01955	Syaa.g_00014
OG0000017	Syao.g_01064	Syaa.g_01883
OG0000017	Syao.g_00997	Syaa.g_01890
OG0000018	Syao.g_00071	Syaa.g_01801
OG0000019	Syao.g_02108	Syaa.g_00307
OG0000021	Syao.g_01002	Syaa.g_02627
OG0000022	Syao.g_01218	Syaa.g_01571
OG0000023	Syao.g_01266	Syaa.g_01529, Syaa.g_01216
OG0000025	Syao.g_00436, Syao.g_00437	Syaa.g_00839
OG0000026	Syao.g_02234	Syaa.g_00038
OG0000027	Syao.g_00202	Syaa.g_01605, Syaa.g_00854
OG0000028	Syao.g_02012	Syaa.g_00205
OG0000030	Syao.g_02189	Syaa.g_00099
OG0000030	Syao.g_02188	Syaa.g_00098
OG0000031	Syao.g_02008	Syaa.g_00200
OG0000031	Syao.g_01083	Syaa.g_00480
OG0000032	Syao.g_00090	Syaa.g_01818
