Orthogroup	Syao	Syag
OG0000001	Syao.g_00314	Syag.g_00575, Syag.g_01942
OG0000001	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558	Syag.g_01943
OG0000004	Syao.g_02374	Syag.g_00988
OG0000004	Syao.g_01007	Syag.g_00370
OG0000005	Syao.g_01680	Syag.g_01708
OG0000005	Syao.g_01578	Syag.g_01667
OG0000006	Syao.g_00919	Syag.g_00435
OG0000007	Syao.g_00105	Syag.g_01507
OG0000007	Syao.g_01554	Syag.g_01687
OG0000008	Syao.g_01321	Syag.g_01017
OG0000009	Syao.g_02598	Syag.g_01883
OG0000010	Syao.g_02683	Syag.g_01355
OG0000011	Syao.g_01282	Syag.g_01299
OG0000012	Syao.g_01193	Syag.g_00995, Syag.g_00686, Syag.g_01105, Syag.g_00377
OG0000013	Syao.g_01844	Syag.g_02806
OG0000013	Syao.g_01910	Syag.g_02811
OG0000014	Syao.g_02027	Syag.g_02559
OG0000015	Syao.g_02339	Syag.g_02252
OG0000015	Syao.g_00302	Syag.g_00596
OG0000016	Syao.g_01955	Syag.g_02286
OG0000017	Syao.g_01064	Syag.g_00344
OG0000017	Syao.g_00997	Syag.g_00336
OG0000018	Syao.g_00071	Syag.g_01387
OG0000019	Syao.g_02108	Syag.g_02663
OG0000021	Syao.g_01002	Syag.g_00229
OG0000022	Syao.g_01218	Syag.g_00458
OG0000023	Syao.g_01266	Syag.g_00261, Syag.g_00234
OG0000025	Syao.g_00436, Syao.g_00437	Syag.g_00718
OG0000026	Syao.g_02234	Syag.g_02309
OG0000027	Syao.g_00202	Syag.g_00950, Syag.g_00165
OG0000028	Syao.g_02012	Syag.g_02540
OG0000030	Syao.g_02189	Syag.g_02375
OG0000030	Syao.g_02188	Syag.g_02374
OG0000031	Syao.g_02008	Syag.g_02510
OG0000031	Syao.g_01083	Syag.g_02486
OG0000032	Syao.g_00090	Syag.g_01366
OG0000032	Syao.g_01984, Syao.g_01983	Syag.g_02480
OG0000033	Syao.g_02507	Syag.g_02481, Syag.g_01978
OG0000035	Syao.g_01486	Syag.g_01420
OG0000035	Syao.g_01483	Syag.g_01421
OG0000036	Syao.g_00727, Syao.g_00580, Syao.g_01142, Syao.g_00725, Syao.g_02193, Syao.g_00726	Syag.g_01809
OG0000036	Syao.g_00572	Syag.g_01274
OG0000037	Syao.g_00374	Syag.g_00173
OG0000038	Syao.g_02440	Syag.g_02130
OG0000038	Syao.g_02442	Syag.g_02132
OG0000040	Syao.g_00711	Syag.g_02215
OG0000041	Syao.g_01637	Syag.g_00962
OG0000042	Syao.g_00019, Syao.g_01941	Syag.g_01094, Syag.g_02378
OG0000045	Syao.g_00148	Syag.g_00223
OG0000046	Syao.g_01909	Syag.g_02812
OG0000047	Syao.g_01899	Syag.g_00768
OG0000048	Syao.g_02077	Syag.g_02611
OG0000051	Syao.g_01261	Syag.g_01026
OG0000052	Syao.g_01085, Syao.g_02520	Syag.g_02451
OG0000053	Syao.g_00067	Syag.g_01391
OG0000055	Syao.g_00498	Syag.g_01799
OG0000058	Syao.g_01080	Syag.g_02477
OG0000059	Syao.g_01801, Syao.g_01959	Syag.g_02721
OG0000060	Syao.g_00312	Syag.g_01095
OG0000061	Syao.g_00123	Syag.g_01141
OG0000062	Syao.g_01576	Syag.g_01669
OG0000063	Syao.g_02230	Syag.g_02313
OG0000064	Syao.g_01462, Syao.g_02605	Syag.g_00487
OG0000064	Syao.g_01898	Syag.g_00076
OG0000065	Syao.g_02600	Syag.g_00182, Syag.g_01885
OG0000066	Syao.g_01422	Syag.g_01443
OG0000067	Syao.g_00756	Syag.g_00667
OG0000068	Syao.g_00868, Syao.g_00036	Syag.g_01537
OG0000070	Syao.g_00330	Syag.g_00049
OG0000071	Syao.g_01433	Syag.g_01192
OG0000072	Syao.g_02509	Syag.g_01980
OG0000072	Syao.g_01749	Syag.g_02859
OG0000073	Syao.g_00103	Syag.g_01505
OG0000075	Syao.g_02257	Syag.g_02434
OG0000076	Syao.g_01949, Syao.g_01251	Syag.g_02393
OG0000077	Syao.g_02629	Syag.g_01831
OG0000079	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105	Syag.g_02659, Syag.g_02652
OG0000082	Syao.g_01035	Syag.g_00318
OG0000084	Syao.g_01509	Syag.g_00212
OG0000084	Syao.g_02606	Syag.g_01425
OG0000085	Syao.g_01569	Syag.g_01676
OG0000086	Syao.g_02653, Syao.g_01240	Syag.g_01853
OG0000087	Syao.g_02555	Syag.g_01939
OG0000088	Syao.g_02503	Syag.g_01974
OG0000089	Syao.g_01716	Syag.g_00005
OG0000090	Syao.g_01412	Syag.g_01454
OG0000091	Syao.g_00902	Syag.g_00418
OG0000092	Syao.g_00656	Syag.g_00242
OG0000093	Syao.g_00739	Syag.g_00649
OG0000094	Syao.g_00458	Syag.g_00881
OG0000095	Syao.g_00331	Syag.g_00974
OG0000098	Syao.g_01374	Syag.g_00578
OG0000099	Syao.g_02019	Syag.g_02536
OG0000100	Syao.g_00787	Syag.g_00704
OG0000102	Syao.g_01945	Syag.g_02387
OG0000103	Syao.g_02340	Syag.g_02253
OG0000104	Syao.g_02157	Syag.g_02268
OG0000105	Syao.g_02071, Syao.g_02072	Syag.g_02606
OG0000106	Syao.g_01385	Syag.g_00462
OG0000107	Syao.g_01935	Syag.g_02689
OG0000108	Syao.g_00028	Syag.g_01528
OG0000109	Syao.g_00110	Syag.g_01512
OG0000110	Syao.g_01051	Syag.g_00303
OG0000111	Syao.g_00378	Syag.g_00984
OG0000112	Syao.g_00683, Syao.g_00303	Syag.g_00801
OG0000113	Syao.g_00782	Syag.g_00699
OG0000114	Syao.g_00965	Syag.g_00609
OG0000115	Syao.g_00065, Syao.g_01464	Syag.g_01397
OG0000116	Syao.g_00137	Syag.g_01156
OG0000117	Syao.g_00169	Syag.g_01097
OG0000118	Syao.g_01475	Syag.g_01232
OG0000120	Syao.g_02009	Syag.g_02535
OG0000121	Syao.g_01489	Syag.g_01414
OG0000122	Syao.g_01247	Syag.g_00446
OG0000123	Syao.g_01832	Syag.g_02781
OG0000124	Syao.g_02179	Syag.g_02367, Syag.g_02485
OG0000125	Syao.g_02444	Syag.g_02136, Syag.g_02134
OG0000126	Syao.g_02198	Syag.g_02266
OG0000128	Syao.g_02149	Syag.g_02284
OG0000129	Syao.g_02434	Syag.g_02121
OG0000130	Syao.g_02617	Syag.g_01819
OG0000131	Syao.g_02480	Syag.g_01951
OG0000132	Syao.g_02501	Syag.g_01972
OG0000133	Syao.g_00678	Syag.g_00806
OG0000134	Syao.g_01719	Syag.g_00008
OG0000135	Syao.g_00147	Syag.g_02171
OG0000136	Syao.g_01614, Syao.g_01613	Syag.g_00038
OG0000137	Syao.g_02682	Syag.g_01356
OG0000138	Syao.g_00108	Syag.g_01511
OG0000139	Syao.g_02005	Syag.g_01448
OG0000140	Syao.g_01373, Syao.g_01372	Syag.g_01446
OG0000141	Syao.g_01202	Syag.g_00351
OG0000142	Syao.g_00894	Syag.g_00410
OG0000143	Syao.g_00898	Syag.g_00414
OG0000145	Syao.g_00102	Syag.g_01504
OG0000146	Syao.g_00684, Syao.g_00304	Syag.g_00800
OG0000147	Syao.g_00305, Syao.g_00685	Syag.g_00799
OG0000148	Syao.g_00776	Syag.g_00693
OG0000149	Syao.g_00534	Syag.g_00731
OG0000150	Syao.g_01203	Syag.g_00352
OG0000151	Syao.g_00975	Syag.g_00623
OG0000152	Syao.g_00674	Syag.g_00810
OG0000153	Syao.g_00818, Syao.g_01176	Syag.g_00845
OG0000154	Syao.g_00447	Syag.g_00870
OG0000155	Syao.g_00178	Syag.g_01107
OG0000156	Syao.g_00151	Syag.g_01166
OG0000157	Syao.g_00152	Syag.g_01167
OG0000158	Syao.g_01141, Syao.g_02267	Syag.g_02422
OG0000159	Syao.g_02006	Syag.g_02425
OG0000160	Syao.g_01488	Syag.g_01415
OG0000161	Syao.g_01494	Syag.g_01409
OG0000162	Syao.g_01515	Syag.g_01402
OG0000163	Syao.g_01745	Syag.g_01618
OG0000164	Syao.g_01663	Syag.g_01725
OG0000165	Syao.g_01655	Syag.g_01733
OG0000166	Syao.g_01790	Syag.g_02733
OG0000167	Syao.g_01960	Syag.g_02437
OG0000168	Syao.g_02128	Syag.g_02417
OG0000169	Syao.g_02139	Syag.g_02405
OG0000170	Syao.g_02148	Syag.g_02398
OG0000171	Syao.g_02181	Syag.g_02368
OG0000172	Syao.g_02170	Syag.g_02360
OG0000173	Syao.g_02212	Syag.g_02337
OG0000174	Syao.g_02364, Syao.g_02355	Syag.g_02175
OG0000175	Syao.g_02327, Syao.g_00308	Syag.g_02240
OG0000176	Syao.g_02165	Syag.g_02276
OG0000177	Syao.g_02156	Syag.g_02277
OG0000178	Syao.g_02155	Syag.g_02278
OG0000179	Syao.g_02250	Syag.g_02293
OG0000180	Syao.g_02249	Syag.g_02294
OG0000181	Syao.g_02248	Syag.g_02295
OG0000182	Syao.g_02247	Syag.g_02296
OG0000183	Syao.g_02243	Syag.g_02300
OG0000184	Syao.g_02423	Syag.g_02110
OG0000185	Syao.g_02410	Syag.g_02092
OG0000186	Syao.g_02613	Syag.g_01815
OG0000187	Syao.g_02615	Syag.g_01816
OG0000188	Syao.g_02637	Syag.g_01839
OG0000189	Syao.g_02672	Syag.g_01872
OG0000190	Syao.g_01015	Syag.g_01874
OG0000191	Syao.g_02573	Syag.g_01909
OG0000192	Syao.g_02579	Syag.g_01915
OG0000193	Syao.g_02481	Syag.g_01952
OG0000194	Syao.g_02484	Syag.g_01955
OG0000195	Syao.g_02486	Syag.g_01957
OG0000196	Syao.g_02498	Syag.g_01968
OG0000197	Syao.g_02499	Syag.g_01969
OG0000198	Syao.g_02500	Syag.g_00108, Syag.g_01971
OG0000199	Syao.g_02508	Syag.g_01979
OG0000200	Syao.g_02524	Syag.g_01996
OG0000201	Syao.g_02540	Syag.g_02019, Syag.g_02023
OG0000202	Syao.g_02454	Syag.g_02024
OG0000203	Syao.g_02455	Syag.g_02025
OG0000204	Syao.g_02456	Syag.g_02020, Syag.g_02026
OG0000205	Syao.g_02464	Syag.g_02035
OG0000206	Syao.g_02469	Syag.g_02047
OG0000207	Syao.g_02471	Syag.g_02051
OG0000208	Syao.g_02472	Syag.g_02052
OG0000209	Syao.g_02394	Syag.g_02069
OG0000210	Syao.g_02395	Syag.g_02070
OG0000211	Syao.g_01700	Syag.g_01788
OG0000212	Syao.g_01710	Syag.g_01777
OG0000213	Syao.g_02098	Syag.g_02632
OG0000214	Syao.g_02081	Syag.g_02615
OG0000215	Syao.g_02050	Syag.g_02584
OG0000216	Syao.g_02045	Syag.g_02580
OG0000217	Syao.g_02041	Syag.g_02576
OG0000218	Syao.g_02039	Syag.g_02574
OG0000219	Syao.g_02038	Syag.g_02573
OG0000220	Syao.g_02037	Syag.g_02572
OG0000221	Syao.g_02034	Syag.g_02566
OG0000222	Syao.g_02023	Syag.g_02550
OG0000223	Syao.g_00291	Syag.g_02475
OG0000224	Syao.g_01973	Syag.g_02471
OG0000225	Syao.g_01751	Syag.g_02861
OG0000226	Syao.g_01758	Syag.g_02865
OG0000227	Syao.g_01760	Syag.g_02867
OG0000228	Syao.g_01715	Syag.g_00004
OG0000229	Syao.g_01736	Syag.g_00033
OG0000230	Syao.g_01738	Syag.g_00035
OG0000231	Syao.g_01513	Syag.g_00048
OG0000232	Syao.g_00057	Syag.g_00059
OG0000233	Syao.g_02698	Syag.g_01330
OG0000234	Syao.g_02680	Syag.g_01358
OG0000235	Syao.g_00029	Syag.g_01529
OG0000236	Syao.g_00111	Syag.g_01513
OG0000237	Syao.g_00166	Syag.g_01495
OG0000238	Syao.g_00161	Syag.g_01490
OG0000239	Syao.g_01398	Syag.g_01472
OG0000240	Syao.g_01399	Syag.g_01471
OG0000241	Syao.g_00887	Syag.g_00396
OG0000242	Syao.g_01410	Syag.g_01456
OG0000243	Syao.g_00873	Syag.g_00255
OG0000244	Syao.g_00865	Syag.g_00268
OG0000245	Syao.g_00863	Syag.g_00270
OG0000246	Syao.g_00859	Syag.g_00274
OG0000247	Syao.g_00847	Syag.g_00286
OG0000248	Syao.g_00844	Syag.g_00289
OG0000249	Syao.g_00842	Syag.g_00291
OG0000250	Syao.g_00835	Syag.g_00299
OG0000251	Syao.g_01026	Syag.g_00328
OG0000252	Syao.g_01020	Syag.g_00331
OG0000253	Syao.g_01003	Syag.g_00333
OG0000254	Syao.g_01053	Syag.g_00356
