Orthogroup	Syao	Syap
OG0000001	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615
OG0000005	Syao.g_01680	Syap.g_01773
OG0000005	Syao.g_01578	Syap.g_01218
OG0000006	Syao.g_00919	Syap.g_02770
OG0000007	Syao.g_00105	Syap.g_00275
OG0000007	Syao.g_01554	Syap.g_00621
OG0000009	Syao.g_02598	Syap.g_02081
OG0000010	Syao.g_02683	Syap.g_02757
OG0000013	Syao.g_01222	Syap.g_00586, Syap.g_00580, Syap.g_00583
OG0000013	Syao.g_01844	Syap.g_00972
OG0000014	Syao.g_02027	Syap.g_01675
OG0000015	Syao.g_02339	Syap.g_02606, Syap.g_00786
OG0000016	Syao.g_01955	Syap.g_00071
OG0000017	Syao.g_00997	Syap.g_00449
OG0000018	Syao.g_00071	Syap.g_02010
OG0000019	Syao.g_02108	Syap.g_01586
OG0000025	Syao.g_00436, Syao.g_00437	Syap.g_01846
OG0000027	Syao.g_00202	Syap.g_01440
OG0000028	Syao.g_02012	Syap.g_01658
OG0000030	Syao.g_02189	Syap.g_00787
OG0000030	Syao.g_02188	Syap.g_00788
OG0000031	Syao.g_02008	Syap.g_02479, Syap.g_01083, Syap.g_02076
OG0000031	Syao.g_01083	Syap.g_00722
OG0000032	Syao.g_01984, Syao.g_01983	Syap.g_02461, Syap.g_01133, Syap.g_01134
OG0000033	Syao.g_02507	Syap.g_01198
OG0000035	Syao.g_01486	Syap.g_02465
OG0000035	Syao.g_01483	Syap.g_02125
OG0000038	Syao.g_02442	Syap.g_00139
OG0000039	Syao.g_00704	Syap.g_01749, Syap.g_01748
OG0000040	Syao.g_00711	Syap.g_01819
OG0000042	Syao.g_00019	Syap.g_01891
OG0000042	Syao.g_01941	Syap.g_01120
OG0000045	Syao.g_01214, Syao.g_00148	Syap.g_02525
OG0000046	Syao.g_01845	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973
OG0000048	Syao.g_02077	Syap.g_02340
OG0000051	Syao.g_01261	Syap.g_01574
OG0000053	Syao.g_00067	Syap.g_02006
OG0000054	Syao.g_00295	Syap.g_02652
OG0000054	Syao.g_00625	Syap.g_00774
OG0000057	Syao.g_00377	Syap.g_01569
OG0000058	Syao.g_01978	Syap.g_02074
OG0000059	Syao.g_01801	Syap.g_01918
OG0000059	Syao.g_01959	Syap.g_01082, Syap.g_02478
OG0000060	Syao.g_00312	Syap.g_00795
OG0000061	Syao.g_00123	Syap.g_00228
OG0000062	Syao.g_01576	Syap.g_01220
OG0000063	Syao.g_02230	Syap.g_01796
OG0000066	Syao.g_01422	Syap.g_01972
OG0000067	Syao.g_00756	Syap.g_00194
OG0000068	Syao.g_00868	Syap.g_00108, Syap.g_00144
OG0000069	Syao.g_01460	Syap.g_01543, Syap.g_01545
OG0000070	Syao.g_00330	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000071	Syao.g_01433	Syap.g_01483
OG0000072	Syao.g_01749	Syap.g_00555
OG0000073	Syao.g_00103	Syap.g_00273
OG0000075	Syao.g_02257	Syap.g_01064
OG0000076	Syao.g_01949	Syap.g_01111
OG0000077	Syao.g_02629	Syap.g_00416
OG0000078	Syao.g_01709	Syap.g_01149
OG0000079	Syao.g_02105	Syap.g_01589
OG0000080	Syao.g_02269	Syap.g_01035
OG0000085	Syao.g_01569	Syap.g_00611
OG0000087	Syao.g_02555	Syap.g_02617, Syap.g_02202, Syap.g_02203
