Orthogroup	Syao	Prak
OG0000001	Syao.g_00314	Prak.g_01302, Prak.g_00755
OG0000004	Syao.g_02374	Prak.g_00826
OG0000004	Syao.g_01271, Syao.g_01007	Prak.g_00248
OG0000005	Syao.g_01578	Prak.g_01474
OG0000006	Syao.g_01518	Prak.g_00258
OG0000007	Syao.g_00105	Prak.g_00458
OG0000007	Syao.g_01554	Prak.g_01645
OG0000008	Syao.g_01321	Prak.g_01545, Prak.g_01546
OG0000010	Syao.g_02683	Prak.g_00739, Prak.g_01034, Prak.g_00435
OG0000011	Syao.g_01282	Prak.g_00660
OG0000012	Syao.g_01193	Prak.g_01506, Prak.g_00584
OG0000013	Syao.g_01222, Syao.g_01844, Syao.g_01910	Prak.g_00343
OG0000014	Syao.g_02027	Prak.g_00325
OG0000015	Syao.g_00302	Prak.g_01584, Prak.g_01630
OG0000016	Syao.g_01955	Prak.g_00013
OG0000017	Syao.g_01064	Prak.g_00566
OG0000017	Syao.g_00997	Prak.g_00559
OG0000018	Syao.g_00071	Prak.g_01194, Prak.g_00873
OG0000019	Syao.g_02108	Prak.g_00266, Prak.g_01196
OG0000021	Syao.g_01002	Prak.g_01499, Prak.g_00831
OG0000022	Syao.g_01218	Prak.g_01482
OG0000023	Syao.g_01266	Prak.g_00721
OG0000025	Syao.g_00436, Syao.g_00437	Prak.g_00881
OG0000026	Syao.g_02234	Prak.g_00032
OG0000027	Syao.g_00202	Prak.g_01564, Prak.g_01521
OG0000028	Syao.g_02012	Prak.g_01543
OG0000030	Syao.g_02189, Syao.g_02188	Prak.g_01853
OG0000031	Syao.g_01083	Prak.g_01350
OG0000032	Syao.g_00090	Prak.g_01430
OG0000033	Syao.g_02507	Prak.g_01357, Prak.g_00181
OG0000035	Syao.g_01486	Prak.g_01391
OG0000037	Syao.g_00374	Prak.g_00115
OG0000038	Syao.g_02440, Syao.g_02442	Prak.g_01893
OG0000039	Syao.g_00704	Prak.g_00814
OG0000042	Syao.g_00019, Syao.g_01941	Prak.g_01850
OG0000045	Syao.g_01214, Syao.g_00148	Prak.g_01216
OG0000046	Syao.g_01845, Syao.g_01909	Prak.g_00344
OG0000047	Syao.g_01899	Prak.g_00385
OG0000048	Syao.g_02077	Prak.g_01264, Prak.g_00289
OG0000051	Syao.g_01261	Prak.g_00667
OG0000052	Syao.g_01972	Prak.g_00058
OG0000052	Syao.g_01085	Prak.g_01369
OG0000053	Syao.g_00067	Prak.g_01590, Prak.g_01412
OG0000055	Syao.g_00498	Prak.g_01619
OG0000058	Syao.g_01080	Prak.g_01351
OG0000059	Syao.g_01959	Prak.g_01732
OG0000061	Syao.g_00123	Prak.g_01172
OG0000062	Syao.g_01576	Prak.g_01476
OG0000063	Syao.g_02230	Prak.g_01530
OG0000064	Syao.g_02607, Syao.g_00495, Syao.g_01462, Syao.g_02605, Syao.g_01898	Prak.g_00072
OG0000065	Syao.g_02600	Prak.g_00113
OG0000066	Syao.g_01422	Prak.g_00498, Prak.g_01557
OG0000067	Syao.g_00756	Prak.g_00845
OG0000068	Syao.g_00868, Syao.g_00036	Prak.g_01329
OG0000069	Syao.g_00313	Prak.g_00416
OG0000070	Syao.g_00330	Prak.g_00412
OG0000071	Syao.g_01433	Prak.g_01277
OG0000072	Syao.g_02509, Syao.g_01749	Prak.g_00183
OG0000073	Syao.g_00103	Prak.g_00461
OG0000075	Syao.g_02257	Prak.g_01816
OG0000076	Syao.g_01949	Prak.g_01842
OG0000079	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105	Prak.g_00269
OG0000082	Syao.g_01035	Prak.g_00546, Prak.g_01634
OG0000084	Syao.g_02606	Prak.g_01388
OG0000085	Syao.g_01569	Prak.g_01637, Prak.g_01516
OG0000086	Syao.g_02653, Syao.g_01240	Prak.g_00092
OG0000087	Syao.g_02555	Prak.g_00147
OG0000088	Syao.g_02503	Prak.g_00178
OG0000089	Syao.g_01716	Prak.g_00379
OG0000090	Syao.g_01412	Prak.g_00492
OG0000091	Syao.g_00902	Prak.g_01100
OG0000092	Syao.g_00656	Prak.g_00775
OG0000097	Syao.g_00973	Prak.g_01126
OG0000098	Syao.g_01374	Prak.g_01305
OG0000099	Syao.g_02019	Prak.g_01352
OG0000100	Syao.g_00787	Prak.g_01470
OG0000101	Syao.g_01840	Prak.g_01780
OG0000102	Syao.g_01945	Prak.g_01847
OG0000103	Syao.g_02340	Prak.g_01932
OG0000104	Syao.g_02157	Prak.g_01941
OG0000105	Syao.g_02071, Syao.g_02072	Prak.g_00292
OG0000106	Syao.g_01385	Prak.g_00687
OG0000107	Syao.g_01935	Prak.g_01709
OG0000108	Syao.g_00028	Prak.g_00441
OG0000109	Syao.g_00110	Prak.g_00455
OG0000110	Syao.g_01051	Prak.g_00535
OG0000111	Syao.g_00378	Prak.g_00830
OG0000112	Syao.g_00683, Syao.g_00303	Prak.g_00608
OG0000113	Syao.g_00782	Prak.g_00868
OG0000114	Syao.g_00965	Prak.g_00770
OG0000115	Syao.g_00065, Syao.g_01464	Prak.g_01241
OG0000116	Syao.g_00137	Prak.g_01183
OG0000117	Syao.g_00169	Prak.g_01145
OG0000118	Syao.g_01475	Prak.g_01290
OG0000120	Syao.g_02009	Prak.g_01349
OG0000121	Syao.g_01489	Prak.g_01393
OG0000122	Syao.g_01247	Prak.g_01248, Prak.g_01434
OG0000123	Syao.g_01832	Prak.g_01787
OG0000124	Syao.g_02179	Prak.g_01859
OG0000125	Syao.g_02444	Prak.g_01895
OG0000126	Syao.g_02198	Prak.g_01940
OG0000128	Syao.g_02149	Prak.g_00011
OG0000129	Syao.g_02434	Prak.g_00045
OG0000130	Syao.g_02617	Prak.g_00074
OG0000131	Syao.g_02480	Prak.g_00156
OG0000132	Syao.g_02501	Prak.g_00176
OG0000133	Syao.g_00678	Prak.g_00339
OG0000134	Syao.g_01719	Prak.g_00381
OG0000135	Syao.g_00147	Prak.g_01259
OG0000136	Syao.g_01614, Syao.g_01613	Prak.g_00403
OG0000137	Syao.g_02682	Prak.g_00436
OG0000138	Syao.g_00108	Prak.g_00456
OG0000139	Syao.g_02005	Prak.g_00496
OG0000140	Syao.g_01373, Syao.g_01372	Prak.g_00497
OG0000141	Syao.g_01202	Prak.g_00569
OG0000142	Syao.g_00894	Prak.g_01108
OG0000143	Syao.g_00898	Prak.g_01104
OG0000145	Syao.g_00102	Prak.g_01261
OG0000146	Syao.g_00684, Syao.g_00304	Prak.g_00607
OG0000147	Syao.g_00305, Syao.g_00685	Prak.g_00606
OG0000148	Syao.g_00776	Prak.g_00862
OG0000149	Syao.g_00534	Prak.g_00894
OG0000150	Syao.g_01203	Prak.g_00904
OG0000151	Syao.g_00975	Prak.g_00780
OG0000152	Syao.g_00674	Prak.g_00973
OG0000153	Syao.g_00818, Syao.g_01176	Prak.g_00992
OG0000154	Syao.g_00447	Prak.g_01012
OG0000155	Syao.g_00178	Prak.g_01151
OG0000156	Syao.g_00151	Prak.g_01266
OG0000157	Syao.g_00152	Prak.g_01267
OG0000158	Syao.g_02267	Prak.g_01824
OG0000159	Syao.g_02276	Prak.g_00065
OG0000160	Syao.g_01488	Prak.g_01392
OG0000161	Syao.g_01494	Prak.g_01398
OG0000162	Syao.g_01515	Prak.g_01404
OG0000163	Syao.g_01745	Prak.g_01443
OG0000164	Syao.g_01663	Prak.g_01669
OG0000165	Syao.g_01655	Prak.g_01676
OG0000166	Syao.g_01790	Prak.g_01743
OG0000167	Syao.g_01960	Prak.g_01814
OG0000168	Syao.g_02128	Prak.g_01825
OG0000169	Syao.g_02139	Prak.g_01835
OG0000170	Syao.g_02148	Prak.g_01838
OG0000171	Syao.g_02181	Prak.g_01858
OG0000172	Syao.g_02170	Prak.g_01865
OG0000173	Syao.g_02212	Prak.g_01880
OG0000174	Syao.g_02364, Syao.g_02355	Prak.g_01910
OG0000175	Syao.g_02327, Syao.g_00308	Prak.g_01923
OG0000176	Syao.g_02165	Prak.g_00004
OG0000177	Syao.g_02156	Prak.g_00005
OG0000178	Syao.g_02155	Prak.g_00006
OG0000179	Syao.g_02250	Prak.g_00016
OG0000180	Syao.g_02249	Prak.g_00017
OG0000181	Syao.g_02248	Prak.g_00018
OG0000182	Syao.g_02247	Prak.g_00019
OG0000183	Syao.g_02243	Prak.g_00023
OG0000184	Syao.g_02423	Prak.g_00049
OG0000185	Syao.g_02410	Prak.g_00052
OG0000186	Syao.g_02613	Prak.g_00068
OG0000187	Syao.g_02615	Prak.g_00069
OG0000188	Syao.g_02637	Prak.g_00086
OG0000189	Syao.g_02672	Prak.g_00100
OG0000190	Syao.g_01015	Prak.g_00102
OG0000191	Syao.g_02573	Prak.g_00125
OG0000192	Syao.g_02579	Prak.g_00130
OG0000193	Syao.g_02481	Prak.g_00157
OG0000194	Syao.g_02484	Prak.g_00160
OG0000195	Syao.g_02486	Prak.g_00162
OG0000196	Syao.g_02498	Prak.g_00173
OG0000197	Syao.g_02499	Prak.g_00174
OG0000198	Syao.g_02500	Prak.g_00175
OG0000199	Syao.g_02508	Prak.g_00182
OG0000200	Syao.g_02524	Prak.g_00196
OG0000201	Syao.g_02540	Prak.g_00205
OG0000202	Syao.g_02454	Prak.g_00206
OG0000203	Syao.g_02455	Prak.g_00207
OG0000204	Syao.g_02456	Prak.g_00208
OG0000205	Syao.g_02464	Prak.g_00215
OG0000206	Syao.g_02469	Prak.g_00220
OG0000207	Syao.g_02471	Prak.g_00223
OG0000208	Syao.g_02472	Prak.g_00224
OG0000209	Syao.g_02394	Prak.g_00233
OG0000210	Syao.g_02395	Prak.g_00234
OG0000211	Syao.g_01700	Prak.g_00249
OG0000212	Syao.g_01710	Prak.g_00257
OG0000213	Syao.g_02098	Prak.g_00275
OG0000214	Syao.g_02081	Prak.g_00285
OG0000215	Syao.g_02050	Prak.g_00312
OG0000216	Syao.g_02045	Prak.g_00313
OG0000217	Syao.g_02041	Prak.g_00316
OG0000218	Syao.g_02039	Prak.g_00318
OG0000219	Syao.g_02038	Prak.g_00319
OG0000220	Syao.g_02037	Prak.g_00320
OG0000221	Syao.g_02034	Prak.g_00321
OG0000222	Syao.g_02023	Prak.g_00328
OG0000223	Syao.g_00291	Prak.g_00340
OG0000224	Syao.g_01973	Prak.g_00342
OG0000225	Syao.g_01751	Prak.g_00368
OG0000226	Syao.g_01758	Prak.g_00372
OG0000227	Syao.g_01760	Prak.g_00374
OG0000228	Syao.g_01715	Prak.g_00378
OG0000229	Syao.g_01736	Prak.g_00398
OG0000230	Syao.g_01738	Prak.g_00400
OG0000231	Syao.g_01513	Prak.g_00411
OG0000232	Syao.g_00057	Prak.g_00422
OG0000233	Syao.g_02698	Prak.g_00428
OG0000234	Syao.g_02680	Prak.g_00437
OG0000235	Syao.g_00029	Prak.g_00440
OG0000236	Syao.g_00111	Prak.g_00454
OG0000237	Syao.g_00166	Prak.g_00467
OG0000238	Syao.g_00161	Prak.g_00473
OG0000239	Syao.g_01398	Prak.g_00484
OG0000240	Syao.g_01399	Prak.g_00485
OG0000241	Syao.g_00887	Prak.g_00489
OG0000242	Syao.g_01410	Prak.g_00491
OG0000243	Syao.g_00873	Prak.g_00502
OG0000244	Syao.g_00865	Prak.g_00506
OG0000245	Syao.g_00863	Prak.g_00508
OG0000246	Syao.g_00859	Prak.g_00512
OG0000247	Syao.g_00847	Prak.g_00522
OG0000248	Syao.g_00844	Prak.g_00525
