Orthogroup	Syao	Prag
OG0000001	Syao.g_00314	Prag.g_01374, Prag.g_01654, Prag.g_00764, Prag.g_01216, Prag.g_01215, Prag.g_01651
OG0000004	Syao.g_02374	Prag.g_00673
OG0000004	Syao.g_01271, Syao.g_01007	Prag.g_00225
OG0000005	Syao.g_01680	Prag.g_01682
OG0000005	Syao.g_01578	Prag.g_01566
OG0000006	Syao.g_01518	Prag.g_00234, Prag.g_01231
OG0000007	Syao.g_00105	Prag.g_00476
OG0000007	Syao.g_01554	Prag.g_01669
OG0000008	Syao.g_01321	Prag.g_01656
OG0000009	Syao.g_02598	Prag.g_00098
OG0000010	Syao.g_02683	Prag.g_01043, Prag.g_00453
OG0000011	Syao.g_01282	Prag.g_01326
OG0000012	Syao.g_01193	Prag.g_00601
OG0000013	Syao.g_01222, Syao.g_01844, Syao.g_01910	Prag.g_00318
OG0000014	Syao.g_02027	Prag.g_00297
OG0000015	Syao.g_00302	Prag.g_00765
OG0000016	Syao.g_01955	Prag.g_00013
OG0000017	Syao.g_00997	Prag.g_00576
OG0000018	Syao.g_00071	Prag.g_01134, Prag.g_00833
OG0000019	Syao.g_02108	Prag.g_00242, Prag.g_00786
OG0000021	Syao.g_01002	Prag.g_01633, Prag.g_00359
OG0000022	Syao.g_01218	Prag.g_00757, Prag.g_01116
OG0000023	Syao.g_01266	Prag.g_00354
OG0000025	Syao.g_00436, Syao.g_00437	Prag.g_00839, Prag.g_00322
OG0000026	Syao.g_02234	Prag.g_00031, Prag.g_01050
OG0000027	Syao.g_00202	Prag.g_00449, Prag.g_01646, Prag.g_01336
OG0000028	Syao.g_02012	Prag.g_00311, Prag.g_01270
OG0000030	Syao.g_02189, Syao.g_02188	Prag.g_01871
OG0000031	Syao.g_01083	Prag.g_01446
OG0000032	Syao.g_01984, Syao.g_01983, Syao.g_01135	Prag.g_01416
OG0000033	Syao.g_02507	Prag.g_00162
OG0000035	Syao.g_01486	Prag.g_01490, Prag.g_01488
OG0000037	Syao.g_00374	Prag.g_00102
OG0000038	Syao.g_02440, Syao.g_02442	Prag.g_01911
OG0000039	Syao.g_00704	Prag.g_00664
OG0000042	Syao.g_00019, Syao.g_01941	Prag.g_01868
OG0000045	Syao.g_01214, Syao.g_00148	Prag.g_00365
OG0000047	Syao.g_01899	Prag.g_00321
OG0000048	Syao.g_02077	Prag.g_01658, Prag.g_00368
OG0000051	Syao.g_01261	Prag.g_01329, Prag.g_01645
OG0000052	Syao.g_01085	Prag.g_01444
OG0000053	Syao.g_00067	Prag.g_01510
OG0000059	Syao.g_01959	Prag.g_01755
OG0000060	Syao.g_00312	Prag.g_00760
OG0000061	Syao.g_00123	Prag.g_01153
OG0000063	Syao.g_02230	Prag.g_00033
OG0000065	Syao.g_02600	Prag.g_00100
OG0000066	Syao.g_01422	Prag.g_00518
OG0000067	Syao.g_00756	Prag.g_00806
OG0000068	Syao.g_00868, Syao.g_00036	Prag.g_01389
OG0000069	Syao.g_00313	Prag.g_01601
OG0000070	Syao.g_00330	Prag.g_00429
OG0000071	Syao.g_01433	Prag.g_01355
OG0000072	Syao.g_02509, Syao.g_01749	Prag.g_00164
OG0000073	Syao.g_00103	Prag.g_00478
OG0000075	Syao.g_02257	Prag.g_01836
OG0000076	Syao.g_01949	Prag.g_01861
OG0000082	Syao.g_01035	Prag.g_00563
OG0000084	Syao.g_02606	Prag.g_01484
OG0000085	Syao.g_01569	Prag.g_01662
OG0000086	Syao.g_02653, Syao.g_01240	Prag.g_00082
OG0000087	Syao.g_02555	Prag.g_00132
OG0000088	Syao.g_02503	Prag.g_00159
OG0000089	Syao.g_01716	Prag.g_00350
OG0000090	Syao.g_01412	Prag.g_00512
OG0000091	Syao.g_00902	Prag.g_00620
OG0000092	Syao.g_00656	Prag.g_00911
OG0000094	Syao.g_00458	Prag.g_01017
OG0000097	Syao.g_00973	Prag.g_01194
OG0000098	Syao.g_01374	Prag.g_01371
OG0000099	Syao.g_02019	Prag.g_01424
OG0000100	Syao.g_00787	Prag.g_01564
OG0000101	Syao.g_01840	Prag.g_01804
OG0000102	Syao.g_01945	Prag.g_01866
OG0000103	Syao.g_02340	Prag.g_01945
OG0000104	Syao.g_02157	Prag.g_01953
OG0000105	Syao.g_02071, Syao.g_02072	Prag.g_00265
OG0000106	Syao.g_01385	Prag.g_00364
OG0000107	Syao.g_01935	Prag.g_00378
OG0000108	Syao.g_00028	Prag.g_00459
OG0000109	Syao.g_00110	Prag.g_00473
