Orthogroup	Syao	Prbc
OG0000001	Syao.g_00314	Prbc.g_00588, Prbc.g_00892, Prbc.g_01530, Prbc.g_00925
OG0000004	Syao.g_02374	Prbc.g_01381
OG0000004	Syao.g_01271, Syao.g_01007	Prbc.g_00339
OG0000005	Syao.g_01680	Prbc.g_00098
OG0000005	Syao.g_01578	Prbc.g_00788
OG0000006	Syao.g_01518	Prbc.g_02202
OG0000007	Syao.g_00105	Prbc.g_01556
OG0000007	Syao.g_01554	Prbc.g_00832
OG0000008	Syao.g_01321	Prbc.g_00894
OG0000010	Syao.g_02683	Prbc.g_02115, Prbc.g_01533
OG0000011	Syao.g_01282	Prbc.g_00164, Prbc.g_00066, Prbc.g_00136, Prbc.g_00616
OG0000012	Syao.g_01193	Prbc.g_02155
OG0000013	Syao.g_01222, Syao.g_01844, Syao.g_01910	Prbc.g_01219
OG0000014	Syao.g_02027	Prbc.g_01198
OG0000014	Syao.g_01136	Prbc.g_00680
OG0000015	Syao.g_00302	Prbc.g_00599
OG0000016	Syao.g_01955	Prbc.g_01083
OG0000017	Syao.g_00997	Prbc.g_01681
OG0000018	Syao.g_00071	Prbc.g_01468, Prbc.g_01887
OG0000019	Syao.g_02108	Prbc.g_01836
OG0000021	Syao.g_01002	Prbc.g_00924, Prbc.g_02189
OG0000022	Syao.g_01218	Prbc.g_00166, Prbc.g_01288
OG0000023	Syao.g_01266	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071
OG0000025	Syao.g_00436, Syao.g_00437	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894
OG0000026	Syao.g_02234	Prbc.g_01101
OG0000027	Syao.g_00202	Prbc.g_00072
OG0000028	Syao.g_02012	Prbc.g_00653
OG0000030	Syao.g_02189, Syao.g_02188	Prbc.g_00199
OG0000031	Syao.g_01083	Prbc.g_01228
OG0000032	Syao.g_00090	Prbc.g_00746
OG0000033	Syao.g_02507	Prbc.g_00402
OG0000035	Syao.g_01486	Prbc.g_00709
OG0000037	Syao.g_00374	Prbc.g_00464
OG0000038	Syao.g_02440, Syao.g_02442	Prbc.g_00995
OG0000039	Syao.g_00704	Prbc.g_01768
OG0000042	Syao.g_00019, Syao.g_01941	Prbc.g_00203
OG0000045	Syao.g_01214, Syao.g_00148	Prbc.g_02137
OG0000046	Syao.g_01845, Syao.g_01909	Prbc.g_01220
OG0000047	Syao.g_01899	Prbc.g_01273, Prbc.g_01227
OG0000048	Syao.g_02077	Prbc.g_01165
OG0000051	Syao.g_01261	Prbc.g_00088, Prbc.g_00095
OG0000052	Syao.g_01972	Prbc.g_00518, Prbc.g_00517
