Orthogroup	Syao	Prar
OG0000001	Syao.g_00314	Prar.g_00926, Prar.g_01202, Prar.g_01203
OG0000004	Syao.g_02374	Prar.g_01525
OG0000004	Syao.g_01271, Syao.g_01007	Prar.g_00095
OG0000005	Syao.g_01680	Prar.g_01130
OG0000005	Syao.g_01578	Prar.g_00771
OG0000006	Syao.g_01518	Prar.g_00086
OG0000007	Syao.g_00105	Prar.g_01328
OG0000007	Syao.g_01554	Prar.g_01143
OG0000009	Syao.g_02598	Prar.g_00223
OG0000010	Syao.g_02683	Prar.g_01567, Prar.g_01912, Prar.g_00524
OG0000011	Syao.g_01282	Prar.g_00978, Prar.g_00988
OG0000012	Syao.g_01193	Prar.g_01453
OG0000013	Syao.g_01222, Syao.g_01844, Syao.g_01910	Prar.g_00260
OG0000014	Syao.g_02027	Prar.g_00281
OG0000015	Syao.g_00302	Prar.g_01179
OG0000016	Syao.g_01955	Prar.g_00025
OG0000017	Syao.g_00997	Prar.g_01428
OG0000018	Syao.g_00071	Prar.g_01282, Prar.g_01711
OG0000019	Syao.g_02108	Prar.g_00078, Prar.g_01663
OG0000021	Syao.g_01002	Prar.g_00425
OG0000022	Syao.g_01218	Prar.g_01649, Prar.g_01300
OG0000023	Syao.g_01266	Prar.g_00420
OG0000025	Syao.g_00436, Syao.g_00437	Prar.g_01718, Prar.g_00256
OG0000026	Syao.g_02234	Prar.g_00007, Prar.g_01919
OG0000027	Syao.g_00202	Prar.g_00520
OG0000028	Syao.g_02012	Prar.g_00267, Prar.g_00985
OG0000030	Syao.g_02189, Syao.g_02188	Prar.g_00662
OG0000031	Syao.g_01083	Prar.g_00879
OG0000032	Syao.g_01984, Syao.g_01983	Prar.g_00886
OG0000033	Syao.g_02507	Prar.g_00158
OG0000035	Syao.g_01486	Prar.g_00339
OG0000037	Syao.g_00374	Prar.g_00219
OG0000038	Syao.g_02440, Syao.g_02442	Prar.g_00702
OG0000039	Syao.g_00704	Prar.g_01516
OG0000042	Syao.g_00019, Syao.g_01941	Prar.g_00660
OG0000045	Syao.g_01214, Syao.g_00148	Prar.g_00432
OG0000047	Syao.g_01899	Prar.g_00468, Prar.g_00257
OG0000048	Syao.g_02077	Prar.g_00435
OG0000053	Syao.g_00067	Prar.g_00589, Prar.g_00827
OG0000058	Syao.g_01080	Prar.g_00362
OG0000059	Syao.g_01959	Prar.g_01090
OG0000061	Syao.g_00123	Prar.g_01263
OG0000063	Syao.g_02230	Prar.g_00004, Prar.g_00005, Prar.g_01189
OG0000065	Syao.g_02600	Prar.g_00221
OG0000066	Syao.g_01422	Prar.g_01369
OG0000067	Syao.g_00756	Prar.g_01684
OG0000068	Syao.g_00868, Syao.g_00036	Prar.g_00911
OG0000069	Syao.g_00313	Prar.g_01170, Prar.g_00736
OG0000070	Syao.g_00330	Prar.g_00498
OG0000071	Syao.g_01433	Prar.g_00955
OG0000072	Syao.g_02509, Syao.g_01749	Prar.g_00156
OG0000073	Syao.g_00103	Prar.g_01330
OG0000075	Syao.g_02257	Prar.g_00629
OG0000076	Syao.g_01949	Prar.g_00592, Prar.g_00653
OG0000082	Syao.g_01035	Prar.g_01414
OG0000084	Syao.g_02606	Prar.g_00343
OG0000085	Syao.g_01569	Prar.g_01150
OG0000086	Syao.g_02653, Syao.g_01240	Prar.g_00240
OG0000087	Syao.g_02555	Prar.g_00189
OG0000088	Syao.g_02503	Prar.g_00161
OG0000089	Syao.g_01716	Prar.g_00416
OG0000090	Syao.g_01412	Prar.g_01363
OG0000091	Syao.g_00902	Prar.g_01472
OG0000092	Syao.g_00656	Prar.g_01781, Prar.g_00615
OG0000094	Syao.g_00458	Prar.g_01885
OG0000097	Syao.g_00973	Prar.g_01222
OG0000098	Syao.g_01374	Prar.g_00929
