Orthogroup	Syao	Prae
OG0000001	Syao.g_00314	Prae.g_01353, Prae.g_01236, Prae.g_01223, Prae.g_01224
OG0000004	Syao.g_02374	Prae.g_00669
OG0000004	Syao.g_01271, Syao.g_01007	Prae.g_00235
OG0000005	Syao.g_01680	Prae.g_01636
OG0000005	Syao.g_01578	Prae.g_01535
OG0000006	Syao.g_01518	Prae.g_00244
OG0000007	Syao.g_00105	Prae.g_00471
OG0000007	Syao.g_01554	Prae.g_01623
OG0000010	Syao.g_02683	Prae.g_01048, Prae.g_00448
OG0000011	Syao.g_01282	Prae.g_01291, Prae.g_00398, Prae.g_01245
OG0000012	Syao.g_01193	Prae.g_00597
OG0000013	Syao.g_01222, Syao.g_01844, Syao.g_01910	Prae.g_00328
OG0000014	Syao.g_02027	Prae.g_00307
OG0000015	Syao.g_00302	Prae.g_00769, Prae.g_01235
OG0000016	Syao.g_01955	Prae.g_00013
OG0000017	Syao.g_00997	Prae.g_00572
OG0000018	Syao.g_00071	Prae.g_01144, Prae.g_00833
OG0000019	Syao.g_02108	Prae.g_00252, Prae.g_00786
OG0000021	Syao.g_01002	Prae.g_01600, Prae.g_00364
OG0000022	Syao.g_01218	Prae.g_00764, Prae.g_01125
OG0000023	Syao.g_01266	Prae.g_00359
OG0000025	Syao.g_00436, Syao.g_00437	Prae.g_00840, Prae.g_00332
OG0000026	Syao.g_02234	Prae.g_00031, Prae.g_01056
OG0000027	Syao.g_00202	Prae.g_00444, Prae.g_01311
OG0000028	Syao.g_02012	Prae.g_00321
OG0000030	Syao.g_02189, Syao.g_02188	Prae.g_01825
OG0000031	Syao.g_01083	Prae.g_01402, Prae.g_01391
OG0000033	Syao.g_02507	Prae.g_01396, Prae.g_00172
OG0000035	Syao.g_01486	Prae.g_01459
OG0000037	Syao.g_00374	Prae.g_00108
OG0000038	Syao.g_02440, Syao.g_02442	Prae.g_01865
OG0000039	Syao.g_00704	Prae.g_00660
OG0000042	Syao.g_00019, Syao.g_01941	Prae.g_01822
OG0000045	Syao.g_01214, Syao.g_00148	Prae.g_00371
OG0000047	Syao.g_01899	Prae.g_00331
OG0000048	Syao.g_02077	Prae.g_00374
OG0000051	Syao.g_01261	Prae.g_01294, Prae.g_01602
OG0000052	Syao.g_01085	Prae.g_01416
OG0000053	Syao.g_00067	Prae.g_01479
OG0000058	Syao.g_01080	Prae.g_01406
