Orthogroup	Syao	Prbb
OG0000001	Syao.g_00314	Prbb.g_01611, Prbb.g_01883, Prbb.g_00474, Prbb.g_01915, Prbb.g_01157
OG0000004	Syao.g_02374	Prbb.g_01450
OG0000004	Syao.g_01271, Syao.g_01007	Prbb.g_00288
OG0000005	Syao.g_01680	Prbb.g_01393
OG0000005	Syao.g_01578	Prbb.g_01766
OG0000006	Syao.g_01518	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560
OG0000007	Syao.g_00105	Prbb.g_00501
OG0000007	Syao.g_01554	Prbb.g_01823
OG0000008	Syao.g_01321	Prbb.g_01885
OG0000010	Syao.g_02683	Prbb.g_01072, Prbb.g_00477
OG0000011	Syao.g_01282	Prbb.g_01229, Prbb.g_01368, Prbb.g_01199, Prbb.g_01137, Prbb.g_01138
OG0000012	Syao.g_01193	Prbb.g_01111
OG0000013	Syao.g_01222, Syao.g_01844, Syao.g_01910	Prbb.g_00378
OG0000014	Syao.g_02027	Prbb.g_00357
OG0000015	Syao.g_00302	Prbb.g_01158
OG0000016	Syao.g_01955	Prbb.g_00014
OG0000017	Syao.g_00997	Prbb.g_00605
OG0000018	Syao.g_00071	Prbb.g_01539, Prbb.g_00812
OG0000019	Syao.g_02108	Prbb.g_00761
OG0000021	Syao.g_01002	Prbb.g_01914, Prbb.g_00099
OG0000022	Syao.g_01218	Prbb.g_01231, Prbb.g_01258
OG0000023	Syao.g_01266	Prbb.g_01411, Prbb.g_01373
OG0000025	Syao.g_00436, Syao.g_00437	Prbb.g_00052, Prbb.g_00818
OG0000026	Syao.g_02234	Prbb.g_00032
OG0000027	Syao.g_00202	Prbb.g_01375
OG0000028	Syao.g_02012	Prbb.g_01635
OG0000030	Syao.g_02189, Syao.g_02188	Prbb.g_02073
OG0000031	Syao.g_01083	Prbb.g_00387
OG0000032	Syao.g_00090	Prbb.g_01723
OG0000033	Syao.g_02507	Prbb.g_00226
OG0000035	Syao.g_01486	Prbb.g_01686
OG0000037	Syao.g_00374	Prbb.g_00164
OG0000038	Syao.g_02440, Syao.g_02442	Prbb.g_02129
OG0000039	Syao.g_00704	Prbb.g_00692
OG0000042	Syao.g_00019, Syao.g_01941	Prbb.g_02069
OG0000045	Syao.g_01214, Syao.g_00148	Prbb.g_01094
OG0000046	Syao.g_01845, Syao.g_01909	Prbb.g_00379
OG0000047	Syao.g_01899	Prbb.g_00421, Prbb.g_00386
OG0000048	Syao.g_02077	Prbb.g_00325
OG0000051	Syao.g_01261	Prbb.g_01383, Prbb.g_01391
OG0000052	Syao.g_01972	Prbb.g_00112
OG0000053	Syao.g_00067	Prbb.g_01705
OG0000055	Syao.g_00498	Prbb.g_01897
OG0000058	Syao.g_01080	Prbb.g_00851
