Orthogroup	Syao	Syat
OG0000001	Syao.g_00314	Syat.g_02910, Syat.g_02911
OG0000001	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558	Syat.g_02908, Syat.g_02909
OG0000005	Syao.g_01680	Syat.g_03065
OG0000005	Syao.g_01578	Syat.g_03105
OG0000005	Syao.g_01210	Syat.g_01038
OG0000006	Syao.g_00919	Syat.g_00371
OG0000007	Syao.g_00105	Syat.g_03191
OG0000007	Syao.g_01554	Syat.g_03124
OG0000008	Syao.g_01321	Syat.g_02627
OG0000009	Syao.g_02598	Syat.g_01567
OG0000010	Syao.g_02683	Syat.g_01372
OG0000012	Syao.g_01335	Syat.g_03313
OG0000012	Syao.g_01045	Syat.g_02642
OG0000012	Syao.g_00201	Syat.g_02987, Syat.g_00139, Syat.g_00143
OG0000013	Syao.g_01222	Syat.g_01625, Syat.g_01016
OG0000013	Syao.g_01844	Syat.g_01027
OG0000014	Syao.g_02027	Syat.g_02104
OG0000015	Syao.g_02339	Syat.g_00775, Syat.g_01677
OG0000016	Syao.g_01955	Syat.g_02329
OG0000017	Syao.g_00997	Syat.g_00015
OG0000018	Syao.g_00071	Syat.g_01334
OG0000019	Syao.g_02108	Syat.g_01876
OG0000021	Syao.g_01002	Syat.g_00964
OG0000022	Syao.g_01218	Syat.g_00210
OG0000025	Syao.g_00436, Syao.g_00437	Syat.g_00719
OG0000026	Syao.g_02234	Syat.g_02306
OG0000027	Syao.g_00202	Syat.g_00850
OG0000028	Syao.g_02012	Syat.g_02126
OG0000030	Syao.g_02189	Syat.g_00307
OG0000030	Syao.g_02188	Syat.g_00308
OG0000031	Syao.g_02008	Syat.g_02131
OG0000031	Syao.g_01083	Syat.g_03199, Syat.g_02243
OG0000032	Syao.g_00090	Syat.g_01354
OG0000032	Syao.g_01983	Syat.g_02237
OG0000033	Syao.g_02507	Syat.g_02858
OG0000035	Syao.g_01486	Syat.g_01226
OG0000038	Syao.g_02440	Syat.g_02688
OG0000038	Syao.g_02442	Syat.g_02686
OG0000039	Syao.g_00704	Syat.g_01278
OG0000040	Syao.g_00711	Syat.g_02551
OG0000041	Syao.g_00509	Syat.g_00785
OG0000042	Syao.g_00019	Syat.g_00223
OG0000042	Syao.g_01941	Syat.g_02222
OG0000045	Syao.g_01214, Syao.g_00148	Syat.g_00935
OG0000046	Syao.g_01845	Syat.g_01626, Syat.g_01026
OG0000048	Syao.g_02077	Syat.g_02046
OG0000052	Syao.g_01972	Syat.g_02140
OG0000053	Syao.g_00067	Syat.g_01330
OG0000054	Syao.g_00295	Syat.g_00987
OG0000054	Syao.g_00625	Syat.g_03390
OG0000055	Syao.g_00498	Syat.g_00693
OG0000058	Syao.g_01080	Syat.g_01189
OG0000058	Syao.g_01978	Syat.g_02133, Syat.g_02238
OG0000059	Syao.g_01801	Syat.g_01832
OG0000060	Syao.g_00312	Syat.g_01047
OG0000061	Syao.g_00123	Syat.g_03260
OG0000062	Syao.g_01576	Syat.g_03107
OG0000063	Syao.g_02230	Syat.g_02303
OG0000064	Syao.g_01462, Syao.g_02605	Syat.g_01568
OG0000065	Syao.g_02600	Syat.g_01571
OG0000066	Syao.g_01422	Syat.g_03283
OG0000067	Syao.g_00756	Syat.g_00479
OG0000068	Syao.g_00868	Syat.g_00085
OG0000069	Syao.g_01265	Syat.g_00090
OG0000069	Syao.g_01460	Syat.g_00879
OG0000070	Syao.g_00330	Syat.g_01032, Syat.g_01040
OG0000071	Syao.g_01433	Syat.g_01153
OG0000072	Syao.g_02509	Syat.g_02856
OG0000072	Syao.g_01749	Syat.g_01597
OG0000073	Syao.g_00103	Syat.g_03201
OG0000075	Syao.g_02257	Syat.g_02497
OG0000076	Syao.g_01949	Syat.g_02206
OG0000077	Syao.g_02629	Syat.g_01481
OG0000079	Syao.g_02105	Syat.g_01879
OG0000080	Syao.g_02269	Syat.g_01200
OG0000082	Syao.g_01035	Syat.g_00035
OG0000085	Syao.g_01569	Syat.g_03113
OG0000086	Syao.g_01240	Syat.g_01531, Syat.g_00798, Syat.g_00635
OG0000087	Syao.g_02555	Syat.g_02912
OG0000088	Syao.g_02503	Syat.g_02862
OG0000089	Syao.g_01716	Syat.g_02953
OG0000090	Syao.g_01412	Syat.g_03270
OG0000092	Syao.g_00656	Syat.g_00825
OG0000094	Syao.g_00458	Syat.g_00698
OG0000095	Syao.g_00331	Syat.g_00808
OG0000097	Syao.g_00973	Syat.g_00535
OG0000098	Syao.g_01374	Syat.g_03281
OG0000099	Syao.g_02019	Syat.g_02130
OG0000100	Syao.g_00787	Syat.g_00517
OG0000101	Syao.g_01840	Syat.g_01661
OG0000102	Syao.g_01945	Syat.g_00974
OG0000103	Syao.g_02340	Syat.g_02399
OG0000105	Syao.g_02071, Syao.g_02072	Syat.g_02052
OG0000106	Syao.g_01385	Syat.g_00957
OG0000107	Syao.g_01935	Syat.g_01862
OG0000108	Syao.g_00028	Syat.g_03170
OG0000109	Syao.g_00110	Syat.g_03187
OG0000110	Syao.g_01051	Syat.g_00049
OG0000111	Syao.g_00378	Syat.g_00816
OG0000112	Syao.g_00683, Syao.g_00303	Syat.g_00593
OG0000113	Syao.g_00782	Syat.g_00509
OG0000114	Syao.g_00965	Syat.g_00426
OG0000115	Syao.g_00065	Syat.g_01328
OG0000116	Syao.g_00137	Syat.g_02641
OG0000117	Syao.g_00169	Syat.g_00224
OG0000118	Syao.g_01475	Syat.g_01168
OG0000120	Syao.g_02009	Syat.g_02132
OG0000121	Syao.g_01489	Syat.g_01223
OG0000123	Syao.g_01832	Syat.g_01653
OG0000124	Syao.g_02179	Syat.g_02231
OG0000127	Syao.g_02375, Syao.g_01143	Syat.g_00175
OG0000128	Syao.g_02149	Syat.g_02331
OG0000129	Syao.g_02434	Syat.g_02693
OG0000130	Syao.g_02617	Syat.g_01469
OG0000131	Syao.g_02480	Syat.g_02898
OG0000132	Syao.g_02501	Syat.g_02864
OG0000133	Syao.g_00678	Syat.g_00588
OG0000134	Syao.g_01719	Syat.g_02956
OG0000135	Syao.g_00147	Syat.g_02501
OG0000136	Syao.g_01614, Syao.g_01613	Syat.g_01292
OG0000137	Syao.g_02682	Syat.g_01371
OG0000138	Syao.g_00108	Syat.g_03188
OG0000139	Syao.g_01418	Syat.g_03276
OG0000140	Syao.g_01373, Syao.g_01372	Syat.g_03280
OG0000141	Syao.g_01202	Syat.g_03398
OG0000142	Syao.g_00894	Syat.g_00117
OG0000143	Syao.g_00898	Syat.g_00130
OG0000145	Syao.g_00102	Syat.g_03202
OG0000146	Syao.g_00684, Syao.g_00304	Syat.g_00594
OG0000147	Syao.g_00305, Syao.g_00685	Syat.g_00595
OG0000148	Syao.g_00776	Syat.g_00503
OG0000149	Syao.g_00534	Syat.g_00747
OG0000150	Syao.g_01203	Syat.g_03399
OG0000151	Syao.g_00975	Syat.g_00801, Syat.g_00440
OG0000152	Syao.g_00674	Syat.g_00578
OG0000153	Syao.g_00818, Syao.g_01176	Syat.g_00542
OG0000154	Syao.g_00447	Syat.g_00708
OG0000155	Syao.g_00178	Syat.g_00287
OG0000156	Syao.g_00151	Syat.g_03228
OG0000157	Syao.g_00152	Syat.g_02012, Syat.g_03227
OG0000158	Syao.g_02267	Syat.g_02163
OG0000159	Syao.g_02276	Syat.g_01187
OG0000160	Syao.g_01488	Syat.g_01224
OG0000161	Syao.g_01494	Syat.g_01180
OG0000162	Syao.g_01515	Syat.g_01281
OG0000163	Syao.g_01745	Syat.g_02979
OG0000164	Syao.g_01663	Syat.g_03040
