Orthogroup	Syao	Prah
OG0000001	Syao.g_00314	Prah.g_00324, Prah.g_01343, Prah.g_01159
OG0000001	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558	Prah.g_02270
OG0000004	Syao.g_02374	Prah.g_01022
OG0000004	Syao.g_01271, Syao.g_01007	Prah.g_01413
OG0000005	Syao.g_01578	Prah.g_01652
OG0000006	Syao.g_01518	Prah.g_00475, Prah.g_01767
OG0000007	Syao.g_00105	Prah.g_01546
OG0000007	Syao.g_01554	Prah.g_01676
OG0000008	Syao.g_01321	Prah.g_00969
OG0000009	Syao.g_02598	Prah.g_00432, Prah.g_01895
OG0000010	Syao.g_02683	Prah.g_00311
OG0000011	Syao.g_01282	Prah.g_01084
OG0000012	Syao.g_01193	Prah.g_00524
OG0000013	Syao.g_01222, Syao.g_01844, Syao.g_01910	Prah.g_01956
OG0000014	Syao.g_02027	Prah.g_02171
OG0000015	Syao.g_00302	Prah.g_01155, Prah.g_00576
OG0000016	Syao.g_01955	Prah.g_00015
OG0000017	Syao.g_01064	Prah.g_01397
OG0000017	Syao.g_00997	Prah.g_01405
OG0000018	Syao.g_00071	Prah.g_00378
OG0000019	Syao.g_02108	Prah.g_02086
OG0000021	Syao.g_01002	Prah.g_01108, Prah.g_01112, Prah.g_01117, Prah.g_01410
OG0000022	Syao.g_01218	Prah.g_00170, Prah.g_01209
OG0000023	Syao.g_01266	Prah.g_00688
OG0000025	Syao.g_00436, Syao.g_00437	Prah.g_00604
OG0000026	Syao.g_02234	Prah.g_00038
OG0000028	Syao.g_02012	Prah.g_02184
OG0000030	Syao.g_02189	Prah.g_00132
OG0000030	Syao.g_02188	Prah.g_00131
OG0000031	Syao.g_01083	Prah.g_00091
OG0000032	Syao.g_00090	Prah.g_00358
OG0000032	Syao.g_01984, Syao.g_01983	Prah.g_02196
OG0000033	Syao.g_02507	Prah.g_02307
OG0000035	Syao.g_01486	Prah.g_00408
OG0000036	Syao.g_00572	Prah.g_01133, Prah.g_01478, Prah.g_00393, Prah.g_01061, Prah.g_01606
OG0000037	Syao.g_00374	Prah.g_01901
OG0000038	Syao.g_02440	Prah.g_02494
OG0000038	Syao.g_02442	Prah.g_02496
OG0000042	Syao.g_00019, Syao.g_01941	Prah.g_00135, Prah.g_01256
OG0000045	Syao.g_01214, Syao.g_00148	Prah.g_01837
OG0000046	Syao.g_01845, Syao.g_01909	Prah.g_01955
OG0000047	Syao.g_01899	Prah.g_00321, Prah.g_00322, Prah.g_00353
OG0000048	Syao.g_02077	Prah.g_02122
OG0000051	Syao.g_01261	Prah.g_01166
OG0000052	Syao.g_01085, Syao.g_02520	Prah.g_02219
OG0000053	Syao.g_00067	Prah.g_00381
OG0000058	Syao.g_01978	Prah.g_02195
OG0000059	Syao.g_01801	Prah.g_02043
OG0000060	Syao.g_00312	Prah.g_01156
OG0000061	Syao.g_00123	Prah.g_01322, Prah.g_00104
OG0000063	Syao.g_02230	Prah.g_00042
OG0000065	Syao.g_02600	Prah.g_01897
OG0000066	Syao.g_01422	Prah.g_01485
OG0000067	Syao.g_00756	Prah.g_00667
OG0000068	Syao.g_00868, Syao.g_00036	Prah.g_01576
OG0000070	Syao.g_00330	Prah.g_00252
OG0000071	Syao.g_01433	Prah.g_01364
OG0000072	Syao.g_02509, Syao.g_01749	Prah.g_02309
OG0000073	Syao.g_00103	Prah.g_01544
OG0000075	Syao.g_02257	Prah.g_02232
OG0000076	Syao.g_01949	Prah.g_00150
OG0000079	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105	Prah.g_02090, Prah.g_01868
OG0000082	Syao.g_01035	Prah.g_01427
OG0000084	Syao.g_02606	Prah.g_00412
OG0000085	Syao.g_01569	Prah.g_01666
OG0000086	Syao.g_02653, Syao.g_01240	Prah.g_01866
OG0000087	Syao.g_02555	Prah.g_02268
OG0000088	Syao.g_02503	Prah.g_00957, Prah.g_02304
OG0000089	Syao.g_01716	Prah.g_00205
OG0000090	Syao.g_01412	Prah.g_01501
OG0000091	Syao.g_00902	Prah.g_00493
OG0000093	Syao.g_00739	Prah.g_00692
OG0000095	Syao.g_00331	Prah.g_00915
OG0000098	Syao.g_01374	Prah.g_00327
OG0000099	Syao.g_02019	Prah.g_02191
OG0000100	Syao.g_00787	Prah.g_01791, Prah.g_00636
OG0000102	Syao.g_01945	Prah.g_00144
OG0000103	Syao.g_02340	Prah.g_02586
OG0000104	Syao.g_02157	Prah.g_02600
OG0000105	Syao.g_02071, Syao.g_02072	Prah.g_02126
OG0000106	Syao.g_01385	Prah.g_01660
OG0000107	Syao.g_01935	Prah.g_02072
OG0000108	Syao.g_00028	Prah.g_01566
OG0000109	Syao.g_00110	Prah.g_01550
OG0000110	Syao.g_01051	Prah.g_01439
OG0000111	Syao.g_00378	Prah.g_01028
OG0000112	Syao.g_00683, Syao.g_00303	Prah.g_00788
OG0000113	Syao.g_00782	Prah.g_00641
OG0000114	Syao.g_00965	Prah.g_00733
OG0000115	Syao.g_00065, Syao.g_01464	Prah.g_00383
OG0000116	Syao.g_00137	Prah.g_01337
OG0000117	Syao.g_00169	Prah.g_01257
OG0000118	Syao.g_01475	Prah.g_01378
