Orthogroup	Syao	Prac
OG0000001	Syao.g_00314	Prac.g_00202, Prac.g_00924, Prac.g_00925
OG0000004	Syao.g_02374	Prac.g_00676
OG0000004	Syao.g_01271, Syao.g_01007	Prac.g_01698
OG0000005	Syao.g_01680	Prac.g_00612
OG0000005	Syao.g_01578	Prac.g_00335
OG0000006	Syao.g_01518	Prac.g_01689
OG0000007	Syao.g_00105	Prac.g_00874
OG0000007	Syao.g_01554	Prac.g_00625
OG0000009	Syao.g_02598	Prac.g_01826
OG0000010	Syao.g_02683	Prac.g_01592, Prac.g_01248, Prac.g_01070
OG0000011	Syao.g_01282	Prac.g_00152, Prac.g_00142
OG0000012	Syao.g_01193	Prac.g_00748
OG0000013	Syao.g_01222, Syao.g_01844, Syao.g_01910	Prac.g_01604
OG0000014	Syao.g_02027	Prac.g_01625
OG0000015	Syao.g_00302	Prac.g_00898
OG0000016	Syao.g_01955	Prac.g_01934
OG0000017	Syao.g_00997	Prac.g_00773
OG0000018	Syao.g_00071	Prac.g_01004, Prac.g_01448
OG0000019	Syao.g_02108	Prac.g_01681, Prac.g_01496
OG0000021	Syao.g_01002	Prac.g_01169
OG0000022	Syao.g_01218	Prac.g_01510, Prac.g_01022
OG0000023	Syao.g_01266	Prac.g_01174
OG0000025	Syao.g_00436, Syao.g_00437	Prac.g_01441, Prac.g_01600
OG0000026	Syao.g_02234	Prac.g_01916, Prac.g_01241
OG0000027	Syao.g_00202	Prac.g_01074
OG0000028	Syao.g_02012	Prac.g_01611, Prac.g_00145
OG0000030	Syao.g_02189, Syao.g_02188	Prac.g_00050
OG0000031	Syao.g_01083	Prac.g_00249
OG0000032	Syao.g_01984, Syao.g_01983	Prac.g_00242
OG0000033	Syao.g_02507	Prac.g_01761
OG0000035	Syao.g_01486	Prac.g_00411
OG0000037	Syao.g_00374	Prac.g_01822
OG0000038	Syao.g_02440, Syao.g_02442	Prac.g_00090
OG0000039	Syao.g_00704	Prac.g_00685
OG0000042	Syao.g_00019, Syao.g_01941	Prac.g_00048
OG0000045	Syao.g_01214, Syao.g_00148	Prac.g_01162
OG0000047	Syao.g_01899	Prac.g_01127, Prac.g_01601
OG0000048	Syao.g_02077	Prac.g_01159
OG0000053	Syao.g_00067	Prac.g_01901, Prac.g_00391
OG0000058	Syao.g_01080	Prac.g_00434
OG0000059	Syao.g_01959	Prac.g_00500
OG0000061	Syao.g_00123	Prac.g_00985
OG0000063	Syao.g_02230	Prac.g_01913, Prac.g_01914, Prac.g_00908
OG0000065	Syao.g_02600	Prac.g_01824
OG0000066	Syao.g_01422	Prac.g_00833
OG0000067	Syao.g_00756	Prac.g_01475
OG0000068	Syao.g_00868, Syao.g_00036	Prac.g_00217
OG0000069	Syao.g_00313	Prac.g_00890, Prac.g_00300
OG0000070	Syao.g_00330	Prac.g_01097
OG0000071	Syao.g_01433	Prac.g_00175
OG0000072	Syao.g_02509, Syao.g_01749	Prac.g_01759
OG0000073	Syao.g_00103	Prac.g_00872
OG0000075	Syao.g_02257	Prac.g_00017
OG0000076	Syao.g_01949	Prac.g_01904, Prac.g_00041
OG0000082	Syao.g_01035	Prac.g_00788
OG0000084	Syao.g_02606	Prac.g_00415
OG0000085	Syao.g_01569	Prac.g_00632
OG0000086	Syao.g_02653, Syao.g_01240	Prac.g_01843
OG0000087	Syao.g_02555	Prac.g_01792
OG0000088	Syao.g_02503	Prac.g_01764
OG0000089	Syao.g_01716	Prac.g_01178
OG0000090	Syao.g_01412	Prac.g_00839
OG0000091	Syao.g_00902	Prac.g_00729
OG0000092	Syao.g_00656	Prac.g_01379, Prac.g_00003
OG0000094	Syao.g_00458	Prac.g_01275
OG0000097	Syao.g_00973	Prac.g_00944
OG0000098	Syao.g_01374	Prac.g_00199
OG0000099	Syao.g_02019	Prac.g_00256
OG0000100	Syao.g_00787	Prac.g_00337
OG0000101	Syao.g_01840	Prac.g_00548
OG0000102	Syao.g_01945	Prac.g_00046
OG0000103	Syao.g_02340	Prac.g_00123
OG0000104	Syao.g_02157	Prac.g_00131
OG0000105	Syao.g_02071, Syao.g_02072	Prac.g_01657
OG0000106	Syao.g_01385	Prac.g_01163
OG0000107	Syao.g_01935	Prac.g_01148
OG0000108	Syao.g_00028	Prac.g_01064
OG0000109	Syao.g_00110	Prac.g_01050
OG0000110	Syao.g_01051	Prac.g_00798
OG0000111	Syao.g_00378	Prac.g_00672
OG0000112	Syao.g_00683, Syao.g_00303	Prac.g_01507
OG0000113	Syao.g_00782	Prac.g_01453
OG0000114	Syao.g_00965	Prac.g_01384
OG0000115	Syao.g_00065, Syao.g_01464	Prac.g_01040
OG0000116	Syao.g_00137	Prac.g_00995
OG0000117	Syao.g_00169	Prac.g_01955
OG0000118	Syao.g_01475	Prac.g_00187
OG0000120	Syao.g_02009	Prac.g_00248
OG0000121	Syao.g_01489	Prac.g_00409
OG0000122	Syao.g_01247	Prac.g_00371
OG0000123	Syao.g_01832	Prac.g_00554
OG0000124	Syao.g_02179	Prac.g_00056
OG0000125	Syao.g_02444	Prac.g_00092
OG0000126	Syao.g_02198	Prac.g_00130
OG0000128	Syao.g_02149	Prac.g_01936
OG0000129	Syao.g_02434	Prac.g_01888
OG0000130	Syao.g_02617	Prac.g_01862
OG0000131	Syao.g_02480	Prac.g_01785
OG0000132	Syao.g_02501	Prac.g_01766
OG0000133	Syao.g_00678	Prac.g_01609
OG0000134	Syao.g_01719	Prac.g_01177
OG0000135	Syao.g_00147	Prac.g_01150
OG0000136	Syao.g_01614, Syao.g_01613	Prac.g_01106
OG0000137	Syao.g_02682	Prac.g_01069
OG0000138	Syao.g_00108	Prac.g_01049
OG0000139	Syao.g_02005	Prac.g_00835
OG0000140	Syao.g_01373, Syao.g_01372	Prac.g_00834
OG0000141	Syao.g_01202	Prac.g_00764
OG0000142	Syao.g_00894	Prac.g_00736
OG0000143	Syao.g_00898	Prac.g_00732
OG0000145	Syao.g_00102	Prac.g_01508
OG0000146	Syao.g_00684, Syao.g_00304	Prac.g_01506
OG0000147	Syao.g_00305, Syao.g_00685	Prac.g_01505
OG0000148	Syao.g_00776	Prac.g_01459
OG0000149	Syao.g_00534	Prac.g_01429
OG0000150	Syao.g_01203	Prac.g_01421
OG0000151	Syao.g_00975	Prac.g_01374
OG0000152	Syao.g_00674	Prac.g_01327
OG0000153	Syao.g_00818, Syao.g_01176	Prac.g_01308
OG0000154	Syao.g_00447	Prac.g_01282
OG0000155	Syao.g_00178	Prac.g_00965
OG0000156	Syao.g_00151	Prac.g_00164
OG0000157	Syao.g_00152	Prac.g_00165
OG0000158	Syao.g_02267	Prac.g_00447
OG0000159	Syao.g_02276	Prac.g_00452
OG0000160	Syao.g_01488	Prac.g_00410
OG0000161	Syao.g_01494	Prac.g_00404
OG0000162	Syao.g_01515	Prac.g_00398
OG0000163	Syao.g_01745	Prac.g_00364
OG0000164	Syao.g_01663	Prac.g_00601
OG0000165	Syao.g_01655	Prac.g_00594
OG0000166	Syao.g_01790	Prac.g_00512
OG0000167	Syao.g_01960	Prac.g_00015
OG0000168	Syao.g_02128	Prac.g_00025
OG0000169	Syao.g_02139	Prac.g_00035
OG0000170	Syao.g_02148	Prac.g_00037
OG0000171	Syao.g_02181	Prac.g_00055
OG0000172	Syao.g_02170	Prac.g_00063
OG0000173	Syao.g_02212	Prac.g_00078
OG0000174	Syao.g_02364, Syao.g_02355	Prac.g_00105
OG0000175	Syao.g_02327, Syao.g_00308	Prac.g_00115
OG0000176	Syao.g_02165	Prac.g_01943
OG0000177	Syao.g_02156	Prac.g_01942
OG0000178	Syao.g_02155	Prac.g_01941
OG0000179	Syao.g_02250	Prac.g_01931
OG0000180	Syao.g_02249	Prac.g_01930
OG0000181	Syao.g_02248	Prac.g_01929
OG0000182	Syao.g_02247	Prac.g_01928
OG0000183	Syao.g_02243	Prac.g_01924
OG0000184	Syao.g_02423	Prac.g_01885
OG0000185	Syao.g_02410	Prac.g_01882
OG0000186	Syao.g_02613	Prac.g_01867
OG0000187	Syao.g_02615	Prac.g_01866
OG0000188	Syao.g_02637	Prac.g_01849
OG0000189	Syao.g_02672	Prac.g_01835
OG0000190	Syao.g_01015	Prac.g_01834
OG0000191	Syao.g_02573	Prac.g_01814
OG0000192	Syao.g_02579	Prac.g_01810
OG0000193	Syao.g_02481	Prac.g_01784
OG0000194	Syao.g_02484	Prac.g_01781
OG0000195	Syao.g_02486	Prac.g_01779
OG0000196	Syao.g_02498	Prac.g_01769
OG0000197	Syao.g_02499	Prac.g_01768
OG0000198	Syao.g_02500	Prac.g_01767
OG0000199	Syao.g_02508	Prac.g_01760
OG0000200	Syao.g_02524	Prac.g_01746
OG0000201	Syao.g_02540	Prac.g_01738
OG0000202	Syao.g_02454	Prac.g_01737
OG0000203	Syao.g_02455	Prac.g_01736
OG0000204	Syao.g_02456	Prac.g_01735
OG0000205	Syao.g_02464	Prac.g_01728
OG0000206	Syao.g_02469	Prac.g_01723
OG0000207	Syao.g_02471	Prac.g_01721
OG0000208	Syao.g_02472	Prac.g_01720
OG0000209	Syao.g_02394	Prac.g_01711
OG0000210	Syao.g_02395	Prac.g_01710
OG0000211	Syao.g_01700	Prac.g_01697
OG0000212	Syao.g_01710	Prac.g_01690
OG0000213	Syao.g_02098	Prac.g_01674
OG0000214	Syao.g_02081	Prac.g_01664
OG0000215	Syao.g_02050	Prac.g_01639
OG0000216	Syao.g_02045	Prac.g_01637
OG0000217	Syao.g_02041	Prac.g_01634
OG0000218	Syao.g_02039	Prac.g_01632
OG0000219	Syao.g_02038	Prac.g_01631
OG0000220	Syao.g_02037	Prac.g_01630
OG0000221	Syao.g_02034	Prac.g_01629
OG0000222	Syao.g_02023	Prac.g_01621
OG0000223	Syao.g_00291	Prac.g_01608
OG0000224	Syao.g_01973	Prac.g_01606
OG0000225	Syao.g_01751	Prac.g_01188
OG0000226	Syao.g_01758	Prac.g_01184
OG0000227	Syao.g_01760	Prac.g_01182
OG0000228	Syao.g_01715	Prac.g_01179
OG0000229	Syao.g_01736	Prac.g_01111
OG0000230	Syao.g_01738	Prac.g_01109
OG0000231	Syao.g_01513	Prac.g_01098
OG0000232	Syao.g_00057	Prac.g_01089
OG0000233	Syao.g_02698	Prac.g_01082
OG0000234	Syao.g_02680	Prac.g_01068
OG0000235	Syao.g_00029	Prac.g_01065
OG0000236	Syao.g_00111	Prac.g_01051
OG0000237	Syao.g_00166	Prac.g_00865
OG0000238	Syao.g_00161	Prac.g_00859
OG0000239	Syao.g_01398	Prac.g_00847
OG0000240	Syao.g_01399	Prac.g_00846
OG0000241	Syao.g_00887	Prac.g_00842
OG0000242	Syao.g_01410	Prac.g_00840
OG0000243	Syao.g_00873	Prac.g_00829
OG0000244	Syao.g_00865	Prac.g_00826
OG0000245	Syao.g_00863	Prac.g_00824
OG0000246	Syao.g_00859	Prac.g_00820
OG0000247	Syao.g_00847	Prac.g_00810
OG0000248	Syao.g_00844	Prac.g_00808
OG0000249	Syao.g_00842	Prac.g_00806
OG0000250	Syao.g_00835	Prac.g_00801
OG0000251	Syao.g_01026	Prac.g_00782
OG0000252	Syao.g_01020	Prac.g_00778
OG0000253	Syao.g_01003	Prac.g_00777
OG0000254	Syao.g_01053	Prac.g_00760
OG0000255	Syao.g_01009	Prac.g_00754
OG0000256	Syao.g_01328	Prac.g_00744
OG0000257	Syao.g_00884	Prac.g_00741
OG0000258	Syao.g_00907	Prac.g_00728
OG0000259	Syao.g_00933, Syao.g_00932	Prac.g_00711
OG0000260	Syao.g_00936	Prac.g_00708
OG0000261	Syao.g_00941	Prac.g_00706
OG0000262	Syao.g_00946	Prac.g_00702
OG0000263	Syao.g_00247	Prac.g_00690
OG0000264	Syao.g_00699	Prac.g_00680
OG0000265	Syao.g_00049	Prac.g_01560
OG0000266	Syao.g_00480	Prac.g_01550
OG0000267	Syao.g_00589	Prac.g_01539
OG0000268	Syao.g_00588	Prac.g_01538
OG0000269	Syao.g_00751	Prac.g_01480
OG0000270	Syao.g_00754	Prac.g_01477
OG0000271	Syao.g_00762	Prac.g_01469
OG0000272	Syao.g_00763	Prac.g_01468
OG0000273	Syao.g_00791	Prac.g_01445
OG0000274	Syao.g_00792	Prac.g_01444
OG0000275	Syao.g_00438	Prac.g_01442
OG0000276	Syao.g_00558	Prac.g_01437
OG0000277	Syao.g_00557	Prac.g_01436
OG0000278	Syao.g_00554	Prac.g_01433
OG0000279	Syao.g_00529	Prac.g_01426
OG0000280	Syao.g_00608	Prac.g_01425
OG0000281	Syao.g_01377	Prac.g_01420
OG0000282	Syao.g_00967	Prac.g_01382
OG0000283	Syao.g_00640	Prac.g_01350
OG0000284	Syao.g_00634	Prac.g_01345
OG0000285	Syao.g_00706	Prac.g_01340
OG0000286	Syao.g_00675	Prac.g_01328
OG0000287	Syao.g_00825	Prac.g_01311
OG0000288	Syao.g_00446	Prac.g_01283
OG0000289	Syao.g_00461	Prac.g_01272
OG0000290	Syao.g_00428	Prac.g_01259
OG0000291	Syao.g_00333	Prac.g_01257
OG0000292	Syao.g_02196	Prac.g_01207
OG0000293	Syao.g_00136	Prac.g_00994
OG0000294	Syao.g_00135	Prac.g_00993
OG0000295	Syao.g_00186	Prac.g_00973
OG0000296	Syao.g_00184	Prac.g_00971
OG0000299	Syao.g_00231	Prac.g_00945
OG0000301	Syao.g_00272, Syao.g_00273	Prac.g_00941
OG0000302	Syao.g_00271	Prac.g_00939
OG0000303	Syao.g_00262	Prac.g_00932
OG0000304	Syao.g_00256	Prac.g_00928
OG0000305	Syao.g_00388	Prac.g_00209
OG0000306	Syao.g_01216	Prac.g_00212
OG0000307	Syao.g_00045	Prac.g_00226
OG0000308	Syao.g_00047	Prac.g_00227
OG0000309	Syao.g_02705	Prac.g_00231
OG0000310	Syao.g_01530	Prac.g_00426
OG0000311	Syao.g_01533	Prac.g_00424
OG0000312	Syao.g_01538	Prac.g_00421
OG0000313	Syao.g_01491	Prac.g_00407
OG0000314	Syao.g_00078	Prac.g_00384
OG0000315	Syao.g_00088	Prac.g_00374
OG0000316	Syao.g_01602	Prac.g_00354
OG0000317	Syao.g_01560	Prac.g_00627
OG0000318	Syao.g_01553	Prac.g_00624
OG0000319	Syao.g_01678	Prac.g_00611
OG0000320	Syao.g_01676	Prac.g_00609
OG0000321	Syao.g_01675	Prac.g_00608
OG0000322	Syao.g_01674	Prac.g_00607
OG0000323	Syao.g_01661	Prac.g_00598
