Orthogroup	Syao	Prbl
OG0000001	Syao.g_00314	Prbl.g_00725, Prbl.g_00121, Prbl.g_02599
OG0000001	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558	Prbl.g_00808, Prbl.g_02598
OG0000004	Syao.g_02374	Prbl.g_00021
OG0000004	Syao.g_01271, Syao.g_01007	Prbl.g_01771
OG0000005	Syao.g_01578	Prbl.g_00419
OG0000006	Syao.g_01518	Prbl.g_02601
OG0000007	Syao.g_00105	Prbl.g_00531
OG0000007	Syao.g_01554	Prbl.g_00394
OG0000008	Syao.g_01321	Prbl.g_01854
OG0000009	Syao.g_02598	Prbl.g_00155, Prbl.g_00554
OG0000010	Syao.g_02683	Prbl.g_01341
OG0000011	Syao.g_01282	Prbl.g_01822
OG0000012	Syao.g_01193	Prbl.g_01618
OG0000013	Syao.g_01222, Syao.g_01844, Syao.g_01910	Prbl.g_01183
OG0000014	Syao.g_02027	Prbl.g_01416
OG0000015	Syao.g_00302	Prbl.g_01566
OG0000017	Syao.g_01064	Prbl.g_01755
OG0000017	Syao.g_00997	Prbl.g_01763
OG0000018	Syao.g_00071	Prbl.g_00694
OG0000019	Syao.g_02108	Prbl.g_01097, Prbl.g_01509
OG0000021	Syao.g_01002	Prbl.g_01531, Prbl.g_01768
OG0000022	Syao.g_01218	Prbl.g_01310, Prbl.g_01072
OG0000023	Syao.g_01266	Prbl.g_02355
OG0000025	Syao.g_00436, Syao.g_00437	Prbl.g_01539
OG0000026	Syao.g_02234	Prbl.g_01977
OG0000028	Syao.g_02012	Prbl.g_00900
OG0000030	Syao.g_02189	Prbl.g_02061
OG0000030	Syao.g_02188	Prbl.g_02060
OG0000032	Syao.g_00090	Prbl.g_00712
OG0000032	Syao.g_01984, Syao.g_01983	Prbl.g_00889
OG0000033	Syao.g_02507	Prbl.g_00278
OG0000035	Syao.g_01486	Prbl.g_00242
