Orthogroup	Syao	Prbi
OG0000001	Syao.g_00314	Prbi.g_01424, Prbi.g_01542, Prbi.g_01763, Prbi.g_01270
OG0000004	Syao.g_02374	Prbi.g_00698
OG0000004	Syao.g_01271, Syao.g_01007	Prbi.g_00256
OG0000005	Syao.g_01680	Prbi.g_01800
OG0000005	Syao.g_01578	Prbi.g_01666
OG0000006	Syao.g_01518	Prbi.g_00265
OG0000007	Syao.g_00105	Prbi.g_00500
OG0000007	Syao.g_01554	Prbi.g_01787
OG0000008	Syao.g_01321	Prbi.g_01540, Prbi.g_01765, Prbi.g_01539
OG0000009	Syao.g_02598	Prbi.g_00112
OG0000010	Syao.g_02683	Prbi.g_01094, Prbi.g_00477
OG0000011	Syao.g_01282	Prbi.g_01361, Prbi.g_00426
OG0000012	Syao.g_01193	Prbi.g_00625
OG0000013	Syao.g_01222, Syao.g_01844, Syao.g_01910	Prbi.g_00351
OG0000014	Syao.g_02027	Prbi.g_00330
OG0000014	Syao.g_01136	Prbi.g_01502
OG0000015	Syao.g_00302	Prbi.g_00810, Prbi.g_01304
OG0000016	Syao.g_01955	Prbi.g_00013
OG0000017	Syao.g_00997	Prbi.g_00600
OG0000018	Syao.g_00071	Prbi.g_01188, Prbi.g_00874
OG0000019	Syao.g_02108	Prbi.g_00273, Prbi.g_00827
OG0000021	Syao.g_01002	Prbi.g_01742, Prbi.g_00389
OG0000022	Syao.g_01218	Prbi.g_00805, Prbi.g_01170
OG0000023	Syao.g_01266	Prbi.g_00384
OG0000025	Syao.g_00436, Syao.g_00437	Prbi.g_00882, Prbi.g_00355
OG0000026	Syao.g_02234	Prbi.g_00031, Prbi.g_01101
OG0000027	Syao.g_00202	Prbi.g_00472, Prbi.g_01374
OG0000028	Syao.g_02012	Prbi.g_00344, Prbi.g_01319, Prbi.g_01768
OG0000030	Syao.g_02189, Syao.g_02188	Prbi.g_02004
OG0000031	Syao.g_01083	Prbi.g_01467
OG0000032	Syao.g_01984, Syao.g_01983	Prbi.g_01497
OG0000033	Syao.g_02507	Prbi.g_00193
OG0000035	Syao.g_01486	Prbi.g_01589, Prbi.g_01591
OG0000037	Syao.g_00374	Prbi.g_00116
OG0000038	Syao.g_02440, Syao.g_02442	Prbi.g_02057
OG0000039	Syao.g_00704	Prbi.g_00689
OG0000042	Syao.g_00019, Syao.g_01941	Prbi.g_02001
OG0000045	Syao.g_01214, Syao.g_00148	Prbi.g_00395
OG0000047	Syao.g_01899	Prbi.g_00354
OG0000048	Syao.g_02077	Prbi.g_00398
OG0000051	Syao.g_01261	Prbi.g_01364, Prbi.g_01281
OG0000052	Syao.g_01085	Prbi.g_01478
OG0000053	Syao.g_00067	Prbi.g_01611
OG0000059	Syao.g_01959	Prbi.g_01873, Prbi.g_01717
OG0000061	Syao.g_00123	Prbi.g_01207
OG0000063	Syao.g_02230	Prbi.g_00033
OG0000065	Syao.g_02600	Prbi.g_00114
OG0000066	Syao.g_01422	Prbi.g_00542
OG0000067	Syao.g_00756	Prbi.g_00847
OG0000068	Syao.g_00868, Syao.g_00036	Prbi.g_01439
OG0000069	Syao.g_00313	Prbi.g_01702
OG0000070	Syao.g_00330	Prbi.g_00451
OG0000071	Syao.g_01433	Prbi.g_01391
OG0000072	Syao.g_02509, Syao.g_01749	Prbi.g_00195
OG0000073	Syao.g_00103	Prbi.g_00502
OG0000075	Syao.g_02257	Prbi.g_01970
OG0000076	Syao.g_01949	Prbi.g_01994
OG0000079	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105	Prbi.g_00276
OG0000082	Syao.g_01035	Prbi.g_00587
OG0000084	Syao.g_02606	Prbi.g_01585
OG0000085	Syao.g_01569	Prbi.g_01780
OG0000086	Syao.g_02653, Syao.g_01240	Prbi.g_00095
OG0000087	Syao.g_02555	Prbi.g_00147
OG0000088	Syao.g_02503	Prbi.g_00190
OG0000089	Syao.g_01716	Prbi.g_00380
